,TEAM,Completions,Hucks,Offensive Holds,Defensive Breaks,Red Zone Possessions,Blocks,Turnovers,GAME_INFO
0,Madison Radicals,95% (279/292),42% (3/7),54% (13/24),50% (2/4),76% (10/13),7,13,2021-07-02-MAD-CHI
0,Chicago Union,98% (295/300),100% (4/4),75% (12/16),66% (6/9),100% (14/14),7,7,2021-07-02-MAD-CHI
0,Seattle Cascades,89% (186/208),41% (5/12),35% (11/31),38% (5/13),57% (8/14),8,28,2021-07-02-SEA-AUS
0,Austin Sol,94% (261/277),58% (7/12),45% (10/22),63% (12/19),84% (16/19),16,19,2021-07-02-SEA-AUS
0,New York Empire,92% (244/263),50% (5/10),51% (15/29),25% (2/8),86% (13/15),9,20,2021-07-02-NY-DC
0,DC Breeze,96% (329/340),54% (6/11),65% (15/23),38% (5/13),73% (14/19),13,16,2021-07-02-NY-DC
0,Detroit Mechanix,95% (333/350),54% (6/11),45% (16/35),33% (2/6),71% (10/14),5,21,2021-06-27-DET-MAD
0,Madison Radicals,96% (253/262),75% (6/8),73% (17/23),70% (12/17),90% (19/21),8,11,2021-06-27-DET-MAD
0,Dallas Legion,96% (291/302),28% (2/7),68% (17/25),37% (3/8),92% (13/14),5,13,2021-06-26-DAL-SD
0,San Diego Growlers,95% (212/222),83% (10/12),62% (17/27),66% (4/6),81% (13/16),2,11,2021-06-26-DAL-SD
0,Austin Sol,94% (299/317),50% (8/16),55% (19/34),33% (4/12),73% (17/23),13,23,2021-06-26-AUS-SJ
0,San Jose Spiders,93% (201/215),64% (9/14),60% (20/33),66% (8/12),83% (15/18),14,17,2021-06-26-AUS-SJ
0,Chicago Union,97% (245/252),80% (8/10),69% (16/23),84% (11/13),100% (18/18),8,7,2021-06-26-CHI-IND
0,Indianapolis AlleyCats,95% (305/319),73% (11/15),56% (18/32),40% (2/5),50% (5/10),7,17,2021-06-26-CHI-IND
0,Philadelphia Phoenix,93% (284/304),47% (9/19),46% (15/32),33% (2/6),90% (9/10),4,21,2021-06-26-PHI-ATL
0,Atlanta Hustle,94% (224/237),66% (6/9),71% (15/21),56% (9/16),100% (18/18),14,13,2021-06-26-PHI-ATL
0,Tampa Bay Cannons,93% (245/261),53% (8/15),48% (18/37),0% (0/4),70% (12/17),7,22,2021-06-26-TB-NY
0,New York Empire,94% (232/246),57% (8/14),80% (16/20),42% (8/19),89% (17/19),7,15,2021-06-26-TB-NY
0,Detroit Mechanix,92% (246/267),66% (4/6),40% (15/37),28% (2/7),75% (9/12),8,26,2021-06-26-DET-MIN
