,TEAM,Completions,Hucks,Offensive Holds,Defensive Breaks,Red Zone Possessions,Blocks,Turnovers,GAME_INFO
0,Raleigh Flyers,96% (337/350),50% (5/10),51% (14/27),70% (7/10),89% (17/19),7,15,2021-08-21-RAL-DC
0,DC Breeze,96% (306/318),66% (8/12),62% (17/27),45% (5/11),84% (16/19),9,16,2021-08-21-RAL-DC
0,Chicago Union,95% (214/223),72% (13/18),62% (18/29),61% (11/18),83% (15/18),16,18,2021-08-21-CHI-DET
0,Detroit Mechanix,91% (271/296),60% (9/15),45% (17/37),20% (2/10),62% (5/8),8,26,2021-08-21-CHI-DET
0,Atlanta Hustle,94% (241/254),70% (12/17),68% (20/29),46% (6/13),73% (11/15),11,15,2021-08-21-ATL-PIT
0,Pittsburgh Thunderbirds,94% (291/308),75% (15/20),51% (18/35),87% (7/8),87% (14/16),11,17,2021-08-21-ATL-PIT
0,LA Aviators,93% (295/317),61% (8/13),48% (16/33),14% (1/7),50% (9/18),7,23,2021-08-07-LA-SD
0,San Diego Growlers,94% (228/241),100% (5/5),65% (17/26),50% (7/14),85% (18/21),16,16,2021-08-07-LA-SD
0,San Jose Spiders,93% (227/244),44% (4/9),56% (13/23),52% (10/19),92% (13/14),11,19,2021-08-07-SJ-SEA
0,Seattle Cascades,91% (236/257),36% (4/11),37% (12/32),27% (3/11),60% (9/15),10,28,2021-08-07-SJ-SEA
0,Toronto Rush,93% (197/211),54% (6/11),46% (13/28),33% (3/9),78% (11/14),11,21,2021-08-07-TOR-MTL
0,Montreal Royal,95% (288/303),54% (6/11),56% (13/23),38% (5/13),92% (13/14),13,18,2021-08-07-TOR-MTL
0,DC Breeze,95% (358/376),27% (3/11),50% (12/24),50% (8/16),83% (15/18),10,20,2021-08-06-DC-PHI
0,Philadelphia Phoenix,89% (166/185),55% (5/9),37% (10/27),25% (3/12),88% (8/9),11,26,2021-08-06-DC-PHI
0,Raleigh Flyers,96% (252/262),50% (5/10),63% (14/22),50% (5/10),88% (16/18),5,13,2021-08-06-RAL-BOS
0,Boston Glory,95% (280/292),25% (1/4),53% (14/26),66% (4/6),94% (17/18),6,14,2021-08-06-RAL-BOS
0,Seattle Cascades,90% (243/268),35% (5/14),32% (10/31),33% (5/15),62% (10/16),9,31,2021-08-01-SEA-LA
0,LA Aviators,90% (228/253),63% (7/11),38% (10/26),45% (10/22),84% (16/19),17,27,2021-08-01-SEA-LA
0,San Jose Spiders,90% (180/200),60% (6/10),37% (9/24),38% (5/13),64% (9/14),13,23,2021-08-01-SJ-DAL
0,Dallas Legion,92% (270/292),50% (6/12),30% (7/23),53% (8/15),66% (8/12),12,22,2021-08-01-SJ-DAL
0,San Jose Spiders,88% (186/210),38% (5/13),37% (13/35),40% (2/5),75% (9/12),12,25,2021-07-31-SJ-AUS
0,Austin Sol,95% (285/299),42% (3/7),68% (13/19),54% (12/22),84% (21/25),19,16,2021-07-31-SJ-AUS
0,Pittsburgh Thunderbirds,96% (344/355),63% (7/11),64% (20/31),50% (2/4),87% (14/16),5,13,2021-07-31-PIT-ATL
0,Atlanta Hustle,97% (199/204),93% (14/15),80% (20/25),77% (7/9),100% (11/11),7,6,2021-07-31-PIT-ATL
0,New York Empire,95% (255/267),80% (8/10),68% (15/22),66% (10/15),84% (16/19),11,12,2021-07-31-NY-TB
0,Tampa Bay Cannons,94% (240/254),70% (7/10),48% (15/31),42% (3/7),87% (14/16),4,19,2021-07-31-NY-TB
0,San Diego Growlers,93% (247/264),57% (8/14),65% (15/23),40% (8/20),76% (10/13),9,19,2021-06-18-SD-SJ
0,San Jose Spiders,93% (247/265),62% (5/8),41% (15/36),14% (1/7),68% (11/16),10,27,2021-06-18-SD-SJ
0,LA Aviators,88% (208/235),44% (4/9),30% (10/33),22% (2/9),63% (7/11),7,30,2021-06-18-LA-DAL
0,Dallas Legion,93% (272/291),66% (6/9),52% (10/19),45% (10/22),71% (15/21),16,21,2021-06-18-LA-DAL
0,Madison Radicals,91% (241/262),66% (10/15),46% (15/32),44% (4/9),60% (9/15),8,22,2021-06-18-MAD-MIN
0,Minnesota Wind Chill,95% (314/329),60% (9/15),65% (17/26),50% (8/16),89% (17/19),13,16,2021-06-18-MAD-MIN
0,Boston Glory,94% (255/271),64% (9/14),55% (20/36),0% (0/4),71% (10/14),3,19,2021-06-18-BOS-DC
0,DC Breeze,98% (293/298),84% (11/13),80% (20/25),85% (12/14),100% (22/22),12,7,2021-06-18-BOS-DC
0,New York Empire,90% (181/201),47% (8/17),55% (16/29),44% (8/18),77% (14/18),10,23,2021-06-18-NY-PIT
0,Pittsburgh Thunderbirds,92% (297/320),40% (4/10),47% (16/34),27% (3/11),93% (15/16),9,26,2021-06-18-NY-PIT
0,LA Aviators,92% (227/245),72% (8/11),50% (15/30),55% (5/9),80% (8/10),5,18,2021-06-13-LA-SD
0,San Diego Growlers,92% (213/230),63% (7/11),56% (13/23),26% (4/15),64% (11/17),12,21,2021-06-13-LA-SD
0,Seattle Cascades,88% (221/249),58% (10/17),31% (9/29),50% (10/20),69% (9/13),16,28,2021-06-12-SEA-SJ
0,San Jose Spiders,92% (253/274),69% (9/13),31% (9/29),61% (11/18),68% (11/16),12,27,2021-06-12-SEA-SJ
0,Dallas Legion,92% (200/217),75% (9/12),56% (17/30),54% (6/11),75% (12/16),10,18,2021-06-12-DAL-AUS
0,Austin Sol,94% (226/238),72% (8/11),51% (15/29),69% (9/13),76% (13/17),10,15,2021-06-12-DAL-AUS
0,Detroit Mechanix,92% (269/292),52% (9/17),35% (14/39),50% (2/4),69% (9/13),5,25,2021-06-12-DET-IND
0,Indianapolis AlleyCats,95% (239/250),78% (11/14),77% (14/18),58% (14/24),83% (15/18),17,13,2021-06-12-DET-IND
0,Pittsburgh Thunderbirds,87% (180/206),50% (5/10),35% (11/31),28% (4/14),80% (4/5),16,30,2021-06-12-PIT-TB
0,Tampa Bay Cannons,91% (257/282),54% (6/11),40% (11/27),36% (7/19),71% (10/14),16,28,2021-06-12-PIT-TB
0,Seattle Cascades,94% (282/298),50% (5/10),56% (17/30),33% (3/9),87% (14/16),11,19,2021-07-31-SEA-SD
0,San Diego Growlers,94% (250/264),80% (4/5),62% (17/27),33% (4/12),92% (13/14),9,18,2021-07-31-SEA-SD
0,Indianapolis AlleyCats,91% (246/268),58% (7/12),43% (13/30),23% (3/13),50% (6/12),14,27,2021-07-31-IND-MIN
0,Minnesota Wind Chill,92% (271/293),30% (4/13),46% (13/28),26% (4/15),78% (15/19),8,26,2021-07-31-IND-MIN
0,Philadelphia Phoenix,92% (244/264),63% (7/11),41% (12/29),0% (0/4),75% (6/8),4,21,2021-07-31-PHI-DC
0,DC Breeze,98% (388/395),62% (5/8),77% (14/18),53% (8/15),75% (15/20),13,10,2021-07-31-PHI-DC
0,Madison Radicals,96% (241/251),76% (10/13),54% (12/22),61% (11/18),75% (15/20),14,17,2021-07-31-MAD-DET
0,Detroit Mechanix,91% (235/257),60% (6/10),35% (11/31),44% (4/9),75% (6/8),6,24,2021-07-31-MAD-DET
0,Chicago Union,96% (272/282),85% (6/7),77% (17/22),54% (6/11),88% (16/18),7,10,2021-07-30-CHI-MAD
0,Madison Radicals,96% (310/322),0% (0/3),53% (16/30),50% (2/4),80% (17/21),8,16,2021-07-30-CHI-MAD
0,Pittsburgh Thunderbirds,94% (269/286),50% (5/10),55% (16/29),16% (1/6),76% (10/13),7,17,2021-07-30-PIT-RAL
0,Raleigh Flyers,95% (208/218),85% (12/14),69% (16/23),36% (4/11),76% (10/13),8,14,2021-07-30-PIT-RAL
0,Ottawa Outlaws,92% (242/261),84% (11/13),67% (21/31),33% (5/15),87% (7/8),15,20,2021-07-25-OTT-MTL
0,Montreal Royal,90% (225/248),60% (6/10),55% (19/34),0% (0/10),64% (16/25),8,25,2021-07-25-OTT-MTL
0,LA Aviators,93% (249/266),66% (4/6),60% (14/23),40% (6/15),82% (14/17),10,18,2021-07-24-LA-SJ
0,San Jose Spiders,89% (172/192),81% (13/16),41% (13/31),45% (5/11),75% (6/8),14,24,2021-07-24-LA-SJ
0,San Diego Growlers,92% (214/232),87% (7/8),48% (12/25),60% (9/15),80% (8/10),15,19,2021-07-24-SD-AUS
0,Austin Sol,93% (306/327),50% (7/14),41% (12/29),41% (5/12),61% (11/18),10,24,2021-07-24-SD-AUS
0,New York Empire,95% (342/358),54% (6/11),56% (17/30),50% (4/8),84% (16/19),10,17,2021-07-24-NY-ATL
0,Atlanta Hustle,94% (196/207),75% (9/12),64% (16/25),50% (6/12),63% (7/11),9,14,2021-07-24-NY-ATL
0,Minnesota Wind Chill,94% (368/390),45% (5/11),48% (14/29),37% (6/16),60% (14/23),19,25,2021-06-04-MIN-MAD
0,Madison Radicals,90% (231/254),54% (6/11),45% (14/31),28% (4/14),66% (12/18),11,27,2021-06-04-MIN-MAD
0,Tampa Bay Cannons,89% (196/218),50% (7/14),35% (11/31),44% (4/9),68% (11/16),10,25,2021-06-04-TB-PHI
0,Philadelphia Phoenix,92% (234/254),58% (7/12),54% (12/22),47% (9/19),66% (10/15),14,20,2021-06-04-TB-PHI
