,score,line,time_left,point_time,players,quarter
1,19-19,O-Line,03:37,49s,"Jagt, Katz, Lithio, Osgar, Rueschemeyer-Bailey, Stevens, Williams",q5
2,20-19,D-Line,02:31,1m6s,"Alorro, Babbitt, Brownlee, Jagt, M Drost, R Drost, S Feder",q5
3,20-20,D-Line,01:29,1m2s,"Alorro, Babbitt, Brownlee, Chartock, M Drost, R Drost, S Feder",q5
4,21-20,O-Line,00:41,48s,"Jagt, Katz, Lithio, Osgar, Rueschemeyer-Bailey, Stevens, Williams",q5
5,21-21,D-Line,00:06,35s,"Alorro, Babbitt, Brownlee, Jagt, M Drost, R Drost, Williams",q5
6,22-21,O-Line,00:00,6s,"Babbitt, Jagt, Katz, Lithio, Osgar, Weaver, Williams",q5
0,0-1,O-Line,10:34,1m26s,"Chartock, Jagt, Lithio, Osgar, Rueschemeyer-Bailey, Stevens, Williams",q1
1,1-1,O-Line,08:56,1m38s,"Chartock, Jagt, Lithio, Osgar, Stevens, Weaver, Williams",q1
2,1-2,D-Line,08:02,54s,"Alorro, Babbitt, Brownlee, Katz, M Drost, R Drost, Rueschemeyer-Bailey",q1
3,2-2,O-Line,07:17,45s,"Chartock, Jagt, Lithio, Osgar, Rueschemeyer-Bailey, Stevens, Williams",q1
4,2-3,D-Line,06:52,25s,"Chun Moy, Kline, LaBar, M Drost, M'Bae Vogel, Olcese, S Feder",q1
5,2-4,O-Line,05:29,1m23s,"Chartock, Jagt, Lithio, Osgar, Stevens, Weaver, Williams",q1
6,3-4,O-Line,04:45,44s,"Chartock, Jagt, Kline, Lithio, Osgar, Rueschemeyer-Bailey, Williams",q1
7,4-4,D-Line,02:42,2m3s,"Alorro, Babbitt, Brownlee, Katz, M Drost, R Drost, Rueschemeyer-Bailey",q1
8,4-5,D-Line,01:21,1m21s,"Chun Moy, Jagt, Kline, LaBar, M'Bae Vogel, Olcese, S Feder",q1
9,4-5,O-Line,00:00,1m21s,"Chartock, Jagt, Lithio, Osgar, Stevens, Weaver, Williams",q1
0,4-6,D-Line,10:51,1m9s,"Alorro, Babbitt, Brownlee, Katz, M Drost, R Drost, Williams",q2
1,5-6,O-Line,09:52,59s,"Chartock, Jagt, Lithio, Osgar, Rueschemeyer-Bailey, Stevens, Williams",q2
2,5-7,D-Line,06:44,3m8s,"Babbitt, Brownlee, Katz, M Drost, R Drost, Rueschemeyer-Bailey, S Feder",q2
3,5-8,O-Line,05:59,45s,"Chartock, Jagt, Lithio, Osgar, Rueschemeyer-Bailey, Stevens, Williams",q2
4,6-8,O-Line,04:54,1m5s,"Chartock, Jagt, Kline, Lithio, Osgar, Weaver, Williams",q2
5,6-9,D-Line,04:01,53s,"Alorro, Babbitt, Brownlee, Katz, M Drost, R Drost, Rueschemeyer-Bailey",q2
6,6-10,O-Line,03:29,32s,"Chartock, Jagt, Lithio, Osgar, Rueschemeyer-Bailey, Stevens, Williams",q2
7,6-11,O-Line,01:50,1m39s,"Chartock, Jagt, Kline, Lithio, Osgar, Weaver, Williams",q2
8,7-11,O-Line,01:03,47s,"Chartock, Jagt, Kline, Lithio, Osgar, Rueschemeyer-Bailey, Williams",q2
9,7-12,D-Line,00:44,19s,"Babbitt, Brownlee, Jagt, Katz, M Drost, R Drost, Williams",q2
10,8-12,O-Line,00:12,32s,"Babbitt, Jagt, Katz, Lithio, Osgar, Rueschemeyer-Bailey, Williams",q2
11,8-12,D-Line,00:00,12s,"Babbitt, Brownlee, Jagt, Katz, M Drost, R Drost, Williams",q2
0,9-12,O-Line,10:50,1m10s,"Jagt, Katz, Lithio, Osgar, Rueschemeyer-Bailey, Stevens, Williams",q3
1,10-12,D-Line,09:20,1m30s,"Babbitt, Brownlee, Jagt, Katz, M Drost, R Drost, Williams",q3
2,10-13,D-Line,08:04,1m16s,"Chartock, Chun Moy, Kline, LaBar, M'Bae Vogel, Olcese, S Feder",q3
3,11-13,O-Line,06:15,1m49s,"Jagt, Katz, Lithio, Osgar, Stevens, Weaver, Williams",q3
4,11-14,D-Line,05:03,1m12s,"Alorro, Babbitt, Brownlee, Chartock, M Drost, R Drost, Rueschemeyer-Bailey",q3
5,12-14,O-Line,04:34,29s,"Jagt, Katz, Lithio, Osgar, Rueschemeyer-Bailey, Stevens, Williams",q3
6,12-14,D-Line,00:00,4m34s,"Babbitt, Brownlee, Jagt, Katz, M Drost, R Drost, Williams",q3
0,12-15,D-Line,10:30,1m30s,"Chun Moy, Jagt, Kline, LaBar, M'Bae Vogel, Olcese, S Feder",q4
1,13-15,O-Line,10:09,21s,"Jagt, Katz, Lithio, Osgar, Stevens, Weaver, Williams",q4
2,13-16,D-Line,09:12,57s,"Alorro, Babbitt, Brownlee, Jagt, M Drost, R Drost, Williams",q4
3,14-16,O-Line,08:38,34s,"Jagt, Katz, Lithio, Osgar, Rueschemeyer-Bailey, Stevens, Williams",q4
4,14-17,D-Line,08:09,29s,"Alorro, Babbitt, Brownlee, Chartock, M Drost, R Drost, Williams",q4
5,15-17,O-Line,07:02,1m7s,"Jagt, Katz, Lithio, Osgar, Stevens, Weaver, Williams",q4
6,16-17,D-Line,06:03,59s,"Alorro, Babbitt, Brownlee, Jagt, M Drost, R Drost, Williams",q4
7,17-17,D-Line,02:42,3m21s,"Alorro, Brownlee, Chartock, Jagt, Katz, M Drost, R Drost",q4
8,17-18,D-Line,02:00,42s,"Babbitt, Brownlee, Chartock, M Drost, R Drost, S Feder, Williams",q4
9,18-18,O-Line,00:58,1m2s,"Jagt, Katz, Lithio, Osgar, Stevens, Weaver, Williams",q4
10,18-18,D-Line,00:00,58s,"Babbitt, Brownlee, Jagt, Katz, M Drost, R Drost, Williams",q4
0,18-19,D-Line,04:26,34s,"Alorro, Babbitt, Brownlee, Jagt, M Drost, R Drost, Williams",q5
1,19-19,O-Line,03:37,49s,"Jagt, Katz, Lithio, Osgar, Rueschemeyer-Bailey, Stevens, Williams",q5
2,20-19,D-Line,02:31,1m6s,"Alorro, Babbitt, Brownlee, Jagt, M Drost, R Drost, S Feder",q5
3,20-20,D-Line,01:29,1m2s,"Alorro, Babbitt, Brownlee, Chartock, M Drost, R Drost, S Feder",q5
4,21-20,O-Line,00:41,48s,"Jagt, Katz, Lithio, Osgar, Rueschemeyer-Bailey, Stevens, Williams",q5
5,21-21,D-Line,00:06,35s,"Alorro, Babbitt, Brownlee, Jagt, M Drost, R Drost, Williams",q5
6,22-21,O-Line,00:00,6s,"Babbitt, Jagt, Katz, Lithio, Osgar, Weaver, Williams",q5
0,1-0,O-Line,11:02,58s,"Arsenault, Bevan, Boucher, Ellis, Hill, Lee, Renaud",q1
1,1-1,D-Line,10:22,40s,"Adibe, Cameron, Campbell, Cantal, O'Brien, Ring, Turner",q1
2,2-1,O-Line,08:45,1m37s,"Bevan, Boucher, Colic, Hill, Lee, Poloz, Renaud",q1
3,2-2,D-Line,07:50,55s,"Adibe, Benvenuti, E Hunter, Ellis, I Wallace, Stanton, Turner",q1
4,2-3,O-Line,06:21,1m29s,"Arsenault, Bevan, Boucher, Colic, Hill, Poloz, Renaud",q1
5,3-3,O-Line,04:35,1m46s,"Arsenault, Bevan, Boucher, Ellis, Lee, Renaud, Turner",q1
6,3-4,D-Line,04:04,31s,"Adibe, Cameron, Campbell, Cantal, O'Brien, Ring, Stanton",q1
7,3-5,O-Line,02:37,1m27s,"Arsenault, Bevan, Boucher, Colic, Ellis, Lee, Poloz",q1
8,4-5,O-Line,01:53,44s,"Arsenault, Bevan, Boucher, Colic, O'Brien, Renaud, Turner",q1
9,4-6,D-Line,01:29,24s,"Adibe, Benvenuti, Cameron, Cantal, E Hunter, I Wallace, Stanton",q1
10,4-7,O-Line,00:45,44s,"Arsenault, Bevan, Boucher, Colic, Ellis, Lee, Renaud",q1
11,4-7,O-Line,00:00,45s,"Bevan, Boucher, Colic, Ellis, Hill, Poloz, Turner",q1
0,4-8,D-Line,09:39,2m21s,"Adibe, Benvenuti, Cameron, Cantal, I Wallace, O'Brien, Turner",q2
1,5-8,O-Line,08:53,46s,"Bevan, Boucher, Ellis, Hill, Lee, Poloz, Renaud",q2
2,5-9,D-Line,08:30,23s,"Campbell, Cantal, E Hunter, I Wallace, O'Brien, Ring, Stanton",q2
3,6-9,O-Line,07:15,1m15s,"Bevan, Boucher, Colic, Ellis, Hill, Lee, Poloz",q2
4,6-10,D-Line,06:53,22s,"Adibe, Benvenuti, Cameron, Cantal, O'Brien, Ring, Turner",q2
5,6-11,O-Line,05:47,1m6s,"Bevan, Boucher, Colic, Ellis, Hill, Poloz, Renaud",q2
6,7-11,O-Line,05:07,40s,"Bevan, Boucher, Cameron, Lee, O'Brien, Renaud, Turner",q2
7,8-11,D-Line,03:05,2m2s,"Adibe, Benvenuti, Campbell, Cantal, Ellis, Ring, Stanton",q2
8,9-11,D-Line,02:12,53s,"Adibe, Benvenuti, Campbell, E Hunter, I Wallace, Ring, Turner",q2
9,9-12,D-Line,00:59,1m13s,"Adibe, Cameron, Cantal, Ellis, O'Brien, Stanton, Turner",q2
10,9-13,O-Line,00:00,59s,"Bevan, Boucher, Colic, Hill, Lee, Poloz, Renaud",q2
0,10-13,O-Line,11:17,43s,"Bevan, Boucher, Colic, Ellis, Hill, Lee, Renaud",q3
1,10-14,D-Line,10:53,24s,"Benvenuti, Cameron, Campbell, Cantal, O'Brien, Ring, Turner",q3
2,10-15,O-Line,08:47,2m6s,"Bevan, Boucher, Colic, Ellis, Hill, Lee, Poloz",q3
3,11-15,O-Line,08:12,35s,"Bevan, Boucher, Cameron, Ellis, O'Brien, Renaud, Turner",q3
4,12-15,D-Line,06:17,1m55s,"Adibe, Benvenuti, Campbell, Cantal, E Hunter, I Wallace, Ring",q3
5,12-16,D-Line,05:34,43s,"Cameron, Ellis, Hill, O'Brien, Renaud, Stanton, Turner",q3
6,13-16,O-Line,04:47,47s,"Bevan, Boucher, Colic, Hill, I Wallace, Lee, Poloz",q3
7,13-17,D-Line,04:16,31s,"Adibe, Benvenuti, Campbell, Cantal, O'Brien, Ring, Turner",q3
8,13-18,O-Line,02:44,1m32s,"Bevan, Boucher, Colic, Hill, Lee, Poloz, Renaud",q3
9,14-18,O-Line,02:14,30s,"Benvenuti, Boucher, Cameron, Hill, I Wallace, O'Brien, Turner",q3
10,14-19,D-Line,01:54,20s,"Adibe, Campbell, Cantal, E Hunter, Poloz, Ring, Stanton",q3
11,15-19,O-Line,01:13,41s,"Bevan, Boucher, Colic, Hill, I Wallace, Lee, Renaud",q3
12,15-20,D-Line,00:26,47s,"Benvenuti, Cameron, Campbell, Cantal, O'Brien, Ring, Turner",q3
13,16-20,O-Line,00:06,20s,"Bevan, Boucher, Colic, Ellis, Hill, Lee, Renaud",q3
14,16-20,D-Line,00:00,6s,"Adibe, Boucher, Cameron, Cantal, Hill, O'Brien, Renaud",q3
0,16-21,D-Line,10:24,1m36s,"Adibe, Benvenuti, Cameron, E Hunter, Ellis, O'Brien, Turner",q4
1,17-21,O-Line,09:46,38s,"Bevan, Boucher, Colic, Hill, Lee, Poloz, Renaud",q4
2,18-21,D-Line,07:12,2m34s,"Benvenuti, Cameron, Cantal, I Wallace, O'Brien, Ring, Turner",q4
3,18-22,D-Line,06:54,18s,"Adibe, Benvenuti, Cantal, E Hunter, Hill, O'Brien, Turner",q4
4,19-22,O-Line,06:29,25s,"Bevan, Boucher, Colic, Hill, Lee, Poloz, Renaud",q4
5,19-23,D-Line,05:41,48s,"Benvenuti, Boucher, Cantal, I Wallace, O'Brien, Ring, Turner",q4
6,20-23,O-Line,04:44,57s,"Bevan, Boucher, Colic, Hill, Lee, Poloz, Renaud",q4
7,20-24,D-Line,03:55,49s,"Adibe, Benvenuti, Cameron, Cantal, I Wallace, O'Brien, Turner",q4
8,21-24,O-Line,02:46,1m9s,"Bevan, Boucher, Colic, Ellis, Hill, I Wallace, Renaud",q4
9,22-24,D-Line,01:08,1m38s,"Adibe, Benvenuti, Campbell, Cantal, O'Brien, Ring, Turner",q4
10,22-24,D-Line,00:00,1m8s,"Adibe, Benvenuti, Bevan, Cantal, Hill, O'Brien, Turner",q4
0,1-0,O-Line,11:02,58s,"Arsenault, Bevan, Boucher, Ellis, Hill, Lee, Renaud",q1
1,1-1,D-Line,10:22,40s,"Adibe, Cameron, Campbell, Cantal, O'Brien, Ring, Turner",q1
2,2-1,O-Line,08:45,1m37s,"Bevan, Boucher, Colic, Hill, Lee, Poloz, Renaud",q1
3,2-2,D-Line,07:50,55s,"Adibe, Benvenuti, E Hunter, Ellis, I Wallace, Stanton, Turner",q1
4,2-3,O-Line,06:21,1m29s,"Arsenault, Bevan, Boucher, Colic, Hill, Poloz, Renaud",q1
5,3-3,O-Line,04:35,1m46s,"Arsenault, Bevan, Boucher, Ellis, Lee, Renaud, Turner",q1
6,3-4,D-Line,04:04,31s,"Adibe, Cameron, Campbell, Cantal, O'Brien, Ring, Stanton",q1
7,3-5,O-Line,02:37,1m27s,"Arsenault, Bevan, Boucher, Colic, Ellis, Lee, Poloz",q1
8,4-5,O-Line,01:53,44s,"Arsenault, Bevan, Boucher, Colic, O'Brien, Renaud, Turner",q1
9,4-6,D-Line,01:29,24s,"Adibe, Benvenuti, Cameron, Cantal, E Hunter, I Wallace, Stanton",q1
10,4-7,O-Line,00:45,44s,"Arsenault, Bevan, Boucher, Colic, Ellis, Lee, Renaud",q1
11,4-7,O-Line,00:00,45s,"Bevan, Boucher, Colic, Ellis, Hill, Poloz, Turner",q1
0,4-8,D-Line,09:39,2m21s,"Adibe, Benvenuti, Cameron, Cantal, I Wallace, O'Brien, Turner",q2
1,5-8,O-Line,08:53,46s,"Bevan, Boucher, Ellis, Hill, Lee, Poloz, Renaud",q2
2,5-9,D-Line,08:30,23s,"Campbell, Cantal, E Hunter, I Wallace, O'Brien, Ring, Stanton",q2
3,6-9,O-Line,07:15,1m15s,"Bevan, Boucher, Colic, Ellis, Hill, Lee, Poloz",q2
4,6-10,D-Line,06:53,22s,"Adibe, Benvenuti, Cameron, Cantal, O'Brien, Ring, Turner",q2
5,6-11,O-Line,05:47,1m6s,"Bevan, Boucher, Colic, Ellis, Hill, Poloz, Renaud",q2
6,7-11,O-Line,05:07,40s,"Bevan, Boucher, Cameron, Lee, O'Brien, Renaud, Turner",q2
7,8-11,D-Line,03:05,2m2s,"Adibe, Benvenuti, Campbell, Cantal, Ellis, Ring, Stanton",q2
8,9-11,D-Line,02:12,53s,"Adibe, Benvenuti, Campbell, E Hunter, I Wallace, Ring, Turner",q2
9,9-12,D-Line,00:59,1m13s,"Adibe, Cameron, Cantal, Ellis, O'Brien, Stanton, Turner",q2
10,9-13,O-Line,00:00,59s,"Bevan, Boucher, Colic, Hill, Lee, Poloz, Renaud",q2
0,10-13,O-Line,11:17,43s,"Bevan, Boucher, Colic, Ellis, Hill, Lee, Renaud",q3
1,10-14,D-Line,10:53,24s,"Benvenuti, Cameron, Campbell, Cantal, O'Brien, Ring, Turner",q3
2,10-15,O-Line,08:47,2m6s,"Bevan, Boucher, Colic, Ellis, Hill, Lee, Poloz",q3
3,11-15,O-Line,08:12,35s,"Bevan, Boucher, Cameron, Ellis, O'Brien, Renaud, Turner",q3
4,12-15,D-Line,06:17,1m55s,"Adibe, Benvenuti, Campbell, Cantal, E Hunter, I Wallace, Ring",q3
5,12-16,D-Line,05:34,43s,"Cameron, Ellis, Hill, O'Brien, Renaud, Stanton, Turner",q3
6,13-16,O-Line,04:47,47s,"Bevan, Boucher, Colic, Hill, I Wallace, Lee, Poloz",q3
7,13-17,D-Line,04:16,31s,"Adibe, Benvenuti, Campbell, Cantal, O'Brien, Ring, Turner",q3
8,13-18,O-Line,02:44,1m32s,"Bevan, Boucher, Colic, Hill, Lee, Poloz, Renaud",q3
9,14-18,O-Line,02:14,30s,"Benvenuti, Boucher, Cameron, Hill, I Wallace, O'Brien, Turner",q3
10,14-19,D-Line,01:54,20s,"Adibe, Campbell, Cantal, E Hunter, Poloz, Ring, Stanton",q3
11,15-19,O-Line,01:13,41s,"Bevan, Boucher, Colic, Hill, I Wallace, Lee, Renaud",q3
12,15-20,D-Line,00:26,47s,"Benvenuti, Cameron, Campbell, Cantal, O'Brien, Ring, Turner",q3
13,16-20,O-Line,00:06,20s,"Bevan, Boucher, Colic, Ellis, Hill, Lee, Renaud",q3
14,16-20,D-Line,00:00,6s,"Adibe, Boucher, Cameron, Cantal, Hill, O'Brien, Renaud",q3
0,16-21,D-Line,10:24,1m36s,"Adibe, Benvenuti, Cameron, E Hunter, Ellis, O'Brien, Turner",q4
1,17-21,O-Line,09:46,38s,"Bevan, Boucher, Colic, Hill, Lee, Poloz, Renaud",q4
2,18-21,D-Line,07:12,2m34s,"Benvenuti, Cameron, Cantal, I Wallace, O'Brien, Ring, Turner",q4
3,18-22,D-Line,06:54,18s,"Adibe, Benvenuti, Cantal, E Hunter, Hill, O'Brien, Turner",q4
4,19-22,O-Line,06:29,25s,"Bevan, Boucher, Colic, Hill, Lee, Poloz, Renaud",q4
5,19-23,D-Line,05:41,48s,"Benvenuti, Boucher, Cantal, I Wallace, O'Brien, Ring, Turner",q4
6,20-23,O-Line,04:44,57s,"Bevan, Boucher, Colic, Hill, Lee, Poloz, Renaud",q4
7,20-24,D-Line,03:55,49s,"Adibe, Benvenuti, Cameron, Cantal, I Wallace, O'Brien, Turner",q4
8,21-24,O-Line,02:46,1m9s,"Bevan, Boucher, Colic, Ellis, Hill, I Wallace, Renaud",q4
9,22-24,D-Line,01:08,1m38s,"Adibe, Benvenuti, Campbell, Cantal, O'Brien, Ring, Turner",q4
10,22-24,D-Line,00:00,1m8s,"Adibe, Benvenuti, Bevan, Cantal, Hill, O'Brien, Turner",q4
0,1-0,O-Line,10:44,1m16s,"Braun, Malks, McDonnell, Nissen, Richards, Wodatch, Z Norrbom",q1
1,2-0,D-Line,09:20,1m24s,"Fitzgerald, Green, Hess, Q Bergeron, R Bergeron, Shields, Versteeg",q1
2,2-1,D-Line,08:05,1m15s,"Green, Hess, Merriman, R Bergeron, Rehfuss, Shields, Tom",q1
3,3-1,O-Line,06:52,1m13s,"Braun, G Norrbom, Malks, McDonnell, Merrill, Wodatch, Z Norrbom",q1
4,3-2,D-Line,06:31,21s,"Fitzgerald, Merriman, Parks, Q Bergeron, Rehfuss, Tom, Versteeg",q1
5,4-2,O-Line,05:58,33s,"Braun, G Norrbom, McDonnell, Merrill, Nissen, Richards, Z Norrbom",q1
6,4-3,D-Line,05:15,43s,"Fitzgerald, Green, Hess, Q Bergeron, R Bergeron, Shields, Versteeg",q1
7,5-3,O-Line,01:40,3m35s,"Braun, G Norrbom, Malks, Nissen, Richards, Wodatch, Z Norrbom",q1
8,5-4,D-Line,00:42,58s,"Fitzgerald, Merriman, Parks, Q Bergeron, Rehfuss, Tom, Versteeg",q1
9,6-4,O-Line,00:00,42s,"Malks, McDonnell, Merrill, Nissen, Richards, Wodatch, Z Norrbom",q1
0,7-4,D-Line,09:15,2m45s,"Fitzgerald, Green, Hess, Q Bergeron, R Bergeron, Shields, Versteeg",q2
1,8-4,D-Line,08:38,37s,"Green, Hess, Merriman, R Bergeron, Rehfuss, Shields, Tom",q2
2,8-5,D-Line,07:02,1m36s,"Green, Hess, Merriman, R Bergeron, Rehfuss, Shields, Tom",q2
3,8-6,O-Line,05:13,1m49s,"Braun, G Norrbom, Malks, McDonnell, Merrill, Richards, Z Norrbom",q2
4,9-6,O-Line,04:10,1m3s,"Braun, G Norrbom, McDonnell, Nissen, Richards, Wodatch, Z Norrbom",q2
5,9-7,D-Line,03:34,36s,"Fitzgerald, Green, Hess, Parks, R Bergeron, Shields, Versteeg",q2
6,9-8,O-Line,02:11,1m23s,"Malks, McDonnell, Merrill, Nissen, Richards, Wodatch, Z Norrbom",q2
7,9-9,O-Line,00:21,1m50s,"Braun, G Norrbom, Malks, McDonnell, Nissen, Wodatch, Z Norrbom",q2
8,9-9,O-Line,00:00,21s,"Hess, Malks, McDonnell, Merriman, Richards, Shields, Z Norrbom",q2
0,10-9,O-Line,11:31,29s,"Braun, G Norrbom, Malks, McDonnell, Nissen, Richards, Wodatch",q3
1,10-10,D-Line,10:33,58s,"Green, Hess, Merriman, R Bergeron, Rehfuss, Shields, Tom",q3
2,10-11,O-Line,08:46,1m47s,"Braun, G Norrbom, Malks, McDonnell, Merrill, Wodatch, Z Norrbom",q3
3,11-11,O-Line,08:00,46s,"Braun, G Norrbom, Malks, McDonnell, Nissen, Richards, Wodatch",q3
4,11-12,D-Line,05:11,2m49s,"Fitzgerald, Merriman, Parks, Q Bergeron, Rehfuss, Tom, Versteeg",q3
5,12-12,O-Line,03:39,1m32s,"G Norrbom, McDonnell, Merrill, Nissen, Richards, Wodatch, Z Norrbom",q3
6,12-13,D-Line,03:06,33s,"Fitzgerald, Green, Hess, Q Bergeron, R Bergeron, Shields, Versteeg",q3
7,13-13,O-Line,01:09,1m57s,"Braun, Malks, McDonnell, Nissen, Richards, Wodatch, Z Norrbom",q3
8,13-13,D-Line,00:00,1m9s,"Green, Hess, Merriman, R Bergeron, Rehfuss, Shields, Tom",q3
0,13-14,D-Line,09:46,2m14s,"Fitzgerald, Green, Hess, Parks, R Bergeron, Shields, Versteeg",q4
1,14-14,O-Line,08:41,1m5s,"Braun, Malks, McDonnell, Merrill, Nissen, Wodatch, Z Norrbom",q4
2,14-15,D-Line,07:54,47s,"Hess, Merriman, Parks, Q Bergeron, R Bergeron, Rehfuss, Shields",q4
3,15-15,O-Line,07:31,23s,"Braun, Malks, McDonnell, Nissen, Richards, Wodatch, Z Norrbom",q4
4,15-16,D-Line,06:45,46s,"Fitzgerald, Hess, Merriman, Q Bergeron, R Bergeron, Rehfuss, Versteeg",q4
5,15-17,O-Line,05:01,1m44s,"Braun, Malks, McDonnell, Merrill, Nissen, Wodatch, Z Norrbom",q4
6,15-18,O-Line,02:44,2m17s,"Braun, Malks, McDonnell, Nissen, Richards, Wodatch, Z Norrbom",q4
7,16-18,O-Line,01:56,48s,"Hess, Malks, McDonnell, Nissen, Richards, Wodatch, Z Norrbom",q4
8,16-19,D-Line,00:58,58s,"Fitzgerald, Green, Merriman, Parks, R Bergeron, Shields, Versteeg",q4
9,16-19,O-Line,00:00,58s,"Hess, Malks, McDonnell, Nissen, Richards, Wodatch, Z Norrbom",q4
0,1-0,O-Line,10:44,1m16s,"Braun, Malks, McDonnell, Nissen, Richards, Wodatch, Z Norrbom",q1
1,2-0,D-Line,09:20,1m24s,"Fitzgerald, Green, Hess, Q Bergeron, R Bergeron, Shields, Versteeg",q1
2,2-1,D-Line,08:05,1m15s,"Green, Hess, Merriman, R Bergeron, Rehfuss, Shields, Tom",q1
3,3-1,O-Line,06:52,1m13s,"Braun, G Norrbom, Malks, McDonnell, Merrill, Wodatch, Z Norrbom",q1
4,3-2,D-Line,06:31,21s,"Fitzgerald, Merriman, Parks, Q Bergeron, Rehfuss, Tom, Versteeg",q1
5,4-2,O-Line,05:58,33s,"Braun, G Norrbom, McDonnell, Merrill, Nissen, Richards, Z Norrbom",q1
6,4-3,D-Line,05:15,43s,"Fitzgerald, Green, Hess, Q Bergeron, R Bergeron, Shields, Versteeg",q1
7,5-3,O-Line,01:40,3m35s,"Braun, G Norrbom, Malks, Nissen, Richards, Wodatch, Z Norrbom",q1
8,5-4,D-Line,00:42,58s,"Fitzgerald, Merriman, Parks, Q Bergeron, Rehfuss, Tom, Versteeg",q1
9,6-4,O-Line,00:00,42s,"Malks, McDonnell, Merrill, Nissen, Richards, Wodatch, Z Norrbom",q1
0,7-4,D-Line,09:15,2m45s,"Fitzgerald, Green, Hess, Q Bergeron, R Bergeron, Shields, Versteeg",q2
1,8-4,D-Line,08:38,37s,"Green, Hess, Merriman, R Bergeron, Rehfuss, Shields, Tom",q2
2,8-5,D-Line,07:02,1m36s,"Green, Hess, Merriman, R Bergeron, Rehfuss, Shields, Tom",q2
3,8-6,O-Line,05:13,1m49s,"Braun, G Norrbom, Malks, McDonnell, Merrill, Richards, Z Norrbom",q2
4,9-6,O-Line,04:10,1m3s,"Braun, G Norrbom, McDonnell, Nissen, Richards, Wodatch, Z Norrbom",q2
5,9-7,D-Line,03:34,36s,"Fitzgerald, Green, Hess, Parks, R Bergeron, Shields, Versteeg",q2
6,9-8,O-Line,02:11,1m23s,"Malks, McDonnell, Merrill, Nissen, Richards, Wodatch, Z Norrbom",q2
7,9-9,O-Line,00:21,1m50s,"Braun, G Norrbom, Malks, McDonnell, Nissen, Wodatch, Z Norrbom",q2
8,9-9,O-Line,00:00,21s,"Hess, Malks, McDonnell, Merriman, Richards, Shields, Z Norrbom",q2
0,10-9,O-Line,11:31,29s,"Braun, G Norrbom, Malks, McDonnell, Nissen, Richards, Wodatch",q3
1,10-10,D-Line,10:33,58s,"Green, Hess, Merriman, R Bergeron, Rehfuss, Shields, Tom",q3
2,10-11,O-Line,08:46,1m47s,"Braun, G Norrbom, Malks, McDonnell, Merrill, Wodatch, Z Norrbom",q3
3,11-11,O-Line,08:00,46s,"Braun, G Norrbom, Malks, McDonnell, Nissen, Richards, Wodatch",q3
4,11-12,D-Line,05:11,2m49s,"Fitzgerald, Merriman, Parks, Q Bergeron, Rehfuss, Tom, Versteeg",q3
5,12-12,O-Line,03:39,1m32s,"G Norrbom, McDonnell, Merrill, Nissen, Richards, Wodatch, Z Norrbom",q3
6,12-13,D-Line,03:06,33s,"Fitzgerald, Green, Hess, Q Bergeron, R Bergeron, Shields, Versteeg",q3
7,13-13,O-Line,01:09,1m57s,"Braun, Malks, McDonnell, Nissen, Richards, Wodatch, Z Norrbom",q3
8,13-13,D-Line,00:00,1m9s,"Green, Hess, Merriman, R Bergeron, Rehfuss, Shields, Tom",q3
0,13-14,D-Line,09:46,2m14s,"Fitzgerald, Green, Hess, Parks, R Bergeron, Shields, Versteeg",q4
1,14-14,O-Line,08:41,1m5s,"Braun, Malks, McDonnell, Merrill, Nissen, Wodatch, Z Norrbom",q4
2,14-15,D-Line,07:54,47s,"Hess, Merriman, Parks, Q Bergeron, R Bergeron, Rehfuss, Shields",q4
3,15-15,O-Line,07:31,23s,"Braun, Malks, McDonnell, Nissen, Richards, Wodatch, Z Norrbom",q4
4,15-16,D-Line,06:45,46s,"Fitzgerald, Hess, Merriman, Q Bergeron, R Bergeron, Rehfuss, Versteeg",q4
5,15-17,O-Line,05:01,1m44s,"Braun, Malks, McDonnell, Merrill, Nissen, Wodatch, Z Norrbom",q4
6,15-18,O-Line,02:44,2m17s,"Braun, Malks, McDonnell, Nissen, Richards, Wodatch, Z Norrbom",q4
7,16-18,O-Line,01:56,48s,"Hess, Malks, McDonnell, Nissen, Richards, Wodatch, Z Norrbom",q4
8,16-19,D-Line,00:58,58s,"Fitzgerald, Green, Merriman, Parks, R Bergeron, Shields, Versteeg",q4
9,16-19,O-Line,00:00,58s,"Hess, Malks, McDonnell, Nissen, Richards, Wodatch, Z Norrbom",q4
0,1-0,O-Line,11:15,45s,"Artemakis, Arters, Barker, Janas, North, Shanahan, Shriwise",q1
1,1-1,D-Line,09:55,1m20s,"Alanguilan, Gibson, Goff, Graffy, Schoch, Swanson, Vallee",q1
2,2-1,O-Line,08:54,1m1s,"Arters, Barker, Janas, Lake, North, Shanahan, Shriwise",q1
3,2-2,D-Line,08:02,52s,"Furse, Gibson, Goff, Kaminsky, Martin, Robinson, Vallee",q1
4,2-3,O-Line,07:03,59s,"Artemakis, Arters, Barker, Janas, Lake, North, Shanahan",q1
5,3-3,O-Line,07:02,,"Artemakis, Arters, Barker, Janas, Lake, North, Shriwise",q1
6,3-4,D-Line,06:22,40s,"Alanguilan, Graffy, Kaminsky, Robinson, Schoch, Swanson, Tornabene",q1
7,4-4,O-Line,05:39,43s,"Artemakis, Arters, Barker, Janas, Lake, Shanahan, Shriwise",q1
