,TEAM,G,W_x,L,S,SA,C,T,CMP %,H,HUCK %,HLD %,OLC %,B,BRK %,DLC %,RZC %,YEAR,W_y,OPP C,OPP T,OPP CMP %,OPP H,OPP HUCK %,OPP HLD %,OPP OLC %,OPP B,OPP BRK %,OPP DLC %,OPP RZC %
17,Union,14,5,9,319,309,3786,299,92.68,,,67.16,50.78,144,26.36,44.88,,2018,5,3873,312,92.54,,,67.53,51.99,139,21.89,37.76,
18,Thunderbirds,14,4,10,276,332,3223,403,88.89,,,59,41.68,155,20.72,34.24,,2018,4,3844,311,92.52,,,74.82,53.55,227,37.24,46.13,
19,Cannons,14,4,10,290,299,4337,258,94.39,,,64.29,51.24,145,25.80,46.55,,2018,4,3182,243,92.91,,,64.44,52.05,144,28.66,48.94,
20,Nightwatch,14,3,11,302,366,3442,358,90.58,,,61.56,46.47,157,18.75,33.33,,2018,3,4203,300,93.34,,,76,56.26,196,29.77,44.66,
21,Outlaws,14,3,11,321,357,3064,386,88.81,,,60,45.65,163,25.71,38.30,,2018,3,3547,347,91.09,,,67.82,48.66,201,31.51,47.64,
22,Mechanix,14,0,14,235,423,3692,491,88.26,,,48.02,33.72,167,17.54,29.59,,2018,0,3121,340,90.18,,,80.15,55.85,279,47.23,50.84,
0,Empire,15,15,0,334,282,3557,230,93.93,,,75.40,58.85,150,26.85,49.75,,2019,15,3811,277,93.22,,,62.02,50.78,134,17.57,36.67,
1,Growlers,14,11,3,328,292,3433,233,93.64,,,73.19,60.57,157,26.84,46.57,,2019,11,3593,261,93.23,,,62.64,50.23,134,21.56,47.26,
2,Flyers,13,10,3,293,255,3241,198,94.24,,,70.21,56.41,125,29.78,53.67,,2019,10,3275,242,93.12,,,61.76,51.04,105,20.57,40.85,
3,Legion,15,10,5,320,300,3654,294,92.55,,,66.87,52.26,202,28.49,42.02,,2019,10,3057,321,90.50,,,63.22,47.31,132,24.09,43.41,
4,Thunderbirds,14,9,5,298,270,3552,252,93.38,,,68.67,54.50,141,28.05,47.42,,2019,9,3238,270,92.30,,,61.40,47.98,144,22.67,43.31,
5,Aviators,13,9,4,306,267,2896,213,93.15,,,71.58,56.49,150,29,51.06,,2019,9,3247,268,92.38,,,64.35,52.08,116,18.43,37.50,
6,AlleyCats,14,9,5,280,270,3566,248,93.50,,,70.47,56.76,139,22.80,37.63,,2019,9,3203,257,92.57,,,67.43,50.86,125,21,42,
7,Rush,14,8,6,293,271,3252,280,92.07,,,68.33,52.30,154,27.33,41.51,,2019,8,2934,296,90.84,,,63.44,46.88,136,22.82,39.53,
8,Breeze,13,7,6,281,262,3230,227,93.43,,,71.72,57.62,139,23.62,39.67,,2019,7,3333,247,93.10,,,65.70,49.75,115,20.42,42.14,
9,Union,13,7,6,271,257,3141,228,93.23,,,66.31,53.89,133,28.38,47.19,,2019,7,3154,239,92.96,,,62.63,49.87,121,25,47.97,
10,Radicals,12,6,6,250,222,2733,213,92.77,,,64.75,49.38,153,33.33,52,,2019,6,3439,255,93.10,,,59.12,46.29,123,24.29,41.38,
11,Wind Chill,12,6,6,261,252,2786,254,91.64,,,68.48,51.78,140,25.17,40.68,,2019,6,3173,257,92.51,,,65.72,49.73,136,23.55,40.63,
12,Hustle,12,5,7,246,243,2638,183,93.51,,,69.17,55.76,97,22.88,45.59,,2019,5,3566,194,94.84,,,66.79,55.02,92,22.93,46.21,
13,Royal,12,4,8,238,253,3055,231,92.97,,,65.34,49.45,114,21.84,39.04,,2019,4,2598,229,91.90,,,71.76,55.13,134,23.21,37.79,
14,Phoenix,12,4,8,222,249,2657,293,90.07,,,61.90,43.78,126,21.46,33.54,,2019,4,2773,266,91.25,,,72.06,51.30,157,25.91,36.22,
15,Cannons,12,4,8,232,263,3080,265,92.08,,,60.28,47.27,105,22.87,39.33,,2019,4,2631,219,92.32,,,66.28,50.44,132,32.29,51.10,
16,Spiders,12,3,9,264,301,3005,237,92.69,,,61.66,49.75,100,21.72,48.46,,2019,3,3044,209,93.58,,,71.97,59.94,144,28.40,48.17,
17,Outlaws,12,3,9,228,265,2563,289,89.87,,,61.03,44.47,129,20.08,34.23,,2019,3,2841,246,92.03,,,70.36,52.82,137,30,41.83,
18,Sol,12,3,9,229,254,2803,284,90.80,,,59.22,43.49,103,24.41,39.49,,2019,3,2581,255,91.01,,,67.98,50,159,29.08,40.59,
19,Cascades,12,2,10,263,306,3249,255,92.72,,,63.75,52.36,102,18.06,39.10,,2019,2,2869,198,93.54,,,72.92,58.50,125,28.92,52.75,
20,Mechanix,12,0,12,174,277,2755,325,89.45,,,47.85,34.04,112,14.29,28.71,,2019,0,2486,226,91.67,,,76.26,57.63,170,41.86,46.84,
0,Empire,15,12,3,324,289,3880,220,94.63,95,62.91,75,61.24,141,25.07,52.73,79.64,2021,12,3882,248,94,92,57.50,68.50,57.11,115,16.46,40,78.97
1,Growlers,14,11,3,286,259,3225,255,92.67,84,64.12,70.67,55.71,149,27.24,43.59,81.46,2021,11,3629,288,92.65,90,55.56,65.38,49.51,127,19.50,39.57,75.57
2,Union,14,11,3,312,246,3476,192,94.77,82,61.19,76.69,64.56,142,30.97,53.03,87.35,2021,11,4088,267,93.87,85,59.86,60.77,48.13,111,14.23,40.86,73.04
3,Flyers,15,11,4,341,280,4063,218,94.91,106,59.55,77.23,64.46,142,28.76,52.97,83.97,2021,11,3930,287,93.19,86,54.78,62.47,50.65,122,15.61,40.52,79.43
4,Wind Chill,13,10,3,280,231,3842,229,94.37,86,62.77,74.31,56.80,151,30.43,50,79.67,2021,10,3102,275,91.86,82,58.16,60.07,47.23,111,20.63,37.96,73.60
5,Breeze,13,10,3,284,218,4045,189,95.54,86,58.50,74.58,60.88,153,34.44,54.74,82.59,2021,10,2961,258,91.99,80,54.05,57.81,45.79,104,18.33,42.72,82.14
6,Hustle,13,9,4,273,245,2698,199,93.13,111,72.55,71.11,59.08,131,27.65,48.50,76.05,2021,9,4053,240,94.41,86,57.72,62.80,49.86,109,22.22,49.18,81.35
7,Legion,13,8,5,261,241,3410,240,93.42,89,57.42,68.30,54.35,129,27.97,45.45,77.06,2021,8,2622,255,91.14,88,59.46,62.59,48.12,110,23.22,46.27,74.38
8,Radicals,12,7,5,257,222,3248,215,93.79,64,56.64,65.02,51.30,121,36,56.90,77.78,2021,7,3464,244,93.42,72,58.06,57.40,46.49,117,25,46.56,77.36
9,Royal,9,7,2,190,179,2062,174,92.22,86,64.66,72.02,53.67,98,24.51,44.25,80.56,2021,7,1801,187,90.59,75,79.79,67.65,52.67,94,21.24,36.61,82.54
10,Sol,12,6,6,258,252,3242,270,92.31,75,52.45,62.68,48.19,157,30,47.73,72.36,2021,6,2398,276,89.68,100,64.10,63.35,48.37,131,26.91,44.31,72.25
11,Aviators,12,5,7,220,235,2771,272,91.06,73,60.83,63.57,46.59,109,23.14,37.58,70.39,2021,5,3050,263,92.06,71,56.80,67.50,49.39,144,28.02,41.14,73.21
12,Glory,12,5,7,268,265,2951,203,93.56,79,58.09,70.73,58,121,22.65,51.59,80.18,2021,5,2910,202,93.51,92,63.45,70.03,58.60,112,22.38,48.85,80.63
13,Spiders,12,4,8,236,248,2598,257,91,95,62.50,62.31,47.58,122,26.85,48.25,76.14,2021,4,3221,244,92.96,74,52.11,63.42,50.15,138,31.60,48.02,77.78
14,Rush,9,3,6,188,190,1853,176,91.33,80,84.21,68.29,54.69,92,23.50,41.59,81.43,2021,3,1956,167,92.13,96,69.57,71,54.41,92,22.93,46.53,83.87
15,Cascades,12,3,9,223,253,2799,281,90.88,82,50.31,59.12,44.26,123,25,42.36,76.37,2021,3,3097,245,92.67,76,57.14,66.12,50.78,145,32.85,47.87,80.20
16,AlleyCats,12,3,9,238,254,3024,229,92.96,92,62.16,62.68,51.80,117,23.94,45.93,75.66,2021,3,3410,204,94.36,62,51.24,65.64,52.47,111,29.82,55.03,84.58
17,Outlaws,8,3,5,168,177,1623,164,90.82,87,76.32,69.89,53.72,82,21.11,39.58,80.21,2021,3,1781,160,91.76,82,74.55,71.67,55.13,86,25.27,43.12,76.15
18,Phoenix,12,3,9,217,257,2882,246,92.14,90,57.69,63.84,49.15,93,18.64,37.61,76.43,2021,3,3090,203,93.84,74,56.92,73.31,57.28,129,30.18,50.30,77.83
19,Cannons,12,2,10,204,291,2800,305,90.18,85,49.71,55.45,41.39,107,13.27,31.25,74.05,2021,2,2799,208,93.08,92,58.97,80.09,63.29,163,35.26,48.89,82.30
20,Thunderbirds,12,1,11,228,289,3081,263,92.14,79,56.43,60.71,48.07,111,16.60,38.32,81.44,2021,1,2742,201,93.17,125,68.31,77.82,61.46,142,31.27,51.89,79.50
21,Mechanix,12,0,12,187,322,3150,325,90.65,72,52.55,47.51,36.32,94,11.11,26.14,66.67,2021,0,2737,200,93.19,98,68.53,83.50,64.42,172,43.11,55.89,82.45
