,TEAM,G,W_x,L,S,SA,C,T,CMP %,H,HUCK %,HLD %,OLC %,B,BRK %,DLC %,RZC %,YEAR,W_y,OPP C,OPP T,OPP CMP %,OPP H,OPP HUCK %,OPP HLD %,OPP OLC %,OPP B,OPP BRK %,OPP DLC %,OPP RZC %
3,FlameThrowers,15,11,4,357,295,3365,436,88.53,,,64,43.24,204,38.50,42.21,,2014,11,3664,501,87.97,,,52.71,36.17,205,27.78,35.16,
4,Empire,16,11,5,357,281,3916,394,90.86,,,64.22,46.85,239,40,43.09,,2014,11,4171,460,90.07,,,50.38,34.74,174,26.84,40.19,
5,Breeze,15,10,5,347,344,3784,376,90.96,,,59.63,44.16,178,33.07,50.20,,2014,10,4204,389,91.53,,,59.25,45.10,167,32.62,44.85,
6,Union,15,9,6,324,265,3677,365,90.97,,,68.81,49.15,193,34.18,39.29,,2014,9,3414,418,89.09,,,55.59,37.24,198,24.15,34.98,
7,AlleyCats,15,9,6,328,324,3546,380,90.32,,,63.53,45.19,189,27.65,37.75,,2014,9,3805,395,90.60,,,63.41,45.13,216,27.40,39.11,
8,Wind Chill,14,8,6,341,302,4140,311,93.01,,,65.06,49.66,243,34.06,47.89,,2014,8,3232,349,90.25,,,56.78,42.68,148,26.60,41.92,
9,Riptide,14,8,6,357,316,2972,394,88.29,,,59.88,45.18,223,39.22,45.62,,2014,8,3426,447,88.46,,,56.25,39.27,192,28.86,40.91,
10,Royal,14,6,8,296,304,3314,338,90.74,,,56.33,42.50,160,33.75,47.39,,2014,6,3694,347,91.41,,,58.95,43.31,191,34.04,46.50,
11,Revolution,14,4,10,258,332,2804,416,87.08,,,53.48,37.65,158,23,36.07,,2014,4,3413,333,91.11,,,69.34,49.14,236,36.94,44.04,
12,Cascades,14,3,11,277,296,3656,460,88.82,,,54.32,36.97,210,33.11,35.31,,2014,3,3174,392,89.01,,,61.01,38.85,189,36.89,41.76,
13,Phoenix,14,2,12,249,338,4106,423,90.66,,,52.07,36.99,154,21.09,31.87,,2014,2,3233,316,91.10,,,70.50,49.87,217,39.07,48.31,
14,Dragons,14,1,13,225,359,3298,474,87.43,,,45.88,31.62,153,18.90,29.81,,2014,1,3620,339,91.44,,,73.52,52.25,258,44.70,46.01,
15,Lions,14,0,14,224,430,3753,550,87.22,,,40.56,27.75,152,14.89,22.88,,2014,0,2450,372,86.82,,,69.44,49.58,253,55.68,52.69,
16,Mechanix,14,0,14,217,386,3164,518,85.93,,,43.87,29.20,176,15.51,22.89,,2014,0,3257,358,90.10,,,75.92,51.81,296,48.31,48.54,
0,Radicals,17,15,2,426,294,4119,358,92,,,73.78,52.95,270,40,49.60,,2015,15,5644,480,92.16,,,50.43,37.85,179,18.90,30.54,
1,Rush,16,14,2,455,318,4173,361,92.04,,,73.43,55.75,264,40.66,49.50,,2015,14,3456,507,87.21,,,51.65,37.48,132,19.43,35.98,
2,Thunderbirds,16,13,3,455,341,4282,348,92.48,,,73.33,55.44,225,36.96,52.94,,2015,13,4396,429,91.11,,,55.84,42.64,164,17.14,32.97,
3,Spiders,17,13,4,408,373,4332,392,91.70,,,68.30,50.92,184,29.48,42.07,,2015,13,4479,434,91.17,,,63.43,46.68,194,22.55,38.17,
4,Flyers,16,12,4,425,368,3833,389,90.79,,,69.25,51.11,229,32.10,47.59,,2015,12,4397,449,90.73,,,58.35,44.54,172,24.69,39.44,
5,Empire,16,12,4,352,285,3805,393,90.64,,,62.15,43.97,223,40.36,47.11,,2015,12,3869,453,89.52,,,50.65,35.78,219,28.39,39.30,
6,Hustle,14,10,4,353,308,3613,324,91.77,,,69.14,53.32,203,31.50,43.17,,2015,10,3448,370,90.31,,,60.69,44.23,142,23.15,41.71,
7,Cannons,15,10,5,368,339,3684,348,91.37,,,66.40,49.70,160,30.25,47.08,,2015,10,3974,373,91.42,,,63.25,48.10,201,23.18,37.72,
8,Royal,15,9,6,338,341,2856,427,86.99,,,59.57,42.75,226,31.71,42.70,,2015,9,4116,422,90.70,,,60,42.86,203,32.08,42.50,
9,Cascades,16,9,7,395,355,3105,360,89.61,,,68.30,51.16,201,30.44,47.27,,2015,9,4351,394,91.70,,,61.03,47.62,137,24.48,40.08,
10,FlameThrowers,15,8,7,336,325,4138,385,91.49,,,60.78,44.38,175,32.34,44.74,,2015,8,3748,397,90.42,,,58.58,42.57,201,30.99,42.64,
11,Union,15,8,6,326,267,3827,338,91.88,,,64.06,44.32,180,38.19,43.70,,2015,8,3032,451,87.05,,,53.48,35.49,208,25.25,33.33,
12,Breeze,14,7,7,302,316,3198,383,89.30,,,57.39,40.57,180,31.52,45.22,,2015,7,3645,371,90.76,,,59.70,44.67,188,34.59,43.27,
13,Outlaws,14,7,7,326,313,3557,360,90.81,,,64.04,46.01,162,30.23,43.67,,2015,7,2843,379,88.24,,,61.58,45.51,184,27.86,38.62,
14,AlleyCats,14,7,7,340,306,3784,330,91.98,,,67.07,51.14,179,31.52,43.28,,2015,7,4123,360,91.97,,,58.81,43.84,160,26.57,44.50,
15,Growlers,14,7,7,314,328,3837,302,92.70,,,61.80,47.72,154,27.49,47.24,,2015,7,3698,300,92.50,,,64.91,51.75,139,29.78,46.49,
16,Wind Chill,14,6,7,292,303,3747,427,89.77,,,53.47,35.47,266,35.94,42.91,,2015,6,3346,439,88.40,,,55.31,37.66,218,37.84,41.04,
17,Aviators,14,5,9,290,318,3707,352,91.33,,,58.38,43.82,148,27.59,42.72,,2015,5,3254,314,91.20,,,63.64,47.88,178,33.24,46.56,
18,Riptide,14,4,10,339,376,3769,344,91.64,,,64.85,51.68,152,20.92,39.49,,2015,4,3283,301,91.60,,,70.92,54.38,172,28.40,49.15,
19,Express,14,2,12,271,346,3619,369,90.75,,,54.01,39.76,166,23.08,42.59,,2015,2,3528,295,92.28,,,68.67,53.09,180,37.33,48.95,
20,Revolution,14,2,12,256,372,3991,455,89.77,,,51.74,36.56,162,16.90,26.82,,2015,2,3883,340,91.95,,,75.89,53.63,234,39.75,46.49,
21,Nightwatch,14,2,12,285,344,4006,410,90.72,,,60.59,43.88,152,18.85,28.10,,2015,2,3381,351,90.59,,,72.52,50.33,216,31.37,42.24,
22,Phoenix,14,1,13,257,346,3014,425,87.64,,,50.13,36.03,154,24.56,36.27,,2015,1,3810,335,91.92,,,67.48,48.86,215,40.91,49.04,
23,Dragons,14,1,13,255,371,3872,454,89.51,,,49.12,36.10,143,20.85,30.89,,2015,1,2709,332,89.08,,,71.38,49.27,210,42.25,51.52,
24,Mechanix,14,0,14,233,444,3760,501,88.24,,,42.32,31.75,135,12.45,24.09,,2015,0,3215,259,92.54,,,80.40,58.77,247,49.44,59.84,
0,Legion,17,17,0,489,335,4161,376,91.71,,,77.78,58.10,292,38.62,49.39,,2016,17,3445,505,87.22,,,52.87,38.57,184,14.71,27.93,
1,Radicals,16,15,1,413,274,3702,382,90.65,,,71.90,53.01,276,43.37,46.28,,2016,15,4796,505,90.47,,,46.41,31.44,168,19.42,31.21,
2,Rush,16,13,3,417,322,3895,396,90.77,,,67.89,49.59,253,39.02,47.44,,2016,13,3813,507,88.26,,,52.33,37.46,190,24.16,38.22,
3,Cascades,18,12,6,454,429,2535,360,87.56,,,65.09,49.53,190,32.48,50.91,,2016,12,4758,431,91.69,,,61.40,48.62,214,28.08,47.27,
4,Thunderbirds,16,11,5,393,334,4199,410,91.10,,,66.03,47.82,249,35.76,45.65,,2016,11,3872,466,89.26,,,55.16,40.03,224,26.98,39.29,
5,FlameThrowers,15,11,4,390,344,4047,363,91.77,,,69.17,51.50,213,31.65,45.67,,2016,11,3604,407,89.85,,,60,44.76,200,24.47,40.53,
6,Breeze,16,11,5,396,329,3901,378,91.17,,,65.48,47.05,225,36.43,51.14,,2016,11,4391,451,90.69,,,54.99,41.43,199,25.14,37.86,
7,Wind Chill,15,9,6,326,354,4237,450,90.40,,,58.96,39.21,259,27.73,40.91,,2016,9,3752,419,89.95,,,63.48,47,220,33.78,38.72,
8,Aviators,15,9,6,357,344,4374,325,93.08,,,62.20,50.33,189,32.04,48.06,,2016,9,3446,340,91.02,,,60.62,46.06,171,29.73,52.63,
9,Flyers,15,9,6,350,341,3463,357,90.65,,,66.01,49.26,214,29.79,41.95,,2016,9,3863,394,90.74,,,64.74,46.77,186,25.54,38.78,
10,AlleyCats,14,8,6,360,316,3411,362,90.41,,,65.12,49.34,187,35.14,45.95,,2016,8,4032,405,90.87,,,58.25,42.32,184,26.09,41.67,
11,Hustle,16,8,8,379,386,4152,383,91.55,,,64.85,50.09,193,25.73,39.41,,2016,8,4056,389,91.25,,,66.42,48.75,209,26.78,45.75,
12,Empire,15,7,8,329,301,3803,401,90.46,,,61.56,44.66,214,34.16,41.06,,2016,7,3681,424,89.67,,,55.92,38.74,197,29.43,41.70,
13,Outlaws,14,7,7,340,336,3597,408,89.81,,,62.09,45.47,201,30.98,41.91,,2016,7,2911,407,87.73,,,62.40,44.04,201,29.56,41.96,
14,Sol,14,7,7,357,331,3767,411,90.16,,,66.20,46.68,215,30.49,41.55,,2016,7,3204,402,88.85,,,62.87,45.40,220,26.48,36.86,
15,Riptide,14,6,8,344,352,3461,326,91.39,,,65,50.10,191,26.01,47.09,,2016,6,3415,312,91.63,,,67.74,53.50,162,26.32,43.48,
16,Royal,14,6,8,298,331,3185,416,88.45,,,57.78,39.77,194,27.61,40.72,,2016,6,3493,381,90.17,,,63.27,46.28,214,35.10,42,
17,Spiders,14,5,9,334,361,3506,345,91.04,,,62.47,48.41,179,25.14,43.13,,2016,5,3579,318,91.84,,,66.85,51.49,193,30.51,48.18,
18,Cannons,14,5,9,332,352,3487,336,91.21,,,65.88,49.80,157,22.31,40.10,,2016,5,3249,323,90.96,,,68.60,52.31,198,27.03,43.83,
19,Mechanix,14,4,10,258,337,3510,494,87.66,,,51.09,35.35,215,24.40,27.63,,2016,4,3232,427,88.33,,,65.96,40.78,252,40.82,45.43,
20,Express,14,4,10,273,332,3137,398,88.74,,,56.11,39.61,184,23.59,37.77,,2016,4,3821,334,91.96,,,67.77,49.76,194,35.46,44.14,
21,Union,14,4,10,261,295,3979,433,90.19,,,55.27,35.97,178,28.47,35.09,,2016,4,3071,402,88.42,,,64.83,43.12,211,32.82,36.27,
22,Nightwatch,14,3,11,298,388,3566,382,90.32,,,59.13,44.24,135,15.90,34.44,,2016,3,3717,288,92.81,,,75.23,58.71,184,34.13,48.97,
23,Growlers,14,2,12,296,350,3844,353,91.59,,,57.41,43.66,154,24.38,42.93,,2016,2,3582,301,92.25,,,67.59,52.14,199,34.48,48.69,
24,Revolution,14,0,14,273,375,3570,506,87.59,,,55.58,36.60,179,16.23,25,,2016,0,3532,392,90.01,,,75.50,51.70,273,36.39,40.61,
25,Phoenix,14,0,14,222,390,3293,496,86.91,,,45.19,32.03,153,13.65,22.52,,2016,0,3467,317,91.62,,,79.20,55,242,45.82,50.79,
0,FlameThrowers,17,13,4,474,405,3805,381,90.90,,,73.58,55.98,234,29.67,47.78,,2017,13,4515,448,90.97,,,62.01,48.17,202,20.50,37.82,
1,Rush,17,13,4,445,386,4128,394,91.29,,,66.67,51,239,34.45,49.85,,2017,13,4054,456,89.89,,,59.21,45.14,180,24.41,41.20,
2,Legion,17,13,4,440,360,4699,395,92.25,,,72.08,53.99,224,32.91,44.70,,2017,13,4136,473,89.74,,,60.13,44.12,186,19.04,33.04,
3,Radicals,16,13,3,356,304,3966,320,92.53,,,66.47,52.21,232,33.85,45.36,,2017,13,5220,385,93.13,,,56.92,41.42,166,24.33,44.81,
