,GAME_INFO,LOCATION,TEAM1_NAME,TEAM1_SCORE,TEAM2_NAME,TEAM2_SCORE
7,2015-07-18 22:30:00,, San Diego Growlers,16, LA Aviators,21
8,2015-07-18 19:30:00,, Toronto Rush,30, Ottawa Outlaws,26
9,2015-07-18 19:00:00,, Indianapolis AlleyCats,25, Pittsburgh Thunderbirds,29
0,2015-05-02 19:00:00,, Pittsburgh Thunderbirds,18, Madison Radicals,24
1,2015-05-02 18:30:00,, Ottawa Outlaws,24, Rochester Dragons,18
2,2015-05-02 18:00:00,, Nashville Nightwatch,18, Jacksonville Cannons,23
3,2015-05-01 19:30:00,, Chicago Union,22, Indianapolis AlleyCats,23
4,2015-04-26 17:30:00,, Jacksonville Cannons,20, Atlanta Hustle,23
5,2015-04-26 16:00:00,, Toronto Rush,26, Montreal Royal,27
6,2015-04-26 16:00:00,, San Diego Growlers,18, San Jose Spiders,31
7,2015-04-25 21:00:00,, Seattle Cascades,26, Vancouver Riptide,22
8,2015-04-25 20:00:00,, Detroit Mechanix,12, Madison Radicals,35
9,2015-04-25 19:00:00,, Cincinnati Revolution,16, Pittsburgh Thunderbirds,30
0,2014-04-26 20:00:00,, San Francisco FlameThrowers,17, Seattle Cascades,13
1,2014-04-26 20:00:00,, Indianapolis AlleyCats,22, Detroit Mechanix,16
2,2014-04-26 20:00:00,, Cincinnati Revolution,12, Chicago Union,27
3,2014-04-26 20:00:00,, San Jose Spiders,31, Salt Lake Lions,20
4,2014-04-26 20:00:00,, Rochester Dragons,8, New York Empire,27
5,2014-04-25 20:00:00,, Madison Radicals,20, Minnesota Wind Chill,23
6,2014-04-20 20:00:00,, Salt Lake Lions,18, San Jose Spiders,37
7,2014-04-19 20:00:00,, Chicago Union,19, Indianapolis AlleyCats,25
8,2014-04-19 20:00:00,, Toronto Rush,22, Montreal Royal,14
9,2014-04-19 20:00:00,, Salt Lake Lions,9, San Francisco FlameThrowers,32
0,2021-06-18 21:30:00,Oakland Technical High School, San Diego Growlers,23, San Jose Spiders,16
1,2021-06-18 20:30:00,John Paul II High School, LA Aviators,12, Dallas Legion,20
2,2021-06-18 20:00:00,Sea Foam Stadium, Madison Radicals,19, Minnesota Wind Chill,25
3,2021-06-18 19:00:00,"Carlini Field, Catholic U", Boston Glory,20, DC Breeze,32
4,2021-06-18 17:30:00,JC Stone Field, New York Empire,24, Pittsburgh Thunderbirds,19
5,2021-06-13 15:00:00,Mission Bay, LA Aviators,20, San Diego Growlers,18
6,2021-06-12 21:30:00,Oakland Technical High School, Seattle Cascades,19, San Jose Spiders,20
7,2021-06-12 20:00:00,Westlake Chaparral Stadium, Dallas Legion,23, Austin Sol,24
8,2021-06-12 19:00:00,Grand Park, Detroit Mechanix,16, Indianapolis AlleyCats,28
9,2021-06-12 18:05:00,Campbell Park, Pittsburgh Thunderbirds,15, Tampa Bay Cannons,18
0,2021-08-13 21:30:00,Laney College Football Field, Seattle Cascades,16, San Jose Spiders,20
1,2021-08-13 19:00:00,South Philadelphia Super Site, New York Empire,20, Philadelphia Phoenix,19
2,2021-08-13 19:00:00,Hormel Stadium, Pittsburgh Thunderbirds,20, Boston Glory,26
3,2021-08-12 19:00:00,Complexe Sportif Claude-Robillard, Ottawa Outlaws,16, Montreal Royal,18
4,2021-08-08 14:00:00,JC Stone Field, DC Breeze,25, Pittsburgh Thunderbirds,16
5,2021-08-08 13:00:00,MNP Park Stadium, Montreal Royal,22, Ottawa Outlaws,18
6,2021-08-07 20:00:00,Westlake Chaparral Stadium, Dallas Legion,23, Austin Sol,22
7,2021-08-07 19:00:00,St Pius HS Field, Tampa Bay Cannons,21, Atlanta Hustle,20
8,2021-08-07 19:00:00,Joseph F. Fosina Field, Raleigh Flyers,23, New York Empire,24
9,2021-08-07 19:00:00,Langhorst Field, Detroit Mechanix,18, Chicago Union,22
0,2015-07-18 21:00:00,, Vancouver Riptide,17, Seattle Cascades,30
1,2015-07-18 21:00:00,, San Jose Spiders,18, San Francisco FlameThrowers,32
2,2015-07-18 20:00:00,, Charlotte Express,19, Nashville Nightwatch,22
3,2015-07-18 18:30:00,, New York Empire,20, Philadelphia Phoenix,17
4,2015-07-17 20:00:00,, Cincinnati Revolution,19, Madison Radicals,39
5,2015-07-17 20:00:00,, Detroit Mechanix,11, Minnesota Wind Chill,45
6,2015-07-16 20:00:00,, Rochester Dragons,17, Toronto Rush,39
7,2015-07-12 15:00:00,, Nashville Nightwatch,18, Atlanta Hustle,28
8,2015-07-12 13:00:00,, Rochester Dragons,16, Philadelphia Phoenix,26
9,2015-07-12 13:00:00,, Indianapolis AlleyCats,24, Madison Radicals,25
0,2015-04-25 21:00:00,, San Diego Growlers,22, San Francisco FlameThrowers,27
1,2015-04-25 19:00:00,, Jacksonville Cannons,18, Nashville Nightwatch,20
2,2015-04-25 17:00:00,, Toronto Rush,23, Ottawa Outlaws,19
3,2015-04-25 17:00:00,, Philadelphia Phoenix,17, New York Empire,27
4,2015-04-25 16:00:00,, Minnesota Wind Chill,14, Chicago Union,20
5,2015-04-24 19:30:00,, Cincinnati Revolution,9, Indianapolis AlleyCats,25
6,2015-04-19 17:00:00,, Madison Radicals,23, Cincinnati Revolution,9
7,2015-04-19 13:00:00,, Ottawa Outlaws,18, Philadelphia Phoenix,15
8,2015-04-19 13:00:00,, Jacksonville Cannons,21, Charlotte Express,19
9,2015-04-18 22:30:00,, Vancouver Riptide,21, Seattle Cascades,20
0,2014-04-19 20:00:00,, Madison Radicals,34, Detroit Mechanix,9
1,2014-04-19 20:00:00,, Seattle Cascades,19, Vancouver Riptide,24
2,2014-04-18 20:00:00,, Chicago Union,22, Cincinnati Revolution,23
3,2014-04-13 20:00:00,, Minnesota Wind Chill,19, Chicago Union,27
4,2014-04-13 20:00:00,, Toronto Rush,22, New York Empire,20
5,2014-04-13 20:00:00,, Madison Radicals,26, Indianapolis AlleyCats,21
6,2014-04-13 20:00:00,, Vancouver Riptide,21, Salt Lake Lions,12
7,2014-04-12 20:00:00,, Minnesota Wind Chill,30, Detroit Mechanix,21
8,2014-04-12 20:00:00,, Rochester Dragons,13, Philadelphia Phoenix,10
9,2014-04-12 20:00:00,, Vancouver Riptide,29, Salt Lake Lions,14
0,2015-07-11 21:00:00,, LA Aviators,22, San Diego Growlers,23
1,2015-07-11 20:00:00,, Indianapolis AlleyCats,21, Minnesota Wind Chill,22
2,2015-07-11 19:30:00,, Pittsburgh Thunderbirds,33, Cincinnati Revolution,27
3,2015-07-11 19:00:00,, Charlotte Express,23, Raleigh Flyers,26
4,2015-07-11 18:30:00,, Rochester Dragons,19, DC Breeze,27
5,2015-07-11 18:00:00,, Nashville Nightwatch,27, Jacksonville Cannons,29
6,2015-07-10 19:00:00,, Detroit Mechanix,16, Pittsburgh Thunderbirds,42
7,2015-07-10 18:30:00,, Philadelphia Phoenix,12, DC Breeze,27
8,2015-07-05 12:00:00,, DC Breeze,21, Montreal Royal,25
9,2015-07-04 19:00:00,, Jacksonville Cannons,24, Atlanta Hustle,21
0,2015-04-18 22:00:00,, San Francisco FlameThrowers,26, San Jose Spiders,29
1,2015-04-18 22:00:00,, LA Aviators,25, San Diego Growlers,23
2,2015-04-18 19:30:00,, Madison Radicals,26, Indianapolis AlleyCats,18
3,2015-04-18 19:00:00,, Atlanta Hustle,23, Nashville Nightwatch,17
4,2015-04-18 18:30:00,, Ottawa Outlaws,19, DC Breeze,23
5,2015-04-18 15:00:00,, Jacksonville Cannons,26, Raleigh Flyers,33
6,2015-04-12 16:00:00,, Seattle Cascades,26, San Diego Growlers,22
7,2015-04-12 16:00:00,, Vancouver Riptide,26, San Jose Spiders,32
8,2015-04-12 13:00:00,, Toronto Rush,26, Philadelphia Phoenix,21
9,2015-04-12 13:00:00,, Atlanta Hustle,27, Charlotte Express,25
0,2014-04-12 20:00:00,, San Francisco FlameThrowers,16, San Jose Spiders,20
1,2014-04-12 20:00:00,, Toronto Rush,20, DC Breeze,19
2,2014-04-12 20:00:00,, Madison Radicals,25, Cincinnati Revolution,16
3,2013-08-04 15:00:00,, Madison Radicals,14, Toronto Rush,16
4,2013-08-03 20:00:00,, New York Empire,18, Toronto Rush,25
5,2013-08-03 16:00:00,, Madison Radicals,21, Chicago Union,15
6,2013-07-27 14:00:00,, Indianapolis AlleyCats,15, Madison Radicals,18
7,2013-07-26 20:00:00,, Philadelphia Phoenix,13, New York Empire,21
8,2013-07-14 17:00:00,, Indianapolis AlleyCats,23, Madison Radicals,25
9,2013-07-14 14:00:00,, Toronto Rush,35, Philadelphia Phoenix,24
0,2019-07-20 22:00:00,Mission Bay, LA Aviators,21, San Diego Growlers,25
1,2019-07-20 19:00:00,Joseph F. Fosina Field, DC Breeze,21, Toronto Rush,22
2,2019-07-20 18:00:00,JC Stone Field, Chicago Union,20, Pittsburgh Thunderbirds,21
3,2019-07-14 16:00:00,Grand Park, Pittsburgh Thunderbirds,25, Indianapolis AlleyCats,17
4,2019-07-14 15:00:00,Complexe Sportif Claude-Robillard, Philadelphia Phoenix,21, Montreal Royal,20
5,2019-07-14 13:00:00,Breese Stevens Field, Detroit Mechanix,9, Madison Radicals,33
6,2019-07-13 19:00:00,Wake Competition Center, Tampa Bay Cannons,24, Raleigh Flyers,25
7,2019-07-13 19:00:00,Langhorst Field, Pittsburgh Thunderbirds,29, Chicago Union,16
8,2019-07-13 18:00:00,MNP Park Stadium, Philadelphia Phoenix,19, Ottawa Outlaws,20
9,2019-07-06 19:00:00,Grand Park, Chicago Union,21, Indianapolis AlleyCats,24
0,2017-06-17 21:00:00,, Seattle Cascades,24, Vancouver Riptide,19
1,2017-06-17 18:00:00,, DC Breeze,23, Montreal Royal,27
2,2017-06-17 17:00:00,, San Francisco FlameThrowers,27, Toronto Rush,33
3,2017-06-11 14:00:00,, Toronto Rush,17, DC Breeze,25
4,2017-06-10 22:00:00,, Seattle Cascades,20, LA Aviators,25
5,2017-06-10 20:00:00,, Madison Radicals,23, Minnesota Wind Chill,22
6,2017-06-10 19:00:00,, Atlanta Hustle,23, Jacksonville Cannons,27
7,2017-06-10 19:00:00,, Nashville Nightwatch,20, Raleigh Flyers,32
8,2017-06-10 19:00:00,, Ottawa Outlaws,13, Montreal Royal,16
9,2017-06-10 19:00:00,, Toronto Rush,35, Philadelphia Phoenix,28
0,2019-07-06 22:00:00,Foothill College Stadium, San Diego Growlers,26, San Jose Spiders,20
1,2019-07-06 21:00:00,Seattle Memorial Stadium, LA Aviators,31, Seattle Cascades,23
2,2019-07-06 19:00:00,St Pius HS Field, Dallas Legion,19, Atlanta Hustle,23
3,2019-07-06 19:00:00,Breese Stevens Field, Minnesota Wind Chill,17, Madison Radicals,22
4,2019-07-06 18:00:00,A.A. Garthwaite Stadium, New York Empire,22, Philadelphia Phoenix,20
5,2019-07-06 16:00:00,Bishop Foley Stadium, Pittsburgh Thunderbirds,24, Detroit Mechanix,23
6,2019-07-06 16:00:00,Varsity Stadium, DC Breeze,21, Toronto Rush,26
7,2019-07-05 19:00:00,Wake Competition Center, Dallas Legion,15, Raleigh Flyers,22
8,2019-07-04 19:00:00,Complexe Sportif Claude-Robillard, Ottawa Outlaws,22, Montreal Royal,25
9,2019-06-30 14:00:00,MNP Park Stadium, New York Empire,27, Ottawa Outlaws,23
0,2015-07-04 16:00:00,, DC Breeze,26, Ottawa Outlaws,25
1,2015-07-03 19:00:00,, New York Empire,25, Rochester Dragons,19
2,2015-06-28 17:00:00,, San Francisco FlameThrowers,17, Seattle Cascades,27
3,2015-06-28 15:30:00,, Minnesota Wind Chill,25, Indianapolis AlleyCats,21
4,2015-06-28 14:00:00,, Chicago Union,26, Pittsburgh Thunderbirds,27
5,2015-06-28 12:00:00,, Philadelphia Phoenix,13, New York Empire,24
6,2015-06-27 19:30:00,, Minnesota Wind Chill,21, Cincinnati Revolution,17
7,2015-06-27 19:00:00,, Atlanta Hustle,26, Charlotte Express,13
8,2015-06-27 19:00:00,, Nashville Nightwatch,15, Raleigh Flyers,20
9,2015-06-27 19:00:00,, Ottawa Outlaws,29, Montreal Royal,25
0,2015-04-12 12:00:00,, Montreal Royal,20, New York Empire,22
1,2015-04-11 22:30:00,, Seattle Cascades,29, LA Aviators,20
2,2015-04-11 21:00:00,, Vancouver Riptide,25, San Francisco FlameThrowers,26
3,2015-04-11 19:30:00,, Detroit Mechanix,17, Cincinnati Revolution,25
4,2015-04-11 19:30:00,, Pittsburgh Thunderbirds,28, Indianapolis AlleyCats,20
5,2015-04-11 19:00:00,, Atlanta Hustle,22, Raleigh Flyers,29
6,2015-04-11 18:30:00,, Toronto Rush,37, DC Breeze,17
7,2014-07-27 20:00:00,, San Jose Spiders,28, Toronto Rush,18
8,2014-07-26 20:00:00,, New York Empire,16, Toronto Rush,31
9,2014-07-26 20:00:00,, Madison Radicals,20, San Jose Spiders,23
0,2013-07-13 21:00:00,, Indianapolis AlleyCats,24, Minnesota Wind Chill,18
1,2013-07-13 18:00:00,, New Jersey Hammerheads,16, New York Empire,25
2,2013-07-13 14:00:00,, Toronto Rush,31, DC Breeze,17
3,2013-07-12 21:00:00,, Detroit Mechanix,19, Chicago Union,32
4,2013-07-07 17:00:00,, New York Empire,16, Toronto Rush,28
5,2013-07-07 17:00:00,, Cincinnati Revolution,16, Detroit Mechanix,17
6,2013-07-06 21:00:00,, Cincinnati Revolution,18, Madison Radicals,28
7,2013-07-06 20:30:00,, Minnesota Wind Chill,9, Indianapolis AlleyCats,29
8,2013-07-06 20:00:00,, New York Empire,27, Rochester Dragons,22
9,2013-07-06 20:00:00,, DC Breeze,24, New Jersey Hammerheads,17
0,2016-04-16 21:15:00,, LA Aviators,17, San Diego Growlers,19
1,2016-04-16 21:00:00,, Seattle Cascades,24, Vancouver Riptide,34
2,2016-04-15 19:00:00,, Cincinnati Revolution,19, Detroit Mechanix,20
3,2016-04-10 14:00:00,, Minnesota Wind Chill,17, Chicago Union,11
4,2016-04-10 13:30:00,, Ottawa Outlaws,17, DC Breeze,28
5,2016-04-09 22:30:00,, San Diego Growlers,20, LA Aviators,21
6,2016-04-09 21:00:00,, Seattle Cascades,18, San Francisco FlameThrowers,27
7,2016-04-09 19:30:00,, Dallas Legion,29, Austin Sol,18
8,2016-04-09 19:00:00,, Jacksonville Cannons,19, Raleigh Flyers,24
9,2016-04-09 19:00:00,, Charlotte Express,16, Atlanta Hustle,18
0,2019-06-30 16:30:00,Jerry Chabola Stadium, Seattle Cascades,14, LA Aviators,27
1,2019-06-30 14:00:00,Langhorst Field, Detroit Mechanix,6, Chicago Union,12
2,2019-06-30 14:00:00,Rudolph Gamblin Field, Atlanta Hustle,22, Austin Sol,21
3,2019-06-29 21:30:00,Balboa Stadium, Seattle Cascades,25, San Diego Growlers,26
4,2019-06-29 20:00:00,John Paul II High School, Atlanta Hustle,15, Dallas Legion,18
5,2019-06-29 19:30:00,Skyway Field, Raleigh Flyers,22, Tampa Bay Cannons,20
6,2019-06-29 19:00:00,Sea Foam Stadium, Detroit Mechanix,12, Minnesota Wind Chill,27
