,teamID,year,city,name_x,fullName,abbrev,wins,losses,ties,standing,divisionID,name_y
120,flyers,2015,Raleigh,Flyers,Raleigh Flyers,RAL,12,4,0,1,south,South
121,cannons,2015,Jacksonville,Cannons,Jacksonville Cannons,JAX,10,5,0,2,south,South
122,hustle,2015,Atlanta,Hustle,Atlanta Hustle,ATL,10,4,0,3,south,South
123,express,2015,Charlotte,Express,Charlotte Express,CHA,2,12,0,5,south,South
124,nightwatch,2015,Nashville,Nightwatch,Nashville Nightwatch,NSH,2,12,0,4,south,South
125,flyers,2017,Raleigh,Flyers,Raleigh Flyers,RAL,13,2,0,2,south,South
126,legion,2017,Dallas,Legion,Dallas Legion,DAL,13,4,0,1,south,South
127,cannons,2017,Jacksonville,Cannons,Jacksonville Cannons,JAX,10,5,0,3,south,South
128,hustle,2017,Atlanta,Hustle,Atlanta Hustle,ATL,5,9,0,4,south,South
129,sol,2017,Austin,Sol,Austin Sol,AUS,4,10,0,5,south,South
130,nightwatch,2017,Nashville,Nightwatch,Nashville Nightwatch,NSH,0,14,0,6,south,South
131,growlers,2021,San Diego,Growlers,San Diego Growlers,SD,11,3,0,1,west,West
132,legion,2021,Dallas,Legion,Dallas Legion,DAL,8,5,0,2,west,West
133,sol,2021,Austin,Sol,Austin Sol,AUS,6,6,0,3,west,West
134,aviators,2021,LA,Aviators,LA Aviators,LA,5,7,0,4,west,West
135,spiders,2021,San Jose,Spiders,San Jose Spiders,SJ,4,8,0,5,west,West
136,cascades,2021,Seattle,Cascades,Seattle Cascades,SEA,3,9,0,6,west,West
137,radicals,2015,Madison,Radicals,Madison Radicals,MAD,15,2,0,1,midwest,Midwest
138,thunderbirds,2015,Pittsburgh,Thunderbirds,Pittsburgh Thunderbirds,PIT,13,3,0,2,midwest,Midwest
139,union,2015,Chicago,Union,Chicago Union,CHI,8,6,1,3,midwest,Midwest
140,alleycats,2015,Indianapolis,AlleyCats,Indianapolis AlleyCats,IND,7,7,0,4,midwest,Midwest
141,windchill,2015,Minnesota,Wind Chill,Minnesota Wind Chill,MIN,6,7,1,5,midwest,Midwest
142,revolution,2015,Cincinnati,Revolution,Cincinnati Revolution,CIN,2,12,0,6,midwest,Midwest
143,mechanix,2015,Detroit,Mechanix,Detroit Mechanix,DET,0,14,0,7,midwest,Midwest
144,breeze,2021,DC,Breeze,DC Breeze,DC,10,3,0,3,atlantic,Atlantic
145,empire,2021,New York,Empire,New York Empire,NY,12,3,0,2,atlantic,Atlantic
146,hustle,2021,Atlanta,Hustle,Atlanta Hustle,ATL,9,4,0,4,atlantic,Atlantic
147,flyers,2021,Raleigh,Flyers,Raleigh Flyers,RAL,11,4,0,1,atlantic,Atlantic
148,glory,2021,Boston,Glory,Boston Glory,BOS,5,7,0,5,atlantic,Atlantic
149,phoenix,2021,Philadelphia,Phoenix,Philadelphia Phoenix,PHI,3,9,0,6,atlantic,Atlantic
150,cannons,2021,Tampa Bay,Cannons,Tampa Bay Cannons,TB,2,10,0,7,atlantic,Atlantic
151,thunderbirds,2021,Pittsburgh,Thunderbirds,Pittsburgh Thunderbirds,PIT,1,11,0,8,atlantic,Atlantic
152,union,2021,Chicago,Union,Chicago Union,CHI,11,3,0,1,central,Central
153,windchill,2021,Minnesota,Wind Chill,Minnesota Wind Chill,MIN,10,3,0,2,central,Central
154,radicals,2021,Madison,Radicals,Madison Radicals,MAD,7,5,0,3,central,Central
155,alleycats,2021,Indianapolis,AlleyCats,Indianapolis AlleyCats,IND,3,9,0,4,central,Central
156,mechanix,2021,Detroit,Mechanix,Detroit Mechanix,DET,0,12,0,5,central,Central
157,radicals,2018,Madison,Radicals,Madison Radicals,MAD,15,2,0,1,midwest,Midwest
158,alleycats,2018,Indianapolis,AlleyCats,Indianapolis AlleyCats,IND,12,4,0,2,midwest,Midwest
159,windchill,2018,Minnesota,Wind Chill,Minnesota Wind Chill,MIN,8,7,0,3,midwest,Midwest
160,union,2018,Chicago,Union,Chicago Union,CHI,5,9,0,4,midwest,Midwest
161,thunderbirds,2018,Pittsburgh,Thunderbirds,Pittsburgh Thunderbirds,PIT,4,10,0,5,midwest,Midwest
162,mechanix,2018,Detroit,Mechanix,Detroit Mechanix,DET,0,14,0,6,midwest,Midwest
163,legion,2018,Dallas,Legion,Dallas Legion,DAL,15,2,0,1,south,South
164,flyers,2018,Raleigh,Flyers,Raleigh Flyers,RAL,11,5,0,2,south,South
165,hustle,2018,Atlanta,Hustle,Atlanta Hustle,ATL,7,7,0,4,south,South
166,sol,2018,Austin,Sol,Austin Sol,AUS,6,9,0,3,south,South
167,cannons,2018,Tampa Bay,Cannons,Tampa Bay Cannons,TB,4,10,0,5,south,South
168,nightwatch,2018,Nashville,Nightwatch,Nashville Nightwatch,NSH,3,11,0,6,south,South
169,rush,2018,Toronto,Rush,Toronto Rush,TOR,13,2,0,2,east,East
170,breeze,2018,DC,Breeze,DC Breeze,DC,8,6,1,3,east,East
171,empire,2018,New York,Empire,New York Empire,NY,10,7,0,1,east,East
172,royal,2018,Montreal,Royal,Montreal Royal,MTL,6,8,0,4,east,East
173,phoenix,2018,Philadelphia,Phoenix,Philadelphia Phoenix,PHI,5,8,1,5,east,East
174,outlaws,2018,Ottawa,Outlaws,Ottawa Outlaws,OTT,3,11,0,6,east,East
175,aviators,2018,LA,Aviators,LA Aviators,LA,12,4,0,1,west,West
176,growlers,2018,San Diego,Growlers,San Diego Growlers,SD,7,8,0,2,west,West
177,spiders,2018,San Jose,Spiders,San Jose Spiders,SJ,6,8,0,3,west,West
178,flamethrowers,2018,San Francisco,FlameThrowers,San Francisco FlameThrowers,SF,5,9,0,5,west,West
179,cascades,2018,Seattle,Cascades,Seattle Cascades,SEA,5,9,0,4,west,West
180,rush,2014,Toronto,Rush,Toronto Rush,TOR,15,2,0,1,east,East
181,empire,2014,New York,Empire,New York Empire,NY,11,5,0,2,east,East
182,breeze,2014,DC,Breeze,DC Breeze,DC,10,5,0,3,east,East
183,royal,2014,Montreal,Royal,Montreal Royal,MTL,6,8,0,4,east,East
184,phoenix,2014,Philadelphia,Phoenix,Philadelphia Phoenix,PHI,2,12,0,5,east,East
185,dragons,2014,Rochester,Dragons,Rochester Dragons,ROC,1,13,0,6,east,East
186,spiders,2014,San Jose,Spiders,San Jose Spiders,SJ,16,1,0,1,west,West
187,flamethrowers,2014,San Francisco,FlameThrowers,San Francisco FlameThrowers,SF,11,4,0,2,west,West
188,riptide,2014,Vancouver,Riptide,Vancouver Riptide,VAN,8,6,0,3,west,West
189,cascades,2014,Seattle,Cascades,Seattle Cascades,SEA,3,11,0,4,west,West
190,lions,2014,Salt Lake,Lions,Salt Lake Lions,SLC,0,14,0,5,west,West
191,outlaws,2022,Ottawa,Outlaws,Ottawa Outlaws,OTT,2,10,0,7,east,East
