thrower_x,thrower_y,possession_num,possession_throw,game_quarter,quarter_point,is_home_team,home_team_score,away_team_score,gameID,total_points,home_teamID,away_teamID,times,home_team_win,score_diff
7.25,18.24,2,4,1,0,True,1,2,2023-06-30-DET-PIT,3,thunderbirds,mechanix,2629.0,1,-1
16.74,32.93,2,5,1,0,True,1,2,2023-06-30-DET-PIT,3,thunderbirds,mechanix,2622.0,1,-1
25.07,43.04,2,6,1,0,True,1,2,2023-06-30-DET-PIT,3,thunderbirds,mechanix,2615.0,1,-1
-7.2,13.16,1,1,1,0,False,2,2,2023-06-30-DET-PIT,4,thunderbirds,mechanix,2614.0,1,0
2.8,30.77,1,2,1,0,False,2,2,2023-06-30-DET-PIT,4,thunderbirds,mechanix,2606.8333333333335,1,0
15.44,20.0,1,3,1,0,False,2,2,2023-06-30-DET-PIT,4,thunderbirds,mechanix,2599.6666666666665,1,0
11.64,31.8,1,4,1,0,False,2,2,2023-06-30-DET-PIT,4,thunderbirds,mechanix,2592.5,1,0
6.88,31.59,1,1,1,0,True,2,2,2023-06-30-DET-PIT,4,thunderbirds,mechanix,2585.3333333333335,1,0
-11.24,34.59,1,2,1,0,True,2,2,2023-06-30-DET-PIT,4,thunderbirds,mechanix,2578.1666666666665,1,0
-24.9,36.36,1,3,1,0,True,2,2,2023-06-30-DET-PIT,4,thunderbirds,mechanix,2571.0,1,0
-19.39,100.0,1,0,1,0,True,3,2,2023-06-30-DET-PIT,5,thunderbirds,mechanix,2570.0,1,1
-0.49,21.74,2,1,1,0,False,3,2,2023-06-30-DET-PIT,5,thunderbirds,mechanix,2563.55,1,1
-1.26,45.87,2,2,1,0,False,3,2,2023-06-30-DET-PIT,5,thunderbirds,mechanix,2557.1,1,1
-7.39,66.9,2,3,1,0,False,3,2,2023-06-30-DET-PIT,5,thunderbirds,mechanix,2550.65,1,1
5.06,63.22,2,4,1,0,False,3,2,2023-06-30-DET-PIT,5,thunderbirds,mechanix,2544.2,1,1
-9.84,64.64,2,5,1,0,False,3,2,2023-06-30-DET-PIT,5,thunderbirds,mechanix,2537.75,1,1
-18.93,62.19,2,6,1,0,False,3,2,2023-06-30-DET-PIT,5,thunderbirds,mechanix,2531.3,1,1
-19.96,55.09,2,7,1,0,False,3,2,2023-06-30-DET-PIT,5,thunderbirds,mechanix,2524.85,1,1
-14.74,48.19,2,8,1,0,False,3,2,2023-06-30-DET-PIT,5,thunderbirds,mechanix,2518.4,1,1
-2.68,48.06,2,9,1,0,False,3,2,2023-06-30-DET-PIT,5,thunderbirds,mechanix,2511.95,1,1
10.41,48.12,2,10,1,0,False,3,2,2023-06-30-DET-PIT,5,thunderbirds,mechanix,2505.5,1,1
15.12,71.09,2,11,1,0,False,3,2,2023-06-30-DET-PIT,5,thunderbirds,mechanix,2499.05,1,1
19.37,84.45,2,11,1,0,False,3,2,2023-06-30-DET-PIT,5,thunderbirds,mechanix,2492.6,1,1
-16.75,20.26,2,1,1,0,True,3,2,2023-06-30-DET-PIT,5,thunderbirds,mechanix,2486.15,1,1
-10.45,15.97,2,2,1,0,True,3,2,2023-06-30-DET-PIT,5,thunderbirds,mechanix,2479.7,1,1
-18.47,12.06,2,3,1,0,True,3,2,2023-06-30-DET-PIT,5,thunderbirds,mechanix,2473.25,1,1
-21.65,17.38,2,4,1,0,True,3,2,2023-06-30-DET-PIT,5,thunderbirds,mechanix,2466.8,1,1
-15.83,23.2,2,5,1,0,True,3,2,2023-06-30-DET-PIT,5,thunderbirds,mechanix,2460.35,1,1
-25.2,24.1,2,6,1,0,True,3,2,2023-06-30-DET-PIT,5,thunderbirds,mechanix,2453.9,1,1
-8.24,34.83,2,7,1,0,True,3,2,2023-06-30-DET-PIT,5,thunderbirds,mechanix,2447.45,1,1
0.58,39.06,2,8,1,0,True,3,2,2023-06-30-DET-PIT,5,thunderbirds,mechanix,2441.0,1,1
15.5,12.32,1,1,1,0,False,4,2,2023-06-30-DET-PIT,6,thunderbirds,mechanix,2440.0,1,2
5.9,22.32,1,2,1,0,False,4,2,2023-06-30-DET-PIT,6,thunderbirds,mechanix,2433.3529411764707,1,2
12.73,25.93,1,3,1,0,False,4,2,2023-06-30-DET-PIT,6,thunderbirds,mechanix,2426.705882352941,1,2
-1.2,18.45,1,4,1,0,False,4,2,2023-06-30-DET-PIT,6,thunderbirds,mechanix,2420.0588235294117,1,2
-16.03,18.58,1,5,1,0,False,4,2,2023-06-30-DET-PIT,6,thunderbirds,mechanix,2413.4117647058824,1,2
-13.32,28.12,1,6,1,0,False,4,2,2023-06-30-DET-PIT,6,thunderbirds,mechanix,2406.764705882353,1,2
10.22,34.12,1,7,1,0,False,4,2,2023-06-30-DET-PIT,6,thunderbirds,mechanix,2400.1176470588234,1,2
-4.87,47.09,1,8,1,0,False,4,2,2023-06-30-DET-PIT,6,thunderbirds,mechanix,2393.470588235294,1,2
-10.36,44.19,1,9,1,0,False,4,2,2023-06-30-DET-PIT,6,thunderbirds,mechanix,2386.823529411765,1,2
-18.29,38.19,1,10,1,0,False,4,2,2023-06-30-DET-PIT,6,thunderbirds,mechanix,2380.176470588235,1,2
-7.07,39.93,1,11,1,0,False,4,2,2023-06-30-DET-PIT,6,thunderbirds,mechanix,2373.529411764706,1,2
-19.77,49.67,1,12,1,0,False,4,2,2023-06-30-DET-PIT,6,thunderbirds,mechanix,2366.8823529411766,1,2
20.35,64.59,1,1,1,0,True,4,2,2023-06-30-DET-PIT,6,thunderbirds,mechanix,2360.235294117647,1,2
23.23,71.02,1,2,1,0,True,4,2,2023-06-30-DET-PIT,6,thunderbirds,mechanix,2353.5882352941176,1,2
8.97,72.79,1,3,1,0,True,4,2,2023-06-30-DET-PIT,6,thunderbirds,mechanix,2346.9411764705883,1,2
3.33,76.16,1,4,1,0,True,4,2,2023-06-30-DET-PIT,6,thunderbirds,mechanix,2340.294117647059,1,2
11.41,82.77,1,5,1,0,True,4,2,2023-06-30-DET-PIT,6,thunderbirds,mechanix,2333.6470588235293,1,2
0.0,100.0,1,6,1,0,True,4,2,2023-06-30-DET-PIT,6,thunderbirds,mechanix,2327.0,1,2
-8.03,100.0,1,1,1,0,False,5,2,2023-06-30-DET-PIT,7,thunderbirds,mechanix,2326.0,1,3
17.5,29.61,1,2,1,0,False,5,2,2023-06-30-DET-PIT,7,thunderbirds,mechanix,2319.909090909091,1,3
22.73,38.7,1,3,1,0,False,5,2,2023-06-30-DET-PIT,7,thunderbirds,mechanix,2313.818181818182,1,3
26.66,21.85,1,1,1,0,True,5,2,2023-06-30-DET-PIT,7,thunderbirds,mechanix,2307.7272727272725,1,3
-17.61,30.42,1,2,1,0,True,5,2,2023-06-30-DET-PIT,7,thunderbirds,mechanix,2301.6363636363635,1,3
-23.49,51.48,1,3,1,0,True,5,2,2023-06-30-DET-PIT,7,thunderbirds,mechanix,2295.5454545454545,1,3
-24.53,64.28,1,4,1,0,True,5,2,2023-06-30-DET-PIT,7,thunderbirds,mechanix,2289.4545454545455,1,3
-17.3,63.12,1,5,1,0,True,5,2,2023-06-30-DET-PIT,7,thunderbirds,mechanix,2283.3636363636365,1,3
-13.75,71.38,1,6,1,0,True,5,2,2023-06-30-DET-PIT,7,thunderbirds,mechanix,2277.2727272727275,1,3
-0.04,61.28,1,7,1,0,True,5,2,2023-06-30-DET-PIT,7,thunderbirds,mechanix,2271.181818181818,1,3
9.27,71.87,1,8,1,0,True,5,2,2023-06-30-DET-PIT,7,thunderbirds,mechanix,2265.090909090909,1,3
23.42,97.46,1,9,1,0,True,5,2,2023-06-30-DET-PIT,7,thunderbirds,mechanix,2259.0,1,3
-11.77,12.25,1,1,1,0,False,6,2,2023-06-30-DET-PIT,8,thunderbirds,mechanix,2258.0,1,4
2.16,23.16,1,2,1,0,False,6,2,2023-06-30-DET-PIT,8,thunderbirds,mechanix,2253.2,1,4
10.54,28.12,1,3,1,0,False,6,2,2023-06-30-DET-PIT,8,thunderbirds,mechanix,2248.4,1,4
-5.13,52.32,1,4,1,0,False,6,2,2023-06-30-DET-PIT,8,thunderbirds,mechanix,2243.6,1,4
5.7,58.77,1,5,1,0,False,6,2,2023-06-30-DET-PIT,8,thunderbirds,mechanix,2238.8,1,4
13.57,57.93,1,6,1,0,False,6,2,2023-06-30-DET-PIT,8,thunderbirds,mechanix,2234.0,1,4
19.44,64.19,1,7,1,0,False,6,2,2023-06-30-DET-PIT,8,thunderbirds,mechanix,2229.2,1,4
15.25,50.0,1,8,1,0,False,6,2,2023-06-30-DET-PIT,8,thunderbirds,mechanix,2224.4,1,4
6.73,50.32,1,9,1,0,False,6,2,2023-06-30-DET-PIT,8,thunderbirds,mechanix,2219.6,1,4
21.18,50.06,1,10,1,0,False,6,2,2023-06-30-DET-PIT,8,thunderbirds,mechanix,2214.8,1,4
21.82,64.51,1,11,1,0,False,6,2,2023-06-30-DET-PIT,8,thunderbirds,mechanix,2210.0,1,4
-22.02,10.04,1,1,1,0,True,6,3,2023-06-30-DET-PIT,9,thunderbirds,mechanix,2209.0,1,3
-13.45,4.95,1,2,1,0,True,6,3,2023-06-30-DET-PIT,9,thunderbirds,mechanix,2203.6,1,3
-6.28,14.51,1,3,1,0,True,6,3,2023-06-30-DET-PIT,9,thunderbirds,mechanix,2198.2,1,3
3.15,21.73,1,4,1,0,True,6,3,2023-06-30-DET-PIT,9,thunderbirds,mechanix,2192.8,1,3
9.58,31.53,1,5,1,0,True,6,3,2023-06-30-DET-PIT,9,thunderbirds,mechanix,2187.4,1,3
21.33,43.16,1,6,1,0,True,6,3,2023-06-30-DET-PIT,9,thunderbirds,mechanix,2182.0,1,3
-24.48,2.45,1,1,1,0,False,7,3,2023-06-30-DET-PIT,10,thunderbirds,mechanix,2181.0,1,4
-3.91,13.93,1,2,1,0,False,7,3,2023-06-30-DET-PIT,10,thunderbirds,mechanix,2177.0,1,4
5.7,16.0,1,3,1,0,False,7,3,2023-06-30-DET-PIT,10,thunderbirds,mechanix,2173.0,1,4
19.63,25.03,1,4,1,0,False,7,3,2023-06-30-DET-PIT,10,thunderbirds,mechanix,2169.0,1,4
10.54,44.96,1,5,1,0,False,7,3,2023-06-30-DET-PIT,10,thunderbirds,mechanix,2165.0,1,4
-5.0,48.58,1,6,1,0,False,7,3,2023-06-30-DET-PIT,10,thunderbirds,mechanix,2161.0,1,4
19.95,6.64,1,1,2,0,False,7,3,2023-06-30-DET-PIT,10,thunderbirds,mechanix,2160.0,1,4
-3.13,16.83,1,2,2,0,False,7,3,2023-06-30-DET-PIT,10,thunderbirds,mechanix,2151.5,1,4
6.21,87.55,1,0,2,0,True,7,3,2023-06-30-DET-PIT,10,thunderbirds,mechanix,2143.0,1,4
-19.0,20.96,2,1,2,0,False,7,3,2023-06-30-DET-PIT,10,thunderbirds,mechanix,2134.5,1,4
-10.81,14.83,2,2,2,0,False,7,3,2023-06-30-DET-PIT,10,thunderbirds,mechanix,2126.0,1,4
-3.39,13.87,2,3,2,0,False,7,3,2023-06-30-DET-PIT,10,thunderbirds,mechanix,2117.5,1,4
15.76,97.48,2,4,2,0,False,7,3,2023-06-30-DET-PIT,10,thunderbirds,mechanix,2109.0,1,4
11.9,9.06,1,1,2,0,True,7,4,2023-06-30-DET-PIT,11,thunderbirds,mechanix,2108.0,1,3
5.05,20.44,1,2,2,0,True,7,4,2023-06-30-DET-PIT,11,thunderbirds,mechanix,2100.6,1,3
17.29,27.73,1,3,2,0,True,7,4,2023-06-30-DET-PIT,11,thunderbirds,mechanix,2093.2,1,3
21.27,36.42,1,4,2,0,True,7,4,2023-06-30-DET-PIT,11,thunderbirds,mechanix,2085.8,1,3
25.68,45.61,1,5,2,0,True,7,4,2023-06-30-DET-PIT,11,thunderbirds,mechanix,2078.4,1,3
-25.12,72.58,1,1,2,0,False,7,4,2023-06-30-DET-PIT,11,thunderbirds,mechanix,2071.0,1,3
0.0,40.0,1,1,2,0,True,7,5,2023-06-30-DET-PIT,12,thunderbirds,mechanix,2070.0,1,2
-0.65,55.67,1,2,2,0,True,7,5,2023-06-30-DET-PIT,12,thunderbirds,mechanix,2061.3333333333335,1,2
-14.12,53.51,1,3,2,0,True,7,5,2023-06-30-DET-PIT,12,thunderbirds,mechanix,2052.6666666666665,1,2
-9.89,47.69,1,4,2,0,True,7,5,2023-06-30-DET-PIT,12,thunderbirds,mechanix,2044.0,1,2
-1.26,46.22,1,5,2,0,True,7,5,2023-06-30-DET-PIT,12,thunderbirds,mechanix,2035.3333333333335,1,2
-17.3,48.0,1,6,2,0,True,7,5,2023-06-30-DET-PIT,12,thunderbirds,mechanix,2026.6666666666665,1,2
-11.42,56.26,1,7,2,0,True,7,5,2023-06-30-DET-PIT,12,thunderbirds,mechanix,2018.0,1,2
-24.16,69.3,1,8,2,0,True,7,5,2023-06-30-DET-PIT,12,thunderbirds,mechanix,2009.3333333333335,1,2
-19.87,62.51,1,9,2,0,True,7,5,2023-06-30-DET-PIT,12,thunderbirds,mechanix,2000.6666666666665,1,2
-10.69,57.55,1,10,2,0,True,7,5,2023-06-30-DET-PIT,12,thunderbirds,mechanix,1992.0,1,2
-20.55,62.93,1,11,2,0,True,7,5,2023-06-30-DET-PIT,12,thunderbirds,mechanix,1983.3333333333335,1,2
-25.75,84.67,1,12,2,0,True,7,5,2023-06-30-DET-PIT,12,thunderbirds,mechanix,1974.6666666666665,1,2
12.86,11.61,1,1,2,0,False,7,5,2023-06-30-DET-PIT,12,thunderbirds,mechanix,1966.0,1,2
-2.36,9.22,1,2,2,0,False,7,5,2023-06-30-DET-PIT,12,thunderbirds,mechanix,1957.3333333333335,1,2
-16.22,24.06,1,3,2,0,False,7,5,2023-06-30-DET-PIT,12,thunderbirds,mechanix,1948.6666666666667,1,2
-12.83,51.42,2,1,2,0,True,7,5,2023-06-30-DET-PIT,12,thunderbirds,mechanix,1940.0,1,2
-13.77,15.03,1,1,2,0,False,8,5,2023-06-30-DET-PIT,13,thunderbirds,mechanix,1939.0,1,3
-3.52,19.29,1,2,2,0,False,8,5,2023-06-30-DET-PIT,13,thunderbirds,mechanix,1935.3636363636365,1,3
-13.45,31.35,1,3,2,0,False,8,5,2023-06-30-DET-PIT,13,thunderbirds,mechanix,1931.7272727272727,1,3
-17.51,51.54,1,4,2,0,False,8,5,2023-06-30-DET-PIT,13,thunderbirds,mechanix,1928.090909090909,1,3
