,Rank,Team,Change,Prior,Date,Division
6,7,UNC Wilmington,-,7,2017-12-15,D1_MEN
7,8,Carleton,-,8,2017-12-15,D1_MEN
8,9,Georgia,-,9,2017-12-15,D1_MEN
9,10,Brigham Young,-,10,2017-12-15,D1_MEN
10,11,Wisconsin,-,11,2017-12-15,D1_MEN
11,12,Stanford,-,12,2017-12-15,D1_MEN
12,13,Michigan,-,13,2017-12-15,D1_MEN
13,14,British Columbia,-,14,2017-12-15,D1_MEN
14,15,Central Florida,-,15,2017-12-15,D1_MEN
15,16,Washington,-,16,2017-12-15,D1_MEN
16,17,Texas A&M,-,17,2017-12-15,D1_MEN
17,18,Cal Poly SLO,-,18,2017-12-15,D1_MEN
18,19,Colorado State,-,19,2017-12-15,D1_MEN
19,20,Florida,-,20,2017-12-15,D1_MEN
20,21,Virginia Tech,-,21,2017-12-15,D1_MEN
21,22,NC State,-,22,2017-12-15,D1_MEN
22,23,Oregon State,-,23,2017-12-15,D1_MEN
23,24,Tufts,-,24,2017-12-15,D1_MEN
24,25,LSU,-,25,2017-12-15,D1_MEN
0,1,Pittsburgh,-,1,2017-12-15,D1_MEN
1,2,Massachusetts,-,2,2017-12-15,D1_MEN
2,3,North Carolina,-,3,2017-12-15,D1_MEN
3,4,Colorado,-,4,2017-12-15,D1_MEN
4,5,Minnesota,-,5,2017-12-15,D1_MEN
5,6,Oregon,-,6,2017-12-15,D1_MEN
6,7,UNC Wilmington,-,7,2017-12-15,D1_MEN
7,8,Carleton,-,8,2017-12-15,D1_MEN
8,9,Georgia,-,9,2017-12-15,D1_MEN
9,10,Brigham Young,-,10,2017-12-15,D1_MEN
10,11,Wisconsin,-,11,2017-12-15,D1_MEN
11,12,Stanford,-,12,2017-12-15,D1_MEN
12,13,Michigan,-,13,2017-12-15,D1_MEN
13,14,British Columbia,-,14,2017-12-15,D1_MEN
14,15,Central Florida,-,15,2017-12-15,D1_MEN
15,16,Washington,-,16,2017-12-15,D1_MEN
16,17,Texas A&M,-,17,2017-12-15,D1_MEN
17,18,Cal Poly SLO,-,18,2017-12-15,D1_MEN
18,19,Colorado State,-,19,2017-12-15,D1_MEN
19,20,Florida,-,20,2017-12-15,D1_MEN
20,21,Virginia Tech,-,21,2017-12-15,D1_MEN
21,22,NC State,-,22,2017-12-15,D1_MEN
22,23,Oregon State,-,23,2017-12-15,D1_MEN
23,24,Tufts,-,24,2017-12-15,D1_MEN
24,25,LSU,-,25,2017-12-15,D1_MEN
0,1,Pittsburgh,+1,2,2017-12-15,D1_MEN
1,2,Massachusetts,+3,5,2017-12-15,D1_MEN
2,3,North Carolina,-2,1,2017-12-15,D1_MEN
3,4,Colorado,-,4,2017-12-15,D1_MEN
4,5,Minnesota,-2,3,2017-12-15,D1_MEN
5,6,Oregon,-,6,2017-12-15,D1_MEN
6,7,UNC Wilmington,+2,9,2017-12-15,D1_MEN
7,8,Carleton,-1,7,2017-12-15,D1_MEN
8,9,Georgia,-1,8,2017-12-15,D1_MEN
9,10,Brigham Young,+1,11,2017-12-15,D1_MEN
10,11,Wisconsin,-1,10,2017-12-15,D1_MEN
11,12,Stanford,-,12,2017-12-15,D1_MEN
12,13,Michigan,+1,14,2017-12-15,D1_MEN
13,14,British Columbia,+2,16,2017-12-15,D1_MEN
14,15,Central Florida,+3,18,2017-12-15,D1_MEN
15,16,Washington,+1,17,2017-12-15,D1_MEN
16,17,Texas A&M,-4,13,2017-12-15,D1_MEN
17,18,Cal Poly SLO,+4,22,2017-12-15,D1_MEN
18,19,Colorado State,+4,23,2017-12-15,D1_MEN
19,20,Florida,-5,15,2017-12-15,D1_MEN
20,21,Virginia Tech,-2,19,2017-12-15,D1_MEN
21,22,NC State,+2,24,2017-12-15,D1_MEN
22,23,Oregon State,+2,25,2017-12-15,D1_MEN
23,24,Tufts,-4,20,2017-12-15,D1_MEN
24,25,LSU,,-,2017-12-15,D1_MEN
0,1,North Carolina,-,1,2017-12-15,D1_MEN
1,2,Pittsburgh,-,2,2017-12-15,D1_MEN
2,3,Minnesota,-,3,2017-12-15,D1_MEN
3,4,Colorado,-,4,2017-12-15,D1_MEN
4,5,Massachusetts,-,5,2017-12-15,D1_MEN
5,6,Oregon,+1,7,2017-12-15,D1_MEN
6,7,Carleton,-1,6,2017-12-15,D1_MEN
7,8,Georgia,-,8,2017-12-15,D1_MEN
8,9,UNC Wilmington,-,9,2017-12-15,D1_MEN
9,10,Wisconsin,-,10,2017-12-15,D1_MEN
10,11,Brigham Young,+1,12,2017-12-15,D1_MEN
11,12,Stanford,-1,11,2017-12-15,D1_MEN
12,13,Texas A&M,+1,14,2017-12-15,D1_MEN
13,14,Michigan,+3,17,2017-12-15,D1_MEN
14,15,Florida,+3,18,2017-12-15,D1_MEN
15,16,British Columbia,,-,2017-12-15,D1_MEN
16,17,Washington,-1,16,2017-12-15,D1_MEN
17,18,Central Florida,+2,20,2017-12-15,D1_MEN
18,19,Virginia Tech,+5,24,2017-12-15,D1_MEN
19,20,Tufts,+2,22,2017-12-15,D1_MEN
20,21,Texas,-2,19,2017-12-15,D1_MEN
21,22,Cal Poly SLO,-7,15,2017-12-15,D1_MEN
22,23,Colorado State,-2,21,2017-12-15,D1_MEN
23,24,NC State,-1,23,2017-12-15,D1_MEN
24,25,Oregon State,-,25,2017-12-15,D1_MEN
0,1,North Carolina,-,1,2017-12-15,D1_MEN
1,2,Pittsburgh,-,2,2017-12-15,D1_MEN
2,3,Minnesota,-,3,2017-12-15,D1_MEN
3,4,Colorado,-,4,2017-12-15,D1_MEN
4,5,Massachusetts,-,5,2017-12-15,D1_MEN
5,6,Carleton,-,6,2017-12-15,D1_MEN
6,7,Oregon,-,7,2017-12-15,D1_MEN
7,8,Georgia,-,8,2017-12-15,D1_MEN
8,9,UNC Wilmington,-,9,2017-12-15,D1_MEN
9,10,Wisconsin,-,10,2017-12-15,D1_MEN
10,11,Stanford,-,11,2017-12-15,D1_MEN
11,12,Brigham Young,-,12,2017-12-15,D1_MEN
12,13,Northwestern,-,13,2017-12-15,D1_MEN
13,14,Texas A&M,-,14,2017-12-15,D1_MEN
14,15,Cal Poly SLO,-,15,2017-12-15,D1_MEN
15,16,Washington,-,16,2017-12-15,D1_MEN
16,17,Michigan,-,17,2017-12-15,D1_MEN
17,18,Florida,-,18,2017-12-15,D1_MEN
18,19,Texas,-,19,2017-12-15,D1_MEN
19,20,Central Florida,-,20,2017-12-15,D1_MEN
20,21,Colorado State,-,21,2017-12-15,D1_MEN
21,22,Tufts,-,22,2017-12-15,D1_MEN
22,23,NC State,-,23,2017-12-15,D1_MEN
23,24,Virginia Tech,-,24,2017-12-15,D1_MEN
24,25,Oregon State,-,25,2017-12-15,D1_MEN
0,1,North Carolina,+1,2,2017-12-15,D1_MEN
1,2,Pittsburgh,+11,13,2017-12-15,D1_MEN
2,3,Minnesota,+4,7,2017-12-15,D1_MEN
3,4,Colorado,+1,5,2017-12-15,D1_MEN
4,5,Massachusetts,+1,6,2017-12-15,D1_MEN
5,6,Carleton,-3,3,2017-12-15,D1_MEN
6,7,Oregon,-6,1,2017-12-15,D1_MEN
7,8,Georgia,-,8,2017-12-15,D1_MEN
8,9,UNC Wilmington,-,9,2017-12-15,D1_MEN
9,10,Wisconsin,-6,4,2017-12-15,D1_MEN
10,11,Stanford,+1,12,2017-12-15,D1_MEN
11,12,Brigham Young,,-,2017-12-15,D1_MEN
12,13,Northwestern,,-,2017-12-15,D1_MEN
13,14,Texas A&M,-4,10,2017-12-15,D1_MEN
14,15,Cal Poly SLO,-1,14,2017-12-15,D1_MEN
15,16,Washington,-1,15,2017-12-15,D1_MEN
16,17,Michigan,-1,16,2017-12-15,D1_MEN
17,18,Florida,,-,2017-12-15,D1_MEN
18,19,Texas,-8,11,2017-12-15,D1_MEN
19,20,Central Florida,-3,17,2017-12-15,D1_MEN
20,21,Colorado State,-3,18,2017-12-15,D1_MEN
21,22,Tufts,-3,19,2017-12-15,D1_MEN
22,23,NC State,-1,22,2017-12-15,D1_MEN
23,24,Virginia Tech,-4,20,2017-12-15,D1_MEN
24,25,Oregon State,-2,23,2017-12-15,D1_MEN
0,1,Oregon,-,1,2017-12-15,D1_MEN
1,2,North Carolina,-,2,2017-12-15,D1_MEN
2,3,Carleton,-,3,2017-12-15,D1_MEN
3,4,Wisconsin,-,4,2017-12-15,D1_MEN
4,5,Colorado,-,5,2017-12-15,D1_MEN
5,6,Massachusetts,-,6,2017-12-15,D1_MEN
6,7,Minnesota,-,7,2017-12-15,D1_MEN
7,8,Georgia,-,8,2017-12-15,D1_MEN
8,9,UNC Wilmington,-,9,2017-12-15,D1_MEN
9,10,Texas A&M,-,10,2017-12-15,D1_MEN
10,11,Texas,-,11,2017-12-15,D1_MEN
11,12,Stanford,-,12,2017-12-15,D1_MEN
12,13,Pittsburgh,-,13,2017-12-15,D1_MEN
13,14,Cal Poly SLO,-,14,2017-12-15,D1_MEN
14,15,Washington,-,15,2017-12-15,D1_MEN
15,16,Michigan,-,16,2017-12-15,D1_MEN
16,17,Central Florida,-,17,2017-12-15,D1_MEN
17,18,Colorado State,-,18,2017-12-15,D1_MEN
18,19,Tufts,-,19,2017-12-15,D1_MEN
19,20,Virginia Tech,-,20,2017-12-15,D1_MEN
20,21,Western Washington,-,21,2017-12-15,D1_MEN
21,22,NC State,-,22,2017-12-15,D1_MEN
22,23,Oregon State,,-,2017-12-15,D1_MEN
23,24,Richmond,+1,25,2017-12-15,D1_MEN
24,25,Cincinnati,-1,24,2017-12-15,D1_MEN
0,1,Oregon,-,1,2017-12-15,D1_MEN
1,2,North Carolina,+3,5,2017-12-15,D1_MEN
2,3,Carleton,-1,2,2017-12-15,D1_MEN
3,4,Wisconsin,+2,6,2017-12-15,D1_MEN
4,5,Colorado,+2,7,2017-12-15,D1_MEN
5,6,Massachusetts,-2,4,2017-12-15,D1_MEN
6,7,Minnesota,+1,8,2017-12-15,D1_MEN
7,8,Georgia,+9,17,2017-12-15,D1_MEN
8,9,UNC Wilmington,-6,3,2017-12-15,D1_MEN
9,10,Texas A&M,-1,9,2017-12-15,D1_MEN
10,11,Texas,-1,10,2017-12-15,D1_MEN
11,12,Stanford,-1,11,2017-12-15,D1_MEN
12,13,Pittsburgh,-,13,2017-12-15,D1_MEN
13,14,Cal Poly SLO,-,14,2017-12-15,D1_MEN
14,15,Washington,-,15,2017-12-15,D1_MEN
15,16,Michigan,-,16,2017-12-15,D1_MEN
16,17,Central Florida,+2,19,2017-12-15,D1_MEN
17,18,Colorado State,+2,20,2017-12-15,D1_MEN
18,19,Tufts,+2,21,2017-12-15,D1_MEN
19,20,Virginia Tech,-8,12,2017-12-15,D1_MEN
20,21,Western Washington,+2,23,2017-12-15,D1_MEN
21,22,NC State,-,22,2017-12-15,D1_MEN
22,23,Purdue,+1,24,2017-12-15,D1_MEN
23,24,Cincinnati,+1,25,2017-12-15,D1_MEN
24,25,Richmond,,-,2017-12-15,D1_MEN
0,1,Oregon,-,1,2017-12-15,D1_MEN
1,2,Carleton,-,2,2017-12-15,D1_MEN
2,3,UNC Wilmington,-,3,2017-12-15,D1_MEN
3,4,Massachusetts,-,4,2017-12-15,D1_MEN
4,5,North Carolina,-,5,2017-12-15,D1_MEN
5,6,Wisconsin,-,6,2017-12-15,D1_MEN
6,7,Colorado,-,7,2017-12-15,D1_MEN
7,8,Minnesota,-,8,2017-12-15,D1_MEN
8,9,Texas A&M,-,9,2017-12-15,D1_MEN
9,10,Texas,-,10,2017-12-15,D1_MEN
10,11,Stanford,+3,14,2017-12-15,D1_MEN
11,12,Virginia Tech,-,12,2017-12-15,D1_MEN
12,13,Pittsburgh,-,13,2017-12-15,D1_MEN
13,14,Cal Poly SLO,+1,15,2017-12-15,D1_MEN
14,15,Washington,-4,11,2017-12-15,D1_MEN
15,16,Michigan,-,16,2017-12-15,D1_MEN
16,17,Georgia,-,17,2017-12-15,D1_MEN
17,18,Harvard,-,18,2017-12-15,D1_MEN
18,19,Central Florida,+1,20,2017-12-15,D1_MEN
19,20,Colorado State,+1,21,2017-12-15,D1_MEN
20,21,Tufts,+1,22,2017-12-15,D1_MEN
21,22,NC State,+2,24,2017-12-15,D1_MEN
22,23,Western Washington,,-,2017-12-15,D1_MEN
23,24,Purdue,-1,23,2017-12-15,D1_MEN
24,25,Cincinnati,-6,19,2017-12-15,D1_MEN
0,1,Oregon,,,2017-12-15,D1_MEN
1,2,Carleton,,,2017-12-15,D1_MEN
2,3,UNC Wilmington,,,2017-12-15,D1_MEN
3,4,Massachusetts,,,2017-12-15,D1_MEN
4,5,North Carolina,,,2017-12-15,D1_MEN
5,6,Wisconsin,,,2017-12-15,D1_MEN
6,7,Colorado,,,2017-12-15,D1_MEN
7,8,Minnesota,,,2017-12-15,D1_MEN
8,9,Texas A&M,,,2017-12-15,D1_MEN
9,10,Texas,,,2017-12-15,D1_MEN
10,11,Washington,,,2017-12-15,D1_MEN
11,12,Virginia Tech,,,2017-12-15,D1_MEN
12,13,Pittsburgh,,,2017-12-15,D1_MEN
13,14,Stanford,,,2017-12-15,D1_MEN
14,15,Cal Poly SLO,,,2017-12-15,D1_MEN
15,16,Michigan,,,2017-12-15,D1_MEN
16,17,Georgia,,,2017-12-15,D1_MEN
17,18,Harvard,,,2017-12-15,D1_MEN
18,19,Cincinnati,,,2017-12-15,D1_MEN
19,20,Central Florida,,,2017-12-15,D1_MEN
20,21,Colorado State,,,2017-12-15,D1_MEN
21,22,Tufts,,,2017-12-15,D1_MEN
22,23,Purdue,,,2017-12-15,D1_MEN
23,24,NC State,,,2017-12-15,D1_MEN
24,25,Victoria,,,2017-12-15,D1_MEN
0,1,Oregon,-,1,2016-12-15,D1_MEN
1,2,Carleton,-,2,2016-12-15,D1_MEN
2,3,UNC Wilmington,-,3,2016-12-15,D1_MEN
3,4,Massachusetts,-,4,2016-12-15,D1_MEN
4,5,North Carolina,-,5,2016-12-15,D1_MEN
5,6,Wisconsin,-,6,2016-12-15,D1_MEN
6,7,Colorado,-,7,2016-12-15,D1_MEN
7,8,Minnesota,-,8,2016-12-15,D1_MEN
8,9,Texas A&M,-,9,2016-12-15,D1_MEN
9,10,Texas,-,10,2016-12-15,D1_MEN
10,11,Washington,-,11,2016-12-15,D1_MEN
11,12,Virginia Tech,+1,13,2016-12-15,D1_MEN
12,13,Pittsburgh,+1,14,2016-12-15,D1_MEN
13,14,Stanford,+1,15,2016-12-15,D1_MEN
14,15,Cal Poly SLO,-3,12,2016-12-15,D1_MEN
15,16,Michigan,-,16,2016-12-15,D1_MEN
16,17,Georgia,-,17,2016-12-15,D1_MEN
17,18,Harvard,-,18,2016-12-15,D1_MEN
18,19,Cincinnati,-,19,2016-12-15,D1_MEN
19,20,Victoria,-,20,2016-12-15,D1_MEN
20,21,Colorado State,-,21,2016-12-15,D1_MEN
21,22,Tufts,-,22,2016-12-15,D1_MEN
22,23,Georgia Tech,-,23,2016-12-15,D1_MEN
23,24,Connecticut,-,24,2016-12-15,D1_MEN
24,25,Purdue,-,25,2016-12-15,D1_MEN
0,1,Oregon,+1,2,2016-12-15,D1_MEN
1,2,Carleton,+4,6,2016-12-15,D1_MEN
2,3,UNC Wilmington,+8,11,2016-12-15,D1_MEN
3,4,Massachusetts,-1,3,2016-12-15,D1_MEN
4,5,North Carolina,-1,4,2016-12-15,D1_MEN
5,6,Wisconsin,-1,5,2016-12-15,D1_MEN
6,7,Colorado,+2,9,2016-12-15,D1_MEN
7,8,Minnesota,-7,1,2016-12-15,D1_MEN
8,9,Texas A&M,+10,19,2016-12-15,D1_MEN
9,10,Texas,-2,8,2016-12-15,D1_MEN
10,11,Washington,-1,10,2016-12-15,D1_MEN
11,12,Cal Poly SLO,+1,13,2016-12-15,D1_MEN
12,13,Virginia Tech,,-,2016-12-15,D1_MEN
13,14,Pittsburgh,-,14,2016-12-15,D1_MEN
14,15,Stanford,+1,16,2016-12-15,D1_MEN
15,16,Michigan,,-,2016-12-15,D1_MEN
16,17,Georgia,-10,7,2016-12-15,D1_MEN
17,18,Harvard,-6,12,2016-12-15,D1_MEN
18,19,Cincinnati,,-,2016-12-15,D1_MEN
19,20,Victoria,-,20,2016-12-15,D1_MEN
20,21,Colorado State,+2,23,2016-12-15,D1_MEN
21,22,Tufts,,-,2016-12-15,D1_MEN
22,23,Georgia Tech,,-,2016-12-15,D1_MEN
23,24,Connecticut,-9,15,2016-12-15,D1_MEN
24,25,Purdue,,-,2016-12-15,D1_MEN
0,1,Minnesota,-,1,2016-12-15,D1_MEN
1,2,Oregon,-,2,2016-12-15,D1_MEN
2,3,Massachusetts,-,3,2016-12-15,D1_MEN
3,4,North Carolina,-,4,2016-12-15,D1_MEN
4,5,Wisconsin,-,5,2016-12-15,D1_MEN
5,6,Carleton,-,6,2016-12-15,D1_MEN
6,7,Georgia,-,7,2016-12-15,D1_MEN
7,8,Texas,-,8,2016-12-15,D1_MEN
8,9,Colorado,-,9,2016-12-15,D1_MEN
9,10,Washington,-,10,2016-12-15,D1_MEN
10,11,UNC Wilmington,-,11,2016-12-15,D1_MEN
11,12,Harvard,-,12,2016-12-15,D1_MEN
12,13,Cal Poly SLO,-,13,2016-12-15,D1_MEN
13,14,Pittsburgh,-,14,2016-12-15,D1_MEN
14,15,Connecticut,-,15,2016-12-15,D1_MEN
15,16,Stanford,-,16,2016-12-15,D1_MEN
16,17,Auburn,-,17,2016-12-15,D1_MEN
17,18,Florida,-,18,2016-12-15,D1_MEN
18,19,Texas A&M,-,19,2016-12-15,D1_MEN
19,20,Victoria,-,20,2016-12-15,D1_MEN
20,21,Brigham Young,-,21,2016-12-15,D1_MEN
21,22,Central Florida,-,22,2016-12-15,D1_MEN
22,23,Colorado State,-,23,2016-12-15,D1_MEN
23,24,Iowa State,-,24,2016-12-15,D1_MEN
24,25,Vermont,-,25,2016-12-15,D1_MEN
0,1,Minnesota,+2,3,2016-12-15,D1_MEN
1,2,Oregon,+4,6,2016-12-15,D1_MEN
2,3,Massachusetts,-2,1,2016-12-15,D1_MEN
3,4,North Carolina,+3,7,2016-12-15,D1_MEN
4,5,Wisconsin,-3,2,2016-12-15,D1_MEN
5,6,Carleton,+7,13,2016-12-15,D1_MEN
6,7,Georgia,+1,8,2016-12-15,D1_MEN
7,8,Texas,+8,16,2016-12-15,D1_MEN
8,9,Colorado,+5,14,2016-12-15,D1_MEN
9,10,Washington,+8,18,2016-12-15,D1_MEN
10,11,UNC Wilmington,-6,5,2016-12-15,D1_MEN
11,12,Harvard,-1,11,2016-12-15,D1_MEN
12,13,Cal Poly SLO,,-,2016-12-15,D1_MEN
13,14,Pittsburgh,-10,4,2016-12-15,D1_MEN
14,15,Connecticut,+8,23,2016-12-15,D1_MEN
15,16,Stanford,-7,9,2016-12-15,D1_MEN
16,17,Auburn,,-,2016-12-15,D1_MEN
17,18,Florida,-8,10,2016-12-15,D1_MEN
18,19,Texas A&M,-7,12,2016-12-15,D1_MEN
19,20,Victoria,,-,2016-12-15,D1_MEN
20,21,Brigham Young,-4,17,2016-12-15,D1_MEN
21,22,Central Florida,-,22,2016-12-15,D1_MEN
22,23,Colorado State,,-,2016-12-15,D1_MEN
23,24,Iowa State,,-,2016-12-15,D1_MEN
24,25,Vermont,,-,2016-12-15,D1_MEN
0,1,Massachusetts,-,1,2016-12-15,D1_MEN
1,2,Wisconsin,-,2,2016-12-15,D1_MEN
2,3,Minnesota,-,3,2016-12-15,D1_MEN
3,4,Pittsburgh,-,4,2016-12-15,D1_MEN
4,5,UNC Wilmington,-,5,2016-12-15,D1_MEN
5,6,Oregon,-,6,2016-12-15,D1_MEN
6,7,North Carolina,-,7,2016-12-15,D1_MEN
7,8,Georgia,-,8,2016-12-15,D1_MEN
8,9,Stanford,-,9,2016-12-15,D1_MEN
9,10,Florida,-,10,2016-12-15,D1_MEN
10,11,Harvard,-,11,2016-12-15,D1_MEN
11,12,Texas A&M,+3,15,2016-12-15,D1_MEN
12,13,Carleton,-,13,2016-12-15,D1_MEN
13,14,Colorado,-,14,2016-12-15,D1_MEN
14,15,UC Santa Barbara,+1,16,2016-12-15,D1_MEN
15,16,Texas,+1,17,2016-12-15,D1_MEN
16,17,Brigham Young,+1,18,2016-12-15,D1_MEN
17,18,Washington,+1,19,2016-12-15,D1_MEN
18,19,Virginia Tech,+1,20,2016-12-15,D1_MEN
19,20,British Columbia,+1,21,2016-12-15,D1_MEN
20,21,Florida State,+1,22,2016-12-15,D1_MEN
21,22,Central Florida,+1,23,2016-12-15,D1_MEN
22,23,Connecticut,+2,25,2016-12-15,D1_MEN
23,24,UC San Diego,,-,2016-12-15,D1_MEN
24,25,Missouri,,-,2016-12-15,D1_MEN
0,1,Massachusetts,-,1,2016-12-15,D1_MEN
1,2,Wisconsin,-,2,2016-12-15,D1_MEN
2,3,Minnesota,-,3,2016-12-15,D1_MEN
3,4,Pittsburgh,-,4,2016-12-15,D1_MEN
4,5,UNC Wilmington,-,5,2016-12-15,D1_MEN
5,6,Oregon,-,6,2016-12-15,D1_MEN
6,7,North Carolina,-,7,2016-12-15,D1_MEN
7,8,Georgia,-,8,2016-12-15,D1_MEN
8,9,Stanford,-,9,2016-12-15,D1_MEN
9,10,Florida,-,10,2016-12-15,D1_MEN
10,11,Harvard,-,11,2016-12-15,D1_MEN
11,12,Auburn,-,12,2016-12-15,D1_MEN
12,13,Carleton,+1,14,2016-12-15,D1_MEN
13,14,Colorado,+1,15,2016-12-15,D1_MEN
14,15,Texas A&M,+3,18,2016-12-15,D1_MEN
15,16,UC Santa Barbara,+3,19,2016-12-15,D1_MEN
16,17,Texas,+3,20,2016-12-15,D1_MEN
17,18,Brigham Young,+5,23,2016-12-15,D1_MEN
18,19,Washington,-3,16,2016-12-15,D1_MEN
19,20,Virginia Tech,+1,21,2016-12-15,D1_MEN
20,21,British Columbia,-8,13,2016-12-15,D1_MEN
21,22,Florida State,-,22,2016-12-15,D1_MEN
22,23,Central Florida,+1,24,2016-12-15,D1_MEN
23,24,Cal Poly SLO,+1,25,2016-12-15,D1_MEN
24,25,Connecticut,,-,2016-12-15,D1_MEN
0,1,Massachusetts,+2,3,2016-12-15,D1_MEN
1,2,Wisconsin,-1,1,2016-12-15,D1_MEN
2,3,Minnesota,+2,5,2016-12-15,D1_MEN
3,4,Pittsburgh,-2,2,2016-12-15,D1_MEN
4,5,UNC Wilmington,-1,4,2016-12-15,D1_MEN
5,6,Oregon,+2,8,2016-12-15,D1_MEN
6,7,North Carolina,+2,9,2016-12-15,D1_MEN
7,8,Georgia,+15,23,2016-12-15,D1_MEN
8,9,Stanford,+1,10,2016-12-15,D1_MEN
9,10,Florida,-4,6,2016-12-15,D1_MEN
10,11,Harvard,-4,7,2016-12-15,D1_MEN
11,12,Auburn,-1,11,2016-12-15,D1_MEN
12,13,British Columbia,-1,12,2016-12-15,D1_MEN
13,14,Carleton,+7,21,2016-12-15,D1_MEN
14,15,Colorado,-2,13,2016-12-15,D1_MEN
15,16,Washington,-2,14,2016-12-15,D1_MEN
16,17,Western Washington,-2,15,2016-12-15,D1_MEN
17,18,Texas A&M,-2,16,2016-12-15,D1_MEN
18,19,UC Santa Barbara,-1,18,2016-12-15,D1_MEN
19,20,Texas,-1,19,2016-12-15,D1_MEN
20,21,Virginia Tech,+1,22,2016-12-15,D1_MEN
21,22,Florida State,,-,2016-12-15,D1_MEN
22,23,Brigham Young,,-,2016-12-15,D1_MEN
23,24,Central Florida,,-,2016-12-15,D1_MEN
24,25,Cal Poly SLO,-,25,2016-12-15,D1_MEN
0,1,Wisconsin,+6,7,2016-12-15,D1_MEN
1,2,Pittsburgh,+7,9,2016-12-15,D1_MEN
2,3,Massachusetts,-1,2,2016-12-15,D1_MEN
3,4,UNC Wilmington,-3,1,2016-12-15,D1_MEN
4,5,Minnesota,-1,4,2016-12-15,D1_MEN
5,6,Florida,-,6,2016-12-15,D1_MEN
6,7,Harvard,+7,14,2016-12-15,D1_MEN
7,8,Oregon,-5,3,2016-12-15,D1_MEN
8,9,North Carolina,-4,5,2016-12-15,D1_MEN
9,10,Stanford,+6,16,2016-12-15,D1_MEN
10,11,Auburn,,-,2016-12-15,D1_MEN
11,12,British Columbia,+1,13,2016-12-15,D1_MEN
12,13,Colorado,-1,12,2016-12-15,D1_MEN
13,14,Washington,-4,10,2016-12-15,D1_MEN
14,15,Western Washington,+8,23,2016-12-15,D1_MEN
15,16,Texas A&M,-8,8,2016-12-15,D1_MEN
16,17,Missouri,+2,19,2016-12-15,D1_MEN
17,18,UC Santa Barbara,,-,2016-12-15,D1_MEN
18,19,Texas,-2,17,2016-12-15,D1_MEN
19,20,Connecticut,+1,21,2016-12-15,D1_MEN
20,21,Carleton,-10,11,2016-12-15,D1_MEN
21,22,Virginia Tech,-2,20,2016-12-15,D1_MEN
22,23,Georgia,-5,18,2016-12-15,D1_MEN
23,24,Michigan,-2,22,2016-12-15,D1_MEN
24,25,Cal Poly SLO,,-,2016-12-15,D1_MEN
0,1,UNC Wilmington,-,1,2016-12-15,D1_MEN
1,2,Massachusetts,-,2,2016-12-15,D1_MEN
2,3,Oregon,-,3,2016-12-15,D1_MEN
3,4,Minnesota,-,4,2016-12-15,D1_MEN
4,5,North Carolina,-,5,2016-12-15,D1_MEN
5,6,Florida,-,6,2016-12-15,D1_MEN
6,7,Wisconsin,-,7,2016-12-15,D1_MEN
7,8,Texas A&M,-,8,2016-12-15,D1_MEN
8,9,Pittsburgh,-,9,2016-12-15,D1_MEN
9,10,Washington,-,10,2016-12-15,D1_MEN
10,11,Carleton,-,11,2016-12-15,D1_MEN
11,12,Colorado,-,12,2016-12-15,D1_MEN
12,13,British Columbia,-,13,2016-12-15,D1_MEN
13,14,Harvard,-,14,2016-12-15,D1_MEN
14,15,Central Florida,-,15,2016-12-15,D1_MEN
15,16,Stanford,-,16,2016-12-15,D1_MEN
16,17,Texas,-,17,2016-12-15,D1_MEN
17,18,Georgia,-,18,2016-12-15,D1_MEN
18,19,Missouri,-,19,2016-12-15,D1_MEN
19,20,Virginia Tech,-,20,2016-12-15,D1_MEN
20,21,Connecticut,-,21,2016-12-15,D1_MEN
21,22,Michigan,-,22,2016-12-15,D1_MEN
22,23,Western Washington,-,23,2016-12-15,D1_MEN
23,24,Brigham Young,-,24,2016-12-15,D1_MEN
24,25,Colorado State,-,25,2016-12-15,D1_MEN
0,1,UNC Wilmington,-,1,2016-12-15,D1_MEN
1,2,Massachusetts,-,2,2016-12-15,D1_MEN
2,3,Oregon,+5,8,2016-12-15,D1_MEN
3,4,Minnesota,+14,18,2016-12-15,D1_MEN
4,5,North Carolina,+1,6,2016-12-15,D1_MEN
5,6,Florida,+7,13,2016-12-15,D1_MEN
6,7,Wisconsin,-3,4,2016-12-15,D1_MEN
7,8,Texas A&M,+2,10,2016-12-15,D1_MEN
8,9,Pittsburgh,-6,3,2016-12-15,D1_MEN
9,10,Washington,-1,9,2016-12-15,D1_MEN
10,11,Carleton,-6,5,2016-12-15,D1_MEN
11,12,Colorado,-1,11,2016-12-15,D1_MEN
12,13,British Columbia,+9,22,2016-12-15,D1_MEN
13,14,Harvard,-2,12,2016-12-15,D1_MEN
14,15,Central Florida,-8,7,2016-12-15,D1_MEN
15,16,Stanford,-2,14,2016-12-15,D1_MEN
16,17,Texas,+2,19,2016-12-15,D1_MEN
17,18,Georgia,-3,15,2016-12-15,D1_MEN
18,19,Missouri,-3,16,2016-12-15,D1_MEN
19,20,Virginia Tech,-,20,2016-12-15,D1_MEN
20,21,Connecticut,+2,23,2016-12-15,D1_MEN
21,22,Michigan,+3,25,2016-12-15,D1_MEN
22,23,Western Washington,,-,2016-12-15,D1_MEN
23,24,Brigham Young,,-,2016-12-15,D1_MEN
24,25,Colorado State,,-,2016-12-15,D1_MEN
