,Name,Team,#,PP,OPP,DPP,AST,GLS,BLK,+/-,Rcv Yds,Thr Yds,Yds,Cmp,Cmp%,HA,T,S,C,D,game_info
3,Smith,ATL,12,18,17,1,2,4,0,6,303,142,445,17,100,0,0,0,0,0,2021-09-04-ATL-NY
4,Burns,ATL,81,21,8,13,1,3,1,5,147,63,210,8,100,2,0,0,0,0,2021-09-04-ATL-NY
5,Stevens,NY,17,17,17,0,1,4,0,5,138,24,162,5,100,1,0,0,0,0,2021-09-04-ATL-NY
6,Pierce,ATL,4,20,20,0,3,1,0,4,29,285,314,32,100,1,0,0,0,0,2021-09-04-ATL-NY
7,Jaime,ATL,55,19,19,0,0,3,1,4,102,12,114,10,100,2,0,0,0,0,2021-09-04-ATL-NY
8,Ekwurtzel,ATL,32,17,16,1,1,3,0,4,265,58,323,17,100,1,0,0,0,0,2021-09-04-ATL-NY
9,Williams,NY,11,39,23,16,5,0,1,4,130,600,730,67,97,5,2,0,0,0,2021-09-04-ATL-NY
10,Rueschemeyer-Bailey,NY,9,20,13,7,2,2,0,4,8,230,238,31,100,0,0,0,0,0,2021-09-04-ATL-NY
11,Lithio,NY,54,27,23,4,0,4,0,4,301,134,435,19,100,3,0,0,0,0,2021-09-04-ATL-NY
12,Babbitt,NY,87,23,3,20,2,0,1,3,185,42,227,9,100,0,0,0,0,0,2021-09-04-ATL-NY
13,Ramsey,ATL,36,16,5,11,0,2,0,2,73,2,75,1,100,0,0,0,0,0,2021-09-04-ATL-NY
14,Polk,ATL,14,13,1,12,0,1,1,2,60,0,60,0,0,0,0,0,0,0,2021-09-04-ATL-NY
15,Bray,ATL,7,16,4,12,1,0,1,2,9,44,53,5,100,1,0,0,0,0,2021-09-04-ATL-NY
16,Stubbs,ATL,19,26,14,12,1,1,0,1,25,180,205,22,95,1,1,0,0,0,2021-09-04-ATL-NY
17,Lindquist,ATL,1,10,9,1,0,1,0,1,71,9,80,3,100,0,0,0,0,0,2021-09-04-ATL-NY
18,Knowles,ATL,,13,4,9,1,0,0,1,36,71,107,5,100,1,0,0,0,0,2021-09-04-ATL-NY
19,Katz,NY,28,25,12,13,1,0,1,1,8,333,341,48,97,2,1,0,0,0,2021-09-04-ATL-NY
20,"Drost, R",NY,80,21,1,20,0,1,1,1,92,-27,65,5,83,0,1,0,0,0,2021-09-04-ATL-NY
21,"Drost, M",NY,16,22,1,21,0,1,1,1,57,-9,48,3,75,0,1,0,0,0,2021-09-04-ATL-NY
22,Brownlee,NY,82,21,1,20,0,1,0,1,58,19,77,4,100,1,0,0,0,0,2021-09-04-ATL-NY
23,Williams,ATL,11,23,5,18,0,0,0,0,12,1,13,1,100,0,0,0,0,0,2021-09-04-ATL-NY
24,Gagne-Maynard,ATL,47,17,3,14,0,0,0,0,19,-5,14,1,100,0,0,0,0,0,2021-09-04-ATL-NY
25,Gaeta,ATL,26,13,0,13,0,0,0,0,3,6,9,1,100,1,0,0,0,0,2021-09-04-ATL-NY
26,Fairley,ATL,5,22,9,13,1,0,0,0,-19,81,62,13,92,1,1,0,0,0,2021-09-04-ATL-NY
27,LaBar,NY,20,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-04-ATL-NY
28,Olcese,NY,22,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-04-ATL-NY
29,M'Bae Vogel,NY,32,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-04-ATL-NY
30,Kline,NY,10,8,4,4,0,0,0,0,33,2,35,2,100,0,0,0,0,0,2021-09-04-ATL-NY
31,"Feder, S",NY,31,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-04-ATL-NY
32,Alorro,NY,30,15,1,14,0,0,0,0,48,67,115,8,100,2,0,0,0,0,2021-09-04-ATL-NY
33,Chun Moy,NY,5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-04-ATL-NY
34,Sperling,ATL,00,18,4,14,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,2021-09-04-ATL-NY
35,Robinson,ATL,22,18,16,2,2,0,0,-1,73,126,199,20,86,1,3,0,0,0,2021-09-04-ATL-NY
36,Hulsmeyer,ATL,6,26,10,16,0,0,0,-1,47,51,98,10,100,3,0,0,0,1,2021-09-04-ATL-NY
37,Davis,ATL,80,25,21,4,1,2,0,-1,354,22,376,22,84,1,4,0,0,0,2021-09-04-ATL-NY
38,Weaver,NY,48,11,10,1,0,0,0,-1,105,37,142,16,94,1,1,0,0,0,2021-09-04-ATL-NY
39,Chartock,NY,3,19,12,7,0,0,1,-2,103,107,210,35,92,3,3,0,0,0,2021-09-04-ATL-NY
0,Bevan,OTT,77,28,24,4,7,3,0,10,109,427,536,41,100,2,0,0,0,0,2021-09-04-TOR-OTT
1,Harris,TOR,91,27,23,4,8,2,0,7,341,708,1049,31,93,2,2,0,0,1,2021-09-04-TOR-OTT
2,"Mackenzie, M",TOR,7,32,23,9,3,3,0,5,351,168,519,16,94,2,1,0,0,0,2021-09-04-TOR-OTT
3,Carroll,TOR,3,22,21,1,1,4,0,5,404,71,475,17,100,1,0,0,0,0,2021-09-04-TOR-OTT
4,Turner,TOR,34,26,6,20,2,3,1,4,224,76,300,5,71,1,2,0,0,0,2021-09-04-TOR-OTT
5,"Mackenzie, I",TOR,13,28,23,5,1,3,2,4,291,96,387,19,95,2,1,0,0,1,2021-09-04-TOR-OTT
6,Hill,OTT,95,26,19,7,1,4,0,4,272,94,366,10,90,2,1,0,0,0,2021-09-04-TOR-OTT
7,Boucher,OTT,89,30,25,5,6,0,1,4,191,452,643,55,94,5,3,0,0,0,2021-09-04-TOR-OTT
8,Hirst,TOR,27,25,23,2,3,2,0,3,149,354,503,37,94,8,1,1,0,0,2021-09-04-TOR-OTT
9,Lam,TOR,6,19,4,15,1,0,2,3,16,109,125,12,100,2,0,0,0,0,2021-09-04-TOR-OTT
10,Turner,OTT,29,24,7,17,1,2,0,3,159,80,239,7,100,1,0,0,0,0,2021-09-04-TOR-OTT
11,Renaud,OTT,20,24,19,5,0,2,2,3,144,31,175,15,93,0,1,0,0,0,2021-09-04-TOR-OTT
12,Poloz,OTT,61,17,14,3,2,3,0,3,96,105,201,14,87,0,2,0,0,0,2021-09-04-TOR-OTT
13,Huynh,TOR,83,19,4,15,1,1,0,2,58,141,199,10,100,1,0,0,0,0,2021-09-04-TOR-OTT
14,"Lewis, J",TOR,44,18,4,14,0,1,1,2,38,-23,15,2,100,0,0,0,0,0,2021-09-04-TOR-OTT
15,Jay,TOR,4,16,3,13,0,2,0,2,26,13,39,2,100,0,0,0,0,0,2021-09-04-TOR-OTT
16,"Wallace, I",OTT,14,13,4,9,2,0,0,2,98,105,203,5,100,1,0,0,0,0,2021-09-04-TOR-OTT
17,Colic,OTT,34,22,19,3,0,3,0,2,229,109,338,12,100,4,0,0,0,1,2021-09-04-TOR-OTT
18,Cameron,OTT,86,16,3,13,0,1,1,2,23,132,155,6,100,0,0,0,0,0,2021-09-04-TOR-OTT
19,"Lewis, W",TOR,88,27,24,3,2,2,0,1,163,75,238,4,57,0,3,0,0,0,2021-09-04-TOR-OTT
20,Kishi,TOR,30,9,0,9,0,1,0,1,44,-2,42,1,100,0,0,0,0,0,2021-09-04-TOR-OTT
21,Kuo,TOR,26,13,1,12,1,0,0,1,64,10,74,1,100,0,0,0,0,0,2021-09-04-TOR-OTT
22,Hau,TOR,15,21,4,17,0,0,2,1,28,23,51,4,80,2,1,0,0,0,2021-09-04-TOR-OTT
23,Wong,TOR,10,15,3,12,0,0,1,1,5,7,12,2,100,0,0,0,0,0,2021-09-04-TOR-OTT
24,Comire,TOR,5,23,22,1,1,0,0,1,-45,294,249,34,100,1,0,0,0,0,2021-09-04-TOR-OTT
25,"Hunter, E",OTT,17,8,0,8,0,1,0,1,1,0,1,0,0,0,0,0,0,0,2021-09-04-TOR-OTT
26,O'Brien,OTT,11,26,7,19,2,0,2,1,49,40,89,5,71,0,2,0,0,1,2021-09-04-TOR-OTT
27,Lee,OTT,8,20,18,2,0,1,1,1,145,48,193,15,93,4,1,0,0,0,2021-09-04-TOR-OTT
28,Campbell,OTT,56,11,0,11,0,1,0,1,82,14,96,5,100,0,0,0,0,0,2021-09-04-TOR-OTT
29,Benvenuti,OTT,39,19,2,17,0,0,1,1,119,47,166,5,100,2,0,0,0,0,2021-09-04-TOR-OTT
30,Powell,TOR,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-04-TOR-OTT
31,O'Donnell,TOR,61,17,1,16,0,0,0,0,12,33,45,2,100,1,0,0,0,0,2021-09-04-TOR-OTT
32,Huang,TOR,25,7,0,7,0,0,0,0,5,12,17,1,100,0,0,0,0,0,2021-09-04-TOR-OTT
33,Yue,TOR,8,12,0,12,0,0,0,0,-2,5,3,1,100,0,0,0,0,0,2021-09-04-TOR-OTT
34,Stanton,OTT,81,9,1,8,0,0,0,0,1,11,12,1,100,0,0,0,0,0,2021-09-04-TOR-OTT
35,Ring,OTT,19,14,0,14,0,0,0,0,0,40,40,5,100,0,0,0,0,0,2021-09-04-TOR-OTT
36,Ellis,OTT,30,19,14,5,1,1,0,0,90,156,246,22,91,0,2,0,0,0,2021-09-04-TOR-OTT
37,Cantal,OTT,88,20,0,20,0,0,0,0,27,5,32,4,100,0,0,0,0,0,2021-09-04-TOR-OTT
38,Arsenault,OTT,22,6,6,0,0,0,0,-1,18,5,23,3,75,0,1,0,0,0,2021-09-04-TOR-OTT
39,Adibe,OTT,12,19,1,18,0,0,0,-1,45,0,45,0,0,0,1,0,0,0,2021-09-04-TOR-OTT
0,Mitchell,RAL,8,16,13,3,1,4,0,5,149,100,249,13,100,1,0,0,0,0,2021-09-03-RAL-DC
1,Yanuck,RAL,2,21,16,5,3,3,1,5,116,499,615,54,96,4,2,0,0,0,2021-09-03-RAL-DC
2,Taylor,RAL,15,21,10,11,1,2,1,4,209,80,289,19,100,2,0,0,0,0,2021-09-03-RAL-DC
3,Braun,DC,12,16,15,1,2,1,1,4,135,69,204,13,100,1,0,0,0,0,2021-09-03-RAL-DC
4,Richards,DC,99,18,16,2,0,4,0,4,203,92,295,9,100,1,0,0,0,0,2021-09-03-RAL-DC
5,Wodatch,DC,45,21,18,3,2,2,0,4,155,112,267,16,100,2,0,0,0,0,2021-09-03-RAL-DC
6,Russell,RAL,31,12,1,11,0,0,3,3,23,46,69,5,100,0,0,0,0,0,2021-09-03-RAL-DC
7,Laviolette,RAL,26,17,13,4,2,3,0,3,154,105,259,9,81,0,2,0,0,0,2021-09-03-RAL-DC
8,Gouchoe-Hanas,RAL,80,20,16,4,3,1,0,3,105,262,367,37,97,2,1,0,0,0,2021-09-03-RAL-DC
9,Fisher,RAL,10,17,16,1,1,2,0,3,244,18,262,23,100,2,0,0,0,0,2021-09-03-RAL-DC
10,Merrill,DC,40,11,9,2,0,3,0,3,83,-19,64,2,100,0,0,0,0,0,2021-09-03-RAL-DC
11,Richardson,RAL,84,17,3,14,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2021-09-03-RAL-DC
12,Saul,RAL,24,19,4,15,1,0,1,2,-46,89,43,13,100,0,0,0,0,0,2021-09-03-RAL-DC
13,Long,RAL,11,19,7,12,3,0,0,2,85,158,243,26,96,3,1,0,0,0,2021-09-03-RAL-DC
14,Juengst,RAL,16,18,15,3,2,1,1,2,184,57,241,19,90,2,2,0,0,0,2021-09-03-RAL-DC
15,Davis,RAL,27,13,0,13,0,1,1,2,40,0,40,0,0,0,0,0,0,0,2021-09-03-RAL-DC
16,Malks,DC,53,21,18,3,3,2,0,2,31,524,555,57,95,2,3,0,0,0,2021-09-03-RAL-DC
17,"Bergeron, R",DC,21,17,3,14,1,1,0,2,69,5,74,4,100,1,0,0,0,0,2021-09-03-RAL-DC
18,Sanner,RAL,29,7,0,7,1,0,0,1,10,48,58,2,100,0,0,0,0,0,2021-09-03-RAL-DC
19,Cretella,RAL,12,17,3,14,0,0,1,1,39,-9,30,6,100,0,0,0,0,0,2021-09-03-RAL-DC
20,Weaver,RAL,4,10,1,9,0,1,0,1,17,48,65,8,100,2,0,0,0,0,2021-09-03-RAL-DC
21,Bloodworth,RAL,28,15,4,11,1,0,0,1,11,26,37,7,100,1,0,0,0,0,2021-09-03-RAL-DC
22,Shields,DC,36,17,4,13,1,0,1,1,-6,102,96,6,85,0,1,0,0,0,2021-09-03-RAL-DC
23,"Norrbom, G",DC,54,13,10,3,1,0,0,1,113,97,210,22,100,2,0,0,0,0,2021-09-03-RAL-DC
24,Merriman,DC,5,15,4,11,0,1,0,1,54,13,67,4,100,0,0,0,0,0,2021-09-03-RAL-DC
25,McDonnell,DC,28,23,20,3,5,0,0,1,252,201,453,42,91,1,4,0,0,0,2021-09-03-RAL-DC
26,Hess,DC,35,19,6,13,0,0,1,1,13,24,37,3,100,0,0,0,0,0,2021-09-03-RAL-DC
27,Lynch,RAL,76,10,1,9,0,1,0,0,64,6,70,3,75,0,1,0,0,0,2021-09-03-RAL-DC
28,Hartzog,RAL,99,17,3,14,0,0,0,0,45,-5,40,2,100,0,0,0,0,0,2021-09-03-RAL-DC
29,Fairfax,RAL,20,19,13,6,0,0,1,0,95,19,114,10,100,0,0,0,0,1,2021-09-03-RAL-DC
30,"Allen, J",RAL,1,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-03-RAL-DC
31,Tom,DC,57,10,2,8,0,0,0,0,-12,48,36,10,100,0,0,0,0,0,2021-09-03-RAL-DC
32,Parks,DC,4,8,1,7,0,0,0,0,9,31,40,2,100,0,0,0,0,0,2021-09-03-RAL-DC
33,"Norrbom, Z",DC,10,20,19,1,1,1,0,0,177,142,319,41,95,3,2,0,0,0,2021-09-03-RAL-DC
34,Nissen,DC,24,20,17,3,0,1,0,0,170,126,296,22,95,2,1,0,0,0,2021-09-03-RAL-DC
35,Green,DC,26,15,3,12,0,0,1,0,29,-12,17,1,50,0,1,0,0,0,2021-09-03-RAL-DC
36,Fitzgerald,DC,88,14,3,11,0,0,0,0,-8,16,8,4,100,0,0,0,0,0,2021-09-03-RAL-DC
37,"Bergeron, Q",DC,33,10,1,9,0,0,0,0,20,27,47,2,100,0,0,0,0,0,2021-09-03-RAL-DC
38,Rehfuss,DC,11,12,2,10,0,0,0,-1,71,-7,64,4,80,1,1,0,0,0,2021-09-03-RAL-DC
39,Versteeg,DC,51,14,3,11,0,0,0,-2,31,0,31,0,0,0,1,0,0,1,2021-09-03-RAL-DC
0,Arters,CHI,5,23,19,4,5,3,2,8,261,354,615,33,94,3,2,0,0,0,2021-08-29-MIN-CHI
1,Shanahan,CHI,7,18,17,1,2,3,0,5,120,95,215,8,100,0,0,0,0,0,2021-08-29-MIN-CHI
2,Gibson,CHI,1,22,4,18,2,2,1,5,85,200,285,15,100,0,0,0,0,0,2021-08-29-MIN-CHI
3,Vogt,MIN,8,23,20,3,1,3,1,4,299,48,347,14,93,2,1,0,0,0,2021-08-29-MIN-CHI
4,Jurek,MIN,13,22,20,2,1,4,0,4,354,114,468,25,100,3,0,0,0,1,2021-08-29-MIN-CHI
5,North,CHI,13,22,18,4,0,4,0,4,180,81,261,12,100,3,0,0,0,0,2021-08-29-MIN-CHI
6,Goff,CHI,11,24,5,19,1,0,3,4,54,67,121,6,100,1,0,0,0,0,2021-08-29-MIN-CHI
7,Barker,CHI,25,24,18,6,1,3,0,4,187,72,259,19,100,1,0,0,0,0,2021-08-29-MIN-CHI
8,Weinberg,MIN,18,20,18,2,3,1,0,3,176,252,428,20,95,1,1,0,0,0,2021-08-29-MIN-CHI
9,Matzuka,MIN,45,20,4,16,1,0,2,3,-24,44,20,15,100,2,0,0,0,0,2021-08-29-MIN-CHI
10,Linehan,MIN,0,17,10,7,3,0,0,3,117,192,309,13,100,1,0,0,0,0,2021-08-29-MIN-CHI
11,Brandt,MIN,1,17,15,2,3,1,0,3,137,89,226,23,95,0,1,0,0,0,2021-08-29-MIN-CHI
12,Janas,CHI,55,21,19,2,5,0,0,3,251,318,569,47,95,4,2,0,0,0,2021-08-29-MIN-CHI
13,Taylor,MIN,11,12,4,8,1,1,0,2,25,6,31,3,100,0,0,0,0,0,2021-08-29-MIN-CHI
14,McCutcheon,MIN,20,12,1,11,0,1,1,2,32,30,62,2,100,0,0,0,0,0,2021-08-29-MIN-CHI
15,Kittlesen,MIN,34,16,3,13,0,0,2,2,60,15,75,5,100,0,0,0,0,0,2021-08-29-MIN-CHI
16,Hearne,MIN,26,12,0,12,1,0,1,2,-20,88,68,8,100,0,0,0,0,0,2021-08-29-MIN-CHI
17,DeClerck,MIN,54,17,2,15,0,2,1,2,128,0,128,4,80,1,1,0,0,0,2021-08-29-MIN-CHI
18,Schoch,CHI,31,14,2,12,0,1,1,2,60,43,103,10,100,0,0,0,0,0,2021-08-29-MIN-CHI
19,Leonard,MIN,17,15,3,12,0,1,0,1,52,14,66,2,100,0,0,0,0,0,2021-08-29-MIN-CHI
20,Berry,MIN,24,17,2,15,0,1,0,1,39,81,120,7,100,0,0,0,0,0,2021-08-29-MIN-CHI
21,Tornabene,CHI,21,12,2,10,1,0,0,1,45,20,65,4,100,0,0,0,0,0,2021-08-29-MIN-CHI
22,Swanson,CHI,15,21,2,19,0,1,0,1,53,7,60,3,100,1,0,0,0,0,2021-08-29-MIN-CHI
23,Shriwise,CHI,4,18,17,1,4,0,0,1,103,116,219,17,85,1,3,0,0,0,2021-08-29-MIN-CHI
24,Lake,CHI,6,15,14,1,0,1,1,1,25,131,156,30,96,3,1,0,0,0,2021-08-29-MIN-CHI
25,Roy,MIN,32,20,18,2,1,0,0,0,-68,300,232,50,98,3,0,1,0,0,2021-08-29-MIN-CHI
26,Poletto,MIN,94,18,18,0,1,1,1,0,49,147,196,34,94,2,2,0,0,1,2021-08-29-MIN-CHI
27,Matis,MIN,61,13,2,11,0,0,0,0,2,-6,-4,1,100,0,0,0,0,0,2021-08-29-MIN-CHI
28,Klane,MIN,29,18,16,2,2,1,0,0,89,217,306,30,90,2,3,0,0,0,2021-08-29-MIN-CHI
29,Hidaka,MIN,23,11,3,8,0,0,1,0,16,35,51,5,83,1,1,0,0,0,2021-08-29-MIN-CHI
30,Bergmeier,MIN,2,16,4,12,1,0,0,0,65,30,95,6,85,1,1,0,0,0,2021-08-29-MIN-CHI
31,Vallee,CHI,94,12,2,10,0,0,1,0,33,11,44,2,100,1,0,0,0,1,2021-08-29-MIN-CHI
32,Martin,CHI,20,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-29-MIN-CHI
33,Kaminsky,CHI,14,11,2,9,0,0,0,0,4,17,21,6,100,0,0,0,0,0,2021-08-29-MIN-CHI
34,Furse,CHI,9,5,0,5,0,0,0,0,51,0,51,2,100,0,0,0,0,0,2021-08-29-MIN-CHI
35,Artemakis,CHI,2,13,13,0,0,1,0,0,67,53,120,7,100,0,0,0,0,1,2021-08-29-MIN-CHI
36,Alanguilan,CHI,10,19,2,17,0,1,0,0,29,21,50,2,66,0,1,0,0,0,2021-08-29-MIN-CHI
37,Vohnoutka,MIN,3,19,11,8,0,2,1,-1,230,60,290,14,77,0,4,0,0,0,2021-08-29-MIN-CHI
38,Robinson,CHI,45,16,2,14,0,0,0,-1,3,20,23,6,85,1,1,0,0,0,2021-08-29-MIN-CHI
39,Graffy,CHI,26,19,3,16,0,1,1,-1,55,54,109,9,81,1,2,0,0,1,2021-08-29-MIN-CHI
0,Poitte-Sokolsky,MTL,28,21,19,2,6,4,1,11,322,159,481,25,100,3,0,0,0,0,2021-08-29-MTL-TOR
1,Brissette,MTL,86,22,19,3,7,2,3,11,72,373,445,29,96,2,1,0,0,0,2021-08-29-MTL-TOR
2,Hirst,TOR,27,23,23,0,5,2,2,7,98,347,445,29,96,2,1,0,0,1,2021-08-29-MTL-TOR
3,Harris,TOR,91,24,22,2,6,1,0,6,185,203,388,18,94,1,1,0,0,0,2021-08-29-MTL-TOR
4,Edwards,TOR,11,24,23,1,1,5,1,6,122,65,187,4,80,1,1,0,0,0,2021-08-29-MTL-TOR
5,Tremblay-Joncas,MTL,42,21,1,20,1,2,2,5,111,50,161,3,100,0,0,0,0,0,2021-08-29-MTL-TOR
6,Leonard,MTL,19,12,0,12,1,2,1,4,50,46,96,4,100,0,0,0,0,0,2021-08-29-MTL-TOR
7,Auger-Semmar,MTL,71,25,19,6,1,4,1,4,290,205,495,16,94,1,1,0,0,1,2021-08-29-MTL-TOR
8,Turner,TOR,34,22,5,17,0,1,5,4,97,18,115,7,87,0,1,0,0,1,2021-08-29-MTL-TOR
9,Lemieux,MTL,6,21,19,2,3,2,0,3,241,250,491,27,93,1,2,0,0,0,2021-08-29-MTL-TOR
10,"Mackenzie, M",TOR,7,24,19,5,0,5,0,3,329,87,416,10,83,1,2,0,0,0,2021-08-29-MTL-TOR
11,Monfette,MTL,21,13,0,13,1,0,1,2,16,5,21,6,100,0,0,0,0,0,2021-08-29-MTL-TOR
12,Cohonner,MTL,22,16,0,16,0,1,1,2,72,6,78,1,100,1,0,0,0,0,2021-08-29-MTL-TOR
13,"Lewis, W",TOR,88,25,23,2,0,2,2,2,241,32,273,9,90,2,1,0,0,1,2021-08-29-MTL-TOR
14,Huynh,TOR,83,12,5,7,2,0,1,2,0,55,55,9,90,0,1,0,0,0,2021-08-29-MTL-TOR
15,Chaouch,MTL,9,21,19,2,1,2,0,1,96,47,143,7,77,1,2,0,0,0,2021-08-29-MTL-TOR
16,Rousseau,MTL,38,16,1,15,1,0,1,1,54,75,129,5,83,1,1,0,0,0,2021-08-29-MTL-TOR
17,Limoges,MTL,82,13,1,12,1,0,0,1,31,68,99,8,100,1,0,0,0,0,2021-08-29-MTL-TOR
18,"Lewis, J",TOR,44,12,3,9,0,0,1,1,20,3,23,2,100,0,0,0,0,0,2021-08-29-MTL-TOR
19,Powell,TOR,21,5,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2021-08-29-MTL-TOR
20,"Mackenzie, I",TOR,13,23,6,17,2,0,0,1,10,106,116,8,88,0,1,0,0,0,2021-08-29-MTL-TOR
21,Sénéchal,MTL,5,16,0,16,0,0,1,0,22,14,36,3,75,0,1,0,0,0,2021-08-29-MTL-TOR
22,Goderre,MTL,27,20,18,2,0,2,0,0,75,132,207,20,95,1,1,0,0,1,2021-08-29-MTL-TOR
23,Genest,MTL,16,12,0,12,0,1,0,0,6,0,6,0,0,0,0,0,0,1,2021-08-29-MTL-TOR
24,Gamache,MTL,2,12,0,12,0,0,1,0,16,58,74,8,88,1,1,0,0,0,2021-08-29-MTL-TOR
25,Duplaix,MTL,43,20,0,20,1,0,0,0,61,7,68,7,87,0,1,0,0,0,2021-08-29-MTL-TOR
26,Bastien,MTL,73,20,0,20,0,0,0,0,4,-7,-3,1,100,0,0,0,0,0,2021-08-29-MTL-TOR
27,Charnock,TOR,22,10,4,6,0,0,0,0,77,3,80,3,100,0,0,0,0,0,2021-08-29-MTL-TOR
28,Ojo,TOR,12,12,0,12,0,1,0,0,83,4,87,3,75,0,1,0,0,0,2021-08-29-MTL-TOR
29,Mensah,TOR,2,14,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-29-MTL-TOR
30,Quinlan,MTL,81,22,19,3,1,2,0,-1,184,143,327,19,90,7,2,0,0,2,2021-08-29-MTL-TOR
31,Heloir,MTL,35,17,0,17,0,1,0,-1,64,157,221,9,81,2,2,0,0,0,2021-08-29-MTL-TOR
32,Kuo,TOR,26,14,2,12,0,0,0,-1,6,28,34,5,83,0,1,0,0,0,2021-08-29-MTL-TOR
33,Wong,TOR,10,15,1,14,0,0,0,-1,30,0,30,1,100,0,0,0,0,1,2021-08-29-MTL-TOR
34,Kishi,TOR,30,13,1,12,0,0,1,-2,33,6,39,6,75,0,2,0,0,1,2021-08-29-MTL-TOR
35,Huang,TOR,25,9,3,6,0,0,0,-2,4,0,4,0,0,0,2,0,0,0,2021-08-29-MTL-TOR
36,McKnight,TOR,19,26,24,2,2,0,0,-2,97,236,333,27,93,3,2,0,0,2,2021-08-29-MTL-TOR
37,Comire,TOR,5,23,22,1,0,0,0,-2,-20,196,176,25,92,4,2,0,0,0,2021-08-29-MTL-TOR
38,Carroll,TOR,3,5,5,0,0,0,0,-2,38,62,100,3,75,0,1,0,0,1,2021-08-29-MTL-TOR
0,Pierson,DC,78,24,2,22,0,3,4,7,107,29,136,5,100,0,0,0,0,0,2021-08-29-DC-TB
1,Richards,DC,99,23,16,7,0,5,1,6,158,62,220,4,100,2,0,0,0,0,2021-08-29-DC-TB
2,Nissen,DC,24,19,16,3,2,3,1,6,163,104,267,16,100,1,0,0,0,0,2021-08-29-DC-TB
3,Malks,DC,53,18,14,4,7,1,0,6,103,396,499,33,94,1,2,0,0,0,2021-08-29-DC-TB
4,Delgado,TB,33,15,14,1,0,5,2,6,248,30,278,11,91,1,1,0,0,0,2021-08-29-DC-TB
5,Webster,DC,23,23,16,7,2,3,0,5,259,65,324,10,100,2,0,0,0,0,2021-08-29-DC-TB
6,Dia,DC,17,24,1,23,0,3,3,5,164,6,170,4,80,0,1,0,0,0,2021-08-29-DC-TB
7,Healey,DC,18,18,14,4,0,3,1,4,201,23,224,7,100,2,0,0,0,0,2021-08-29-DC-TB
8,Fitzgerald,DC,88,17,1,16,3,1,1,4,131,114,245,14,93,0,1,0,0,0,2021-08-29-DC-TB
9,Vezina,DC,15,14,1,13,0,3,0,3,76,8,84,5,100,1,0,0,0,0,2021-08-29-DC-TB
10,Parks,DC,4,21,2,19,2,0,1,3,42,73,115,6,100,2,0,0,0,0,2021-08-29-DC-TB
11,Harrison,DC,2,19,1,18,1,0,2,3,-9,94,85,21,100,0,0,0,0,0,2021-08-29-DC-TB
12,McDonnell,DC,28,18,14,4,3,0,0,3,156,168,324,29,100,5,0,0,0,0,2021-08-29-DC-TB
13,Arbutine,TB,97,21,12,9,1,0,2,3,83,174,257,13,100,1,0,0,0,0,2021-08-29-DC-TB
14,Lopez,TB,94,15,10,5,1,2,0,3,149,78,227,10,100,0,0,0,0,0,2021-08-29-DC-TB
15,Plunkett,TB,96,26,15,11,1,4,0,3,192,74,266,13,86,1,2,0,0,0,2021-08-29-DC-TB
16,Wartinbee,DC,27,18,14,4,3,1,0,2,68,162,230,19,90,1,2,0,0,0,2021-08-29-DC-TB
17,Diehl ,TB,5,28,15,13,0,0,2,2,58,27,85,5,100,0,0,0,0,0,2021-08-29-DC-TB
18,McDonald,TB,66,22,17,5,0,1,1,2,60,32,92,7,100,0,0,0,0,0,2021-08-29-DC-TB
19,Patel,TB,25,22,14,8,2,1,0,2,100,55,155,9,90,1,1,0,0,0,2021-08-29-DC-TB
20,Perez,TB,8,22,16,6,1,1,1,2,42,136,178,28,96,2,1,0,0,0,2021-08-29-DC-TB
21,Versteeg,DC,51,14,0,14,1,0,0,1,9,15,24,1,100,0,0,0,0,0,2021-08-29-DC-TB
22,Tom,DC,57,19,0,19,0,0,1,1,53,70,123,13,100,3,0,0,0,0,2021-08-29-DC-TB
23,Shields,DC,36,19,15,4,1,1,0,1,76,269,345,28,96,3,1,0,0,0,2021-08-29-DC-TB
24,Merriman,DC,5,23,1,22,2,0,1,1,93,119,212,9,90,0,1,0,0,1,2021-08-29-DC-TB
25,Knopf,DC,25,20,1,19,1,0,2,1,35,129,164,17,94,3,1,0,0,1,2021-08-29-DC-TB
26,Posey,TB,94,19,9,10,1,0,0,1,76,66,142,6,100,1,0,0,0,0,2021-08-29-DC-TB
27,Braun,DC,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-29-DC-TB
28,Jones,TB,95,8,3,5,0,0,0,0,18,0,18,0,0,0,0,0,0,0,2021-08-29-DC-TB
