,Rank,Team,Change,Prior,Date,Division
0,1,Oklahoma Christian,,,1/6/22,D3_MEN
1,2,Middlebury,,,1/6/22,D3_MEN
2,3,Richmond,,,1/6/22,D3_MEN
3,4,St. Olaf,,,1/6/22,D3_MEN
4,5,Whitman,,,1/6/22,D3_MEN
5,6,Berry,,,1/6/22,D3_MEN
6,7,Colorado College,,,1/6/22,D3_MEN
7,8,Carleton CHOP,,,1/6/22,D3_MEN
8,9,Claremont,,,1/6/22,D3_MEN
9,10,Franciscan,,,1/6/22,D3_MEN
10,11,Missouri S&T,,,1/6/22,D3_MEN
11,12,Sul Ross State,,,1/6/22,D3_MEN
12,13,Whitworth,,,1/6/22,D3_MEN
13,14,Kenyon,,,1/6/22,D3_MEN
14,15,Luther,,,1/6/22,D3_MEN
15,16,Navy,,,1/6/22,D3_MEN
16,17,Brandeis,,,1/6/22,D3_MEN
17,18,Mary Washington,,,1/6/22,D3_MEN
18,19,Rochester,,,1/6/22,D3_MEN
19,20,North Park,,,1/6/22,D3_MEN
20,21,Wesleyan,,,1/6/22,D3_MEN
21,22,Rice,,,1/6/22,D3_MEN
22,23,Truman State,,,1/6/22,D3_MEN
23,24,Amherst,,,1/6/22,D3_MEN
24,25,Bryant,,,1/6/22,D3_MEN
0,1,Richmond,-,1,12/1/21,D3_MEN
1,2,St. Olaf,-,2,12/1/21,D3_MEN
2,3,Oklahoma Christian,-,3,12/1/21,D3_MEN
3,4,Middlebury,-,4,12/1/21,D3_MEN
4,5,Whitman,-,5,12/1/21,D3_MEN
5,6,Colorado College,-,6,12/1/21,D3_MEN
6,7,Franciscan,-,7,12/1/21,D3_MEN
7,8,Kenyon,-,8,12/1/21,D3_MEN
8,9,Whitworth,-,9,12/1/21,D3_MEN
9,10,Brandeis,-,10,12/1/21,D3_MEN
10,11,Carleton CHOP,-,11,12/1/21,D3_MEN
11,12,Missouri S&T,-,12,12/1/21,D3_MEN
12,13,Sul Ross State,-,13,12/1/21,D3_MEN
13,14,Luther,-,14,12/1/21,D3_MEN
14,15,Berry,-,15,12/1/21,D3_MEN
15,16,Navy,-,16,12/1/21,D3_MEN
16,17,North Park,-,17,12/1/21,D3_MEN
17,18,Claremont,-,18,12/1/21,D3_MEN
18,19,Rochester,-,19,12/1/21,D3_MEN
19,20,Wesleyan,-,20,12/1/21,D3_MEN
20,21,Rice,-,21,12/1/21,D3_MEN
21,22,Truman State,-,22,12/1/21,D3_MEN
22,23,Amherst,-,23,12/1/21,D3_MEN
23,24,Bryant,-,24,12/1/21,D3_MEN
24,25,Mary Washington,-,25,12/1/21,D3_MEN
0,1,Richmond,-,1,12/1/21,D3_MEN
1,2,St. Olaf,1,3,12/1/21,D3_MEN
2,3,Oklahoma Christian,-1,2,12/1/21,D3_MEN
3,4,Middlebury,1,5,12/1/21,D3_MEN
4,5,Whitman,1,6,12/1/21,D3_MEN
5,6,Colorado College,7,13,12/1/21,D3_MEN
6,7,Franciscan,3,10,12/1/21,D3_MEN
7,8,Kenyon,1,9,12/1/21,D3_MEN
8,9,Whitworth,-2,7,12/1/21,D3_MEN
9,10,Brandeis,2,12,12/1/21,D3_MEN
10,11,Carleton CHOP,6,17,12/1/21,D3_MEN
11,12,Missouri S&T,-8,4,12/1/21,D3_MEN
12,13,Sul Ross State,2,15,12/1/21,D3_MEN
13,14,Luther,4,18,12/1/21,D3_MEN
14,15,Berry,-1,14,12/1/21,D3_MEN
15,16,Navy,-,16,12/1/21,D3_MEN
16,17,North Park,2,19,12/1/21,D3_MEN
17,18,Claremont,4,22,12/1/21,D3_MEN
18,19,Rochester,,-,12/1/21,D3_MEN
19,20,Wesleyan,,-,12/1/21,D3_MEN
20,21,Rice,-,21,12/1/21,D3_MEN
21,22,Truman State,-2,20,12/1/21,D3_MEN
22,23,Amherst,,-,12/1/21,D3_MEN
23,24,Bryant,-13,11,12/1/21,D3_MEN
24,25,Mary Washington,-1,24,12/1/21,D3_MEN
0,1,Richmond,-,1,12/1/21,D3_MEN
1,2,Oklahoma Christian,-,2,12/1/21,D3_MEN
2,3,St. Olaf,-,3,12/1/21,D3_MEN
3,4,Missouri S&T,-,4,12/1/21,D3_MEN
4,5,Middlebury,-,5,12/1/21,D3_MEN
5,6,Whitman,-,6,12/1/21,D3_MEN
6,7,Whitworth,-,7,12/1/21,D3_MEN
7,8,Oberlin,-,8,12/1/21,D3_MEN
8,9,Kenyon,-,9,12/1/21,D3_MEN
9,10,Franciscan,-,10,12/1/21,D3_MEN
10,11,Bryant,-,11,12/1/21,D3_MEN
11,12,Brandeis,-,12,12/1/21,D3_MEN
12,13,Colorado College,-,13,12/1/21,D3_MEN
13,14,Berry,1,15,12/1/21,D3_MEN
14,15,Sul Ross State,1,16,12/1/21,D3_MEN
15,16,Navy,6,22,12/1/21,D3_MEN
16,17,Carleton CHOP,1,18,12/1/21,D3_MEN
17,18,Luther,1,19,12/1/21,D3_MEN
18,19,North Park,,-,12/1/21,D3_MEN
19,20,Truman State,-,20,12/1/21,D3_MEN
20,21,Rice,-,21,12/1/21,D3_MEN
21,22,Claremont,2,24,12/1/21,D3_MEN
22,23,Colgate,2,25,12/1/21,D3_MEN
23,24,Mary Washington,,-,12/1/21,D3_MEN
24,25,Davidson,-11,14,12/1/21,D3_MEN
0,1,Richmond,,,12/1/21,D3_MEN
1,2,Oklahoma Christian,,,12/1/21,D3_MEN
2,3,St. Olaf,,,12/1/21,D3_MEN
3,4,Missouri S&T,,,12/1/21,D3_MEN
4,5,Middlebury,,,12/1/21,D3_MEN
5,6,Whitman,,,12/1/21,D3_MEN
6,7,Whitworth,,,12/1/21,D3_MEN
7,8,Oberlin,,,12/1/21,D3_MEN
8,9,Kenyon,,,12/1/21,D3_MEN
9,10,Franciscan,,,12/1/21,D3_MEN
10,11,Bryant,,,12/1/21,D3_MEN
11,12,Brandeis,,,12/1/21,D3_MEN
12,13,Colorado College,,,12/1/21,D3_MEN
13,14,Davidson,,,12/1/21,D3_MEN
14,15,Berry,,,12/1/21,D3_MEN
15,16,Sul Ross State,,,12/1/21,D3_MEN
16,17,Butler,,,12/1/21,D3_MEN
17,18,Carleton CHOP,,,12/1/21,D3_MEN
18,19,Luther,,,12/1/21,D3_MEN
19,20,Truman State,,,12/1/21,D3_MEN
20,21,Rice,,,12/1/21,D3_MEN
21,22,Navy,,,12/1/21,D3_MEN
22,23,UNC Asheville,,,12/1/21,D3_MEN
23,24,Claremont,,,12/1/21,D3_MEN
24,25,Colgate,,,12/1/21,D3_MEN
0,1,Middlebury,-,1,3/18/20,D3_MEN
1,2,Richmond,-,2,3/18/20,D3_MEN
2,3,Missouri S&T,-,3,3/18/20,D3_MEN
3,4,Carleton CHOP,-,4,3/18/20,D3_MEN
4,5,Marist,6,11,3/18/20,D3_MEN
5,6,Bryant,2,8,3/18/20,D3_MEN
6,7,Portland,-2,5,3/18/20,D3_MEN
7,8,Franciscan,-2,6,3/18/20,D3_MEN
8,9,Valparaiso,1,10,3/18/20,D3_MEN
9,10,Michigan Tech,2,12,3/18/20,D3_MEN
10,11,Xavier,2,13,3/18/20,D3_MEN
11,12,Brandeis,2,14,3/18/20,D3_MEN
12,13,Navy,2,15,3/18/20,D3_MEN
13,14,Shippensburg,2,16,3/18/20,D3_MEN
14,15,Puget Sound,,-,3/18/20,D3_MEN
15,16,Davidson,1,17,3/18/20,D3_MEN
16,17,Messiah,1,18,3/18/20,D3_MEN
17,18,Cedarville,2,20,3/18/20,D3_MEN
18,19,Oberlin,2,21,3/18/20,D3_MEN
19,20,Rice,2,22,3/18/20,D3_MEN
20,21,Truman State,2,23,3/18/20,D3_MEN
21,22,Occidental,2,24,3/18/20,D3_MEN
22,23,Claremont,2,25,3/18/20,D3_MEN
23,24,Amherst,,-,3/18/20,D3_MEN
24,25,Mary Washington,,-,3/18/20,D3_MEN
0,1,Middlebury,-,1,3/18/20,D3_MEN
1,2,Richmond,2,4,3/18/20,D3_MEN
2,3,Missouri S&T,-1,2,3/18/20,D3_MEN
3,4,Carleton CHOP,-1,3,3/18/20,D3_MEN
4,5,Portland,7,12,3/18/20,D3_MEN
5,6,Franciscan,-,6,3/18/20,D3_MEN
6,7,Colby,-,7,3/18/20,D3_MEN
7,8,Bryant,-,8,3/18/20,D3_MEN
8,9,Bowdoin,-4,5,3/18/20,D3_MEN
9,10,Valparaiso,-,10,3/18/20,D3_MEN
10,11,Marist,-,11,3/18/20,D3_MEN
11,12,Michigan Tech,1,13,3/18/20,D3_MEN
12,13,Xavier,,-,3/18/20,D3_MEN
13,14,Brandeis,11,25,3/18/20,D3_MEN
14,15,Navy,7,22,3/18/20,D3_MEN
15,16,Shippensburg,,-,3/18/20,D3_MEN
16,17,Davidson,1,18,3/18/20,D3_MEN
17,18,Messiah,,-,3/18/20,D3_MEN
18,19,Bates,,-,3/18/20,D3_MEN
19,20,Cedarville,-6,14,3/18/20,D3_MEN
20,21,Oberlin,-6,15,3/18/20,D3_MEN
21,22,Rice,-3,19,3/18/20,D3_MEN
22,23,Truman State,-3,20,3/18/20,D3_MEN
23,24,Occidental,,-,3/18/20,D3_MEN
24,25,Claremont,-16,9,3/18/20,D3_MEN
0,1,Middlebury,-,1,3/18/20,D3_MEN
1,2,Missouri S&T,1,3,3/18/20,D3_MEN
2,3,Carleton CHOP,1,4,3/18/20,D3_MEN
3,4,Richmond,1,5,3/18/20,D3_MEN
4,5,Bowdoin,2,7,3/18/20,D3_MEN
5,6,Franciscan,2,8,3/18/20,D3_MEN
6,7,Colby,2,9,3/18/20,D3_MEN
7,8,Bryant,2,10,3/18/20,D3_MEN
8,9,Claremont,3,12,3/18/20,D3_MEN
9,10,Valparaiso,3,13,3/18/20,D3_MEN
10,11,Marist,3,14,3/18/20,D3_MEN
11,12,Portland,3,15,3/18/20,D3_MEN
12,13,Michigan Tech,3,16,3/18/20,D3_MEN
13,14,Cedarville,,-,3/18/20,D3_MEN
14,15,Oberlin,-4,11,3/18/20,D3_MEN
15,16,Sul Ross State,3,19,3/18/20,D3_MEN
16,17,UNC Asheville,-,17,3/18/20,D3_MEN
17,18,Davidson,-,18,3/18/20,D3_MEN
18,19,Rice,,-,3/18/20,D3_MEN
19,20,Truman State,,-,3/18/20,D3_MEN
20,21,Georgia College,-1,20,3/18/20,D3_MEN
21,22,Navy,-1,21,3/18/20,D3_MEN
22,23,Luther,-17,6,3/18/20,D3_MEN
23,24,Amherst,,-,3/18/20,D3_MEN
24,25,Brandeis,-3,22,3/18/20,D3_MEN
0,1,Middlebury,-,1,3/18/20,D3_MEN
1,2,Oklahoma Christian,-,2,3/18/20,D3_MEN
2,3,Missouri S&T,-,3,3/18/20,D3_MEN
3,4,Carleton CHOP,-,4,3/18/20,D3_MEN
4,5,Richmond,-,5,3/18/20,D3_MEN
5,6,Luther,-,6,3/18/20,D3_MEN
6,7,Bowdoin,-,7,3/18/20,D3_MEN
7,8,Franciscan,-,8,3/18/20,D3_MEN
8,9,Colby,-,9,3/18/20,D3_MEN
9,10,Bryant,-,10,3/18/20,D3_MEN
10,11,Oberlin,-,11,3/18/20,D3_MEN
11,12,Claremont,-,12,3/18/20,D3_MEN
12,13,Valparaiso,-,13,3/18/20,D3_MEN
13,14,Marist,-,14,3/18/20,D3_MEN
14,15,Portland,-,15,3/18/20,D3_MEN
15,16,Michigan Tech,1,17,3/18/20,D3_MEN
16,17,UNC Asheville,1,18,3/18/20,D3_MEN
17,18,Davidson,1,19,3/18/20,D3_MEN
18,19,Sul Ross State,1,20,3/18/20,D3_MEN
19,20,Georgia College,-4,16,3/18/20,D3_MEN
20,21,Navy,-,21,3/18/20,D3_MEN
21,22,Brandeis,-,22,3/18/20,D3_MEN
22,23,Bates,-,23,3/18/20,D3_MEN
23,24,Mary Washington,-,24,3/18/20,D3_MEN
24,25,Williams,-,25,3/18/20,D3_MEN
0,1,Middlebury,-,1,3/18/20,D3_MEN
1,2,Oklahoma Christian,,-,3/18/20,D3_MEN
2,3,Missouri S&T,-1,2,3/18/20,D3_MEN
3,4,Carleton CHOP,-1,3,3/18/20,D3_MEN
4,5,Richmond,-1,4,3/18/20,D3_MEN
5,6,Luther,-1,5,3/18/20,D3_MEN
6,7,Bowdoin,-1,6,3/18/20,D3_MEN
7,8,Franciscan,-1,7,3/18/20,D3_MEN
8,9,Colby,-1,8,3/18/20,D3_MEN
9,10,Bryant,-1,9,3/18/20,D3_MEN
10,11,Oberlin,-1,10,3/18/20,D3_MEN
11,12,Claremont,3,15,3/18/20,D3_MEN
12,13,Valparaiso,-2,11,3/18/20,D3_MEN
13,14,Marist,-2,12,3/18/20,D3_MEN
14,15,Portland,-2,13,3/18/20,D3_MEN
15,16,Georgia College,-2,14,3/18/20,D3_MEN
16,17,Michigan Tech,-1,16,3/18/20,D3_MEN
