YEAR - TEAM,GAMES,POINTS_PLAYED,MINUTES,ASSISTSS,GOALS,BLOCKS,P/M,COMPLETIONS,COMPLETION_PERCENT,THROWING_YARDS,RECEIVING_YARDS,HOCKEY_ASSISTS,TURNS,STALLS,DROPS,CALLAHANS,HUCKS,HUCK_PERCENT,OFFESNIVE_PP,DEFENSIVE_PP,PULLS,PULL_PERCENT,PULL_HANGTIME,NAME,SEASON
2014 - CIN,6,95,94,2,0,3,-3,26,74.29,--,--,3,7,0,1,0,--,--,28,67,0,--,--,Aaron Bacon,regular season
2021 - DC,2,19,23,0,1,0,1,6,100,-11,58,0,0,0,0,0,0,0,0,19,0,--,--,Aaron Bartlett,regular season
2013 - NY,4,30,0,5,2,3,-4,37,75.51,--,--,0,12,0,2,0,--,--,19,11,0,--,--,Aaron Bell,regular season
2013 - NY,1,20,0,3,2,0,0,32,88.89,--,--,0,4,0,1,0,--,--,18,2,0,--,--,Aaron Bell,post-season
2017 - PIT,2,27,18,0,0,2,0,6,75,--,--,0,2,0,0,0,--,--,7,20,1,100,2.33,Aaron Buss,regular season
2016 - PIT,12,209,184,14,6,10,15,154,89.53,--,--,15,15,0,0,0,--,--,68,141,1,100,3.48,Aaron Buss,regular season
Career,14,236,202,14,6,12,15,160,88.89,--,--,15,17,0,0,0,--,--,75,161,2,100,2.91,Aaron Buss,regular season
2016 - PIT,2,8,4,1,0,0,1,4,100,--,--,1,0,0,0,0,--,--,2,6,0,--,--,Aaron Buss,post-season
2014 - CIN,7,99,91,0,5,2,3,19,90.48,--,--,0,2,0,2,0,--,--,15,84,0,--,--,Aaron Corley,regular season
2013 - CIN,12,143,0,4,5,8,7,45,81.82,--,--,0,10,0,0,0,--,--,21,122,0,--,--,Aaron Corley,regular season
2012 - CIN,7,14,0,1,3,5,6,24,88.89,--,--,0,3,0,0,0,--,--,7,7,0,--,--,Aaron Corley,regular season
Career,26,256,91,5,13,15,16,88,85.44,--,--,0,15,0,2,0,--,--,43,213,0,--,--,Aaron Corley,regular season
2017 - DET,6,114,118,4,8,1,-6,46,75.41,--,--,4,13,0,6,0,--,--,78,36,4,100,--,Aaron Del Real,regular season
2016 - DET,11,183,199,13,19,6,25,76,83.52,--,--,6,12,0,1,0,--,--,150,33,0,--,--,Aaron Del Real,regular season
2015 - DET,9,243,237,12,26,7,25,107,88.43,--,--,8,14,0,6,0,--,--,211,32,0,--,--,Aaron Del Real,regular season
2014 - DET,9,213,209,18,20,4,23,103,85.83,--,--,8,12,0,7,0,--,--,179,34,3,100,5.23,Aaron Del Real,regular season
2012 - DET,8,33,0,5,10,10,10,86,96.63,--,--,0,10,0,5,0,--,--,17,16,0,--,--,Aaron Del Real,regular season
Career,43,786,763,52,83,28,77,418,86.72,--,--,26,61,0,25,0,--,--,635,151,7,100,5.23,Aaron Del Real,regular season
2018 - DC,7,68,54,2,4,4,7,12,85.71,--,--,0,2,0,1,0,--,--,5,63,0,--,--,Aaron Langley,regular season
2018 - DC,1,5,4,0,0,1,1,2,100,--,--,0,0,0,0,0,--,--,0,5,0,--,--,Aaron Langley,post-season
2015 - SF,10,192,196,10,13,7,16,87,85.29,--,--,8,11,0,3,0,--,--,71,121,29,96.67,6.29,Aaron Richards,regular season
2017 - PHI,4,39,35,1,0,1,2,19,100,--,--,2,0,0,0,0,--,--,6,33,5,100,4.23,Aaron Roberts,regular season
2016 - PHI,5,43,42,2,0,2,-3,17,73.91,--,--,0,6,0,1,0,--,--,17,26,0,--,--,Aaron Roberts,regular season
2015 - PHI,7,85,82,3,2,6,7,17,85,--,--,1,3,0,1,0,--,--,18,67,0,--,--,Aaron Roberts,regular season
2014 - DC,11,158,121,4,7,10,18,28,90.32,--,--,2,2,0,1,0,--,--,15,143,0,--,--,Aaron Roberts,regular season
Career,27,325,281,10,9,19,24,81,87.1,--,--,5,11,0,3,0,--,--,56,269,5,100,4.23,Aaron Roberts,regular season
2014 - DC,1,8,12,0,1,0,1,1,100,--,--,1,0,0,0,0,--,--,4,4,0,--,--,Aaron Roberts,post-season
2018 - IND,14,243,238,9,15,14,25,102,89.47,--,--,7,10,0,3,0,--,--,93,150,0,--,--,Aaron Schwartz,regular season
2017 - IND,14,325,308,10,25,4,13,148,87.57,--,--,20,18,0,8,0,--,--,284,41,0,--,--,Aaron Schwartz,regular season
2016 - IND,14,284,240,14,31,6,36,128,89.51,--,--,16,13,0,2,0,--,--,189,95,0,--,--,Aaron Schwartz,regular season
2015 - IND,13,206,188,5,8,4,9,69,90.79,--,--,10,6,0,2,0,--,--,58,148,1,100,5.12,Aaron Schwartz,regular season
Career,55,1058,976,38,79,28,83,447,89.04,--,--,53,47,0,15,0,--,--,624,434,1,100,5.12,Aaron Schwartz,regular season
2018 - IND,2,33,26,1,2,2,5,3,100,--,--,0,0,0,0,0,--,--,8,25,0,--,--,Aaron Schwartz,post-season
2021 - DET,5,67,76,3,4,0,1,55,94.83,151,382,2,3,0,3,0,1,100,67,0,0,--,--,Aaron Schwieterman,regular season
2019 - SJ,5,73,71,2,1,2,-2,62,91.18,--,--,4,6,0,1,0,--,--,33,40,18,90,6.41,Aaron Shi,regular season
2018 - SJ,7,111,108,2,4,2,2,47,88.68,--,--,1,6,0,0,0,--,--,21,90,13,76.47,5.7,Aaron Shi,regular season
Career,12,184,180,4,5,4,0,109,90.08,--,--,5,12,0,1,0,--,--,54,130,31,83.78,6.17,Aaron Shi,regular season
2017 - PIT,3,49,49,1,6,2,7,15,88.24,--,--,1,2,0,0,0,--,--,19,30,0,--,--,Aaron Watson,regular season
2016 - PIT,8,164,164,11,18,8,28,163,94.77,--,--,15,7,0,2,0,--,--,130,34,0,--,--,Aaron Watson,regular season
2015 - PIT,12,307,288,29,40,8,63,274,94.16,--,--,31,11,0,3,0,--,--,238,69,3,100,5.47,Aaron Watson,regular season
Career,23,520,503,41,64,18,98,452,94.17,--,--,47,20,0,5,0,--,--,387,133,3,100,5.47,Aaron Watson,regular season
2016 - PIT,2,31,32,1,0,2,0,20,83.33,--,--,1,3,0,0,0,--,--,15,16,0,--,--,Aaron Watson,post-season
2015 - PIT,2,50,49,2,8,2,8,35,92.11,--,--,5,3,0,1,0,--,--,41,9,0,--,--,Aaron Watson,post-season
Career,4,81,82,3,8,4,8,55,88.71,--,--,6,6,0,1,0,--,--,56,25,0,--,--,Aaron Watson,post-season
2019 - IND,5,54,57,1,1,0,-1,7,100,--,--,2,0,0,3,0,--,--,4,50,0,--,--,Aaron Weaver,regular season
2019 - IND,2,26,33,0,1,3,1,6,75,--,--,1,2,0,1,0,--,--,3,23,0,--,--,Aaron Weaver,post-season
2019 - LA,10,209,206,19,12,8,32,202,95.73,--,--,19,6,0,1,0,--,--,117,92,3,100,4.05,Aaron Weaver,regular season
2018 - LA,9,153,147,7,11,9,21,82,95.35,--,--,8,3,0,3,0,--,--,25,128,0,--,--,Aaron Weaver,regular season
2017 - LA,13,194,166,6,9,5,18,72,98.63,--,--,11,1,0,1,0,--,--,22,172,0,--,--,Aaron Weaver,regular season
Career,32,556,520,32,32,22,71,356,96.22,--,--,38,10,0,5,0,--,--,164,392,3,100,4.05,Aaron Weaver,regular season
2019 - LA,1,29,25,3,2,0,5,48,100,--,--,3,0,0,0,0,--,--,23,6,0,--,--,Aaron Weaver,post-season
2018 - LA,2,30,29,0,0,0,0,12,100,--,--,2,0,0,0,0,--,--,2,28,0,--,--,Aaron Weaver,post-season
2017 - LA,2,35,22,1,0,1,2,10,100,--,--,0,0,0,0,0,--,--,4,31,0,--,--,Aaron Weaver,post-season
Career,5,94,77,4,2,1,7,70,100,--,--,5,0,0,0,0,--,--,29,65,0,--,--,Aaron Weaver,post-season
2012 - DET,5,8,0,1,2,3,0,42,93.33,--,--,0,6,0,0,0,--,--,3,5,0,--,--,Aaron Ziegler,regular season
2021 - DAL,8,154,171,24,9,0,14,293,94.21,1747,1363,19,17,0,2,0,6,66.67,154,0,0,--,--,Abe Coffin,regular season
2019 - DAL,11,217,227,32,19,7,44,272,93.79,--,--,18,13,0,1,0,--,--,194,23,2,100,5.36,Abe Coffin,regular season
2017 - DAL,13,325,302,37,39,3,58,223,92.53,--,--,22,17,0,4,0,--,--,252,73,29,100,6.56,Abe Coffin,regular season
2016 - MAD,4,86,91,12,2,2,7,72,87.8,--,--,6,8,0,1,0,--,--,20,66,0,--,--,Abe Coffin,regular season
Career,36,782,792,105,69,12,123,860,93.07,1747,1363,65,55,0,8,0,6,66.67,620,162,31,100,6.48,Abe Coffin,regular season
2021 - DAL,1,25,21,3,1,0,3,12,92.31,190,98,1,1,0,0,0,2,66.67,17,8,4,100,8.09,Abe Coffin,post-season
2019 - DAL,3,73,76,17,4,2,19,152,97.44,--,--,6,4,0,0,0,--,--,68,5,1,50,--,Abe Coffin,post-season
2017 - DAL,3,62,65,2,9,1,9,38,95,--,--,0,2,0,1,0,--,--,54,8,0,--,--,Abe Coffin,post-season
2016 - MAD,2,33,27,2,1,2,4,20,90.91,--,--,3,1,0,0,0,--,--,5,28,0,--,--,Abe Coffin,post-season
Career,9,193,190,24,15,5,35,222,96.1,190,98,10,8,0,1,0,2,66.67,144,49,5,83.33,8.09,Abe Coffin,post-season
2019 - DAL,6,70,73,0,1,4,2,37,88.1,--,--,3,3,0,0,0,--,--,13,57,1,100,5.88,Abe Gambert,regular season
2019 - DAL,1,1,0,0,0,0,0,0,0,--,--,0,0,0,0,0,--,--,0,1,0,--,--,Abe Gambert,post-season
2015 - CHA,10,117,86,3,3,3,3,17,80.95,--,--,2,4,0,2,0,--,--,32,85,0,--,--,Adam Bostian,regular season
2016 - LA,4,63,53,3,0,2,3,53,94.64,--,--,5,2,0,0,0,--,--,26,37,0,--,--,Adam Bronstein,regular season
2014 - SEA,13,254,274,12,9,10,12,314,93.18,--,--,21,19,0,0,0,--,--,202,52,0,--,--,Adam Bronstein,regular season
Career,17,317,327,15,9,12,15,367,93.38,--,--,26,21,0,0,0,--,--,228,89,0,--,--,Adam Bronstein,regular season
2014 - CIN,6,95,94,2,0,3,-3,26,74.29,--,--,3,7,0,1,0,--,--,28,67,0,--,--,Aaron Bacon,regular season
2021 - DC,2,19,23,0,1,0,1,6,100,-11,58,0,0,0,0,0,0,0,0,19,0,--,--,Aaron Bartlett,regular season
2013 - NY,4,30,0,5,2,3,-4,37,75.51,--,--,0,12,0,2,0,--,--,19,11,0,--,--,Aaron Bell,regular season
2013 - NY,1,20,0,3,2,0,0,32,88.89,--,--,0,4,0,1,0,--,--,18,2,0,--,--,Aaron Bell,post-season
2017 - PIT,2,27,18,0,0,2,0,6,75,--,--,0,2,0,0,0,--,--,7,20,1,100,2.33,Aaron Buss,regular season
2016 - PIT,12,209,184,14,6,10,15,154,89.53,--,--,15,15,0,0,0,--,--,68,141,1,100,3.48,Aaron Buss,regular season
Career,14,236,202,14,6,12,15,160,88.89,--,--,15,17,0,0,0,--,--,75,161,2,100,2.91,Aaron Buss,regular season
2016 - PIT,2,8,4,1,0,0,1,4,100,--,--,1,0,0,0,0,--,--,2,6,0,--,--,Aaron Buss,post-season
2014 - CIN,7,99,91,0,5,2,3,19,90.48,--,--,0,2,0,2,0,--,--,15,84,0,--,--,Aaron Corley,regular season
2013 - CIN,12,143,0,4,5,8,7,45,81.82,--,--,0,10,0,0,0,--,--,21,122,0,--,--,Aaron Corley,regular season
2012 - CIN,7,14,0,1,3,5,6,24,88.89,--,--,0,3,0,0,0,--,--,7,7,0,--,--,Aaron Corley,regular season
Career,26,256,91,5,13,15,16,88,85.44,--,--,0,15,0,2,0,--,--,43,213,0,--,--,Aaron Corley,regular season
2017 - DET,6,114,118,4,8,1,-6,46,75.41,--,--,4,13,0,6,0,--,--,78,36,4,100,--,Aaron Del Real,regular season
2016 - DET,11,183,199,13,19,6,25,76,83.52,--,--,6,12,0,1,0,--,--,150,33,0,--,--,Aaron Del Real,regular season
2015 - DET,9,243,237,12,26,7,25,107,88.43,--,--,8,14,0,6,0,--,--,211,32,0,--,--,Aaron Del Real,regular season
2014 - DET,9,213,209,18,20,4,23,103,85.83,--,--,8,12,0,7,0,--,--,179,34,3,100,5.23,Aaron Del Real,regular season
2012 - DET,8,33,0,5,10,10,10,86,96.63,--,--,0,10,0,5,0,--,--,17,16,0,--,--,Aaron Del Real,regular season
Career,43,786,763,52,83,28,77,418,86.72,--,--,26,61,0,25,0,--,--,635,151,7,100,5.23,Aaron Del Real,regular season
2018 - DC,7,68,54,2,4,4,7,12,85.71,--,--,0,2,0,1,0,--,--,5,63,0,--,--,Aaron Langley,regular season
2018 - DC,1,5,4,0,0,1,1,2,100,--,--,0,0,0,0,0,--,--,0,5,0,--,--,Aaron Langley,post-season
2015 - SF,10,192,196,10,13,7,16,87,85.29,--,--,8,11,0,3,0,--,--,71,121,29,96.67,6.29,Aaron Richards,regular season
2017 - PHI,4,39,35,1,0,1,2,19,100,--,--,2,0,0,0,0,--,--,6,33,5,100,4.23,Aaron Roberts,regular season
2016 - PHI,5,43,42,2,0,2,-3,17,73.91,--,--,0,6,0,1,0,--,--,17,26,0,--,--,Aaron Roberts,regular season
2015 - PHI,7,85,82,3,2,6,7,17,85,--,--,1,3,0,1,0,--,--,18,67,0,--,--,Aaron Roberts,regular season
2014 - DC,11,158,121,4,7,10,18,28,90.32,--,--,2,2,0,1,0,--,--,15,143,0,--,--,Aaron Roberts,regular season
Career,27,325,281,10,9,19,24,81,87.1,--,--,5,11,0,3,0,--,--,56,269,5,100,4.23,Aaron Roberts,regular season
2014 - DC,1,8,12,0,1,0,1,1,100,--,--,1,0,0,0,0,--,--,4,4,0,--,--,Aaron Roberts,post-season
2018 - IND,14,243,238,9,15,14,25,102,89.47,--,--,7,10,0,3,0,--,--,93,150,0,--,--,Aaron Schwartz,regular season
2017 - IND,14,325,308,10,25,4,13,148,87.57,--,--,20,18,0,8,0,--,--,284,41,0,--,--,Aaron Schwartz,regular season
2016 - IND,14,284,240,14,31,6,36,128,89.51,--,--,16,13,0,2,0,--,--,189,95,0,--,--,Aaron Schwartz,regular season
2015 - IND,13,206,188,5,8,4,9,69,90.79,--,--,10,6,0,2,0,--,--,58,148,1,100,5.12,Aaron Schwartz,regular season
Career,55,1058,976,38,79,28,83,447,89.04,--,--,53,47,0,15,0,--,--,624,434,1,100,5.12,Aaron Schwartz,regular season
2018 - IND,2,33,26,1,2,2,5,3,100,--,--,0,0,0,0,0,--,--,8,25,0,--,--,Aaron Schwartz,post-season
2021 - DET,5,67,76,3,4,0,1,55,94.83,151,382,2,3,0,3,0,1,100,67,0,0,--,--,Aaron Schwieterman,regular season
2019 - SJ,5,73,71,2,1,2,-2,62,91.18,--,--,4,6,0,1,0,--,--,33,40,18,90,6.41,Aaron Shi,regular season
2018 - SJ,7,111,108,2,4,2,2,47,88.68,--,--,1,6,0,0,0,--,--,21,90,13,76.47,5.7,Aaron Shi,regular season
Career,12,184,180,4,5,4,0,109,90.08,--,--,5,12,0,1,0,--,--,54,130,31,83.78,6.17,Aaron Shi,regular season
2017 - PIT,3,49,49,1,6,2,7,15,88.24,--,--,1,2,0,0,0,--,--,19,30,0,--,--,Aaron Watson,regular season
2016 - PIT,8,164,164,11,18,8,28,163,94.77,--,--,15,7,0,2,0,--,--,130,34,0,--,--,Aaron Watson,regular season
2015 - PIT,12,307,288,29,40,8,63,274,94.16,--,--,31,11,0,3,0,--,--,238,69,3,100,5.47,Aaron Watson,regular season
Career,23,520,503,41,64,18,98,452,94.17,--,--,47,20,0,5,0,--,--,387,133,3,100,5.47,Aaron Watson,regular season
2016 - PIT,2,31,32,1,0,2,0,20,83.33,--,--,1,3,0,0,0,--,--,15,16,0,--,--,Aaron Watson,post-season
2015 - PIT,2,50,49,2,8,2,8,35,92.11,--,--,5,3,0,1,0,--,--,41,9,0,--,--,Aaron Watson,post-season
Career,4,81,82,3,8,4,8,55,88.71,--,--,6,6,0,1,0,--,--,56,25,0,--,--,Aaron Watson,post-season
2019 - IND,5,54,57,1,1,0,-1,7,100,--,--,2,0,0,3,0,--,--,4,50,0,--,--,Aaron Weaver,regular season
2019 - IND,2,26,33,0,1,3,1,6,75,--,--,1,2,0,1,0,--,--,3,23,0,--,--,Aaron Weaver,post-season
2019 - LA,10,209,206,19,12,8,32,202,95.73,--,--,19,6,0,1,0,--,--,117,92,3,100,4.05,Aaron Weaver,regular season
2018 - LA,9,153,147,7,11,9,21,82,95.35,--,--,8,3,0,3,0,--,--,25,128,0,--,--,Aaron Weaver,regular season
2017 - LA,13,194,166,6,9,5,18,72,98.63,--,--,11,1,0,1,0,--,--,22,172,0,--,--,Aaron Weaver,regular season
Career,32,556,520,32,32,22,71,356,96.22,--,--,38,10,0,5,0,--,--,164,392,3,100,4.05,Aaron Weaver,regular season
2019 - LA,1,29,25,3,2,0,5,48,100,--,--,3,0,0,0,0,--,--,23,6,0,--,--,Aaron Weaver,post-season
2018 - LA,2,30,29,0,0,0,0,12,100,--,--,2,0,0,0,0,--,--,2,28,0,--,--,Aaron Weaver,post-season
2017 - LA,2,35,22,1,0,1,2,10,100,--,--,0,0,0,0,0,--,--,4,31,0,--,--,Aaron Weaver,post-season
Career,5,94,77,4,2,1,7,70,100,--,--,5,0,0,0,0,--,--,29,65,0,--,--,Aaron Weaver,post-season
2012 - DET,5,8,0,1,2,3,0,42,93.33,--,--,0,6,0,0,0,--,--,3,5,0,--,--,Aaron Ziegler,regular season
2021 - DAL,8,154,171,24,9,0,14,293,94.21,1747,1363,19,17,0,2,0,6,66.67,154,0,0,--,--,Abe Coffin,regular season
2019 - DAL,11,217,227,32,19,7,44,272,93.79,--,--,18,13,0,1,0,--,--,194,23,2,100,5.36,Abe Coffin,regular season
2017 - DAL,13,325,302,37,39,3,58,223,92.53,--,--,22,17,0,4,0,--,--,252,73,29,100,6.56,Abe Coffin,regular season
2016 - MAD,4,86,91,12,2,2,7,72,87.8,--,--,6,8,0,1,0,--,--,20,66,0,--,--,Abe Coffin,regular season
Career,36,782,792,105,69,12,123,860,93.07,1747,1363,65,55,0,8,0,6,66.67,620,162,31,100,6.48,Abe Coffin,regular season
2021 - DAL,1,25,21,3,1,0,3,12,92.31,190,98,1,1,0,0,0,2,66.67,17,8,4,100,8.09,Abe Coffin,post-season
2019 - DAL,3,73,76,17,4,2,19,152,97.44,--,--,6,4,0,0,0,--,--,68,5,1,50,--,Abe Coffin,post-season
2017 - DAL,3,62,65,2,9,1,9,38,95,--,--,0,2,0,1,0,--,--,54,8,0,--,--,Abe Coffin,post-season
2016 - MAD,2,33,27,2,1,2,4,20,90.91,--,--,3,1,0,0,0,--,--,5,28,0,--,--,Abe Coffin,post-season
Career,9,193,190,24,15,5,35,222,96.1,190,98,10,8,0,1,0,2,66.67,144,49,5,83.33,8.09,Abe Coffin,post-season
2019 - DAL,6,70,73,0,1,4,2,37,88.1,--,--,3,3,0,0,0,--,--,13,57,1,100,5.88,Abe Gambert,regular season
2019 - DAL,1,1,0,0,0,0,0,0,0,--,--,0,0,0,0,0,--,--,0,1,0,--,--,Abe Gambert,post-season
2015 - CHA,10,117,86,3,3,3,3,17,80.95,--,--,2,4,0,2,0,--,--,32,85,0,--,--,Adam Bostian,regular season
2016 - LA,4,63,53,3,0,2,3,53,94.64,--,--,5,2,0,0,0,--,--,26,37,0,--,--,Adam Bronstein,regular season
2014 - SEA,13,254,274,12,9,10,12,314,93.18,--,--,21,19,0,0,0,--,--,202,52,0,--,--,Adam Bronstein,regular season
Career,17,317,327,15,9,12,15,367,93.38,--,--,26,21,0,0,0,--,--,228,89,0,--,--,Adam Bronstein,regular season
2014 - CIN,6,95,94,2,0,3,-3,26,74.29,--,--,3,7,0,1,0,--,--,28,67,0,--,--,Aaron Bacon,regular season
2021 - DC,2,19,23,0,1,0,1,6,100,-11,58,0,0,0,0,0,0,0,0,19,0,--,--,Aaron Bartlett,regular season
2013 - NY,4,30,0,5,2,3,-4,37,75.51,--,--,0,12,0,2,0,--,--,19,11,0,--,--,Aaron Bell,regular season
2013 - NY,1,20,0,3,2,0,0,32,88.89,--,--,0,4,0,1,0,--,--,18,2,0,--,--,Aaron Bell,post-season
2017 - PIT,2,27,18,0,0,2,0,6,75,--,--,0,2,0,0,0,--,--,7,20,1,100,2.33,Aaron Buss,regular season
2016 - PIT,12,209,184,14,6,10,15,154,89.53,--,--,15,15,0,0,0,--,--,68,141,1,100,3.48,Aaron Buss,regular season
Career,14,236,202,14,6,12,15,160,88.89,--,--,15,17,0,0,0,--,--,75,161,2,100,2.91,Aaron Buss,regular season
2016 - PIT,2,8,4,1,0,0,1,4,100,--,--,1,0,0,0,0,--,--,2,6,0,--,--,Aaron Buss,post-season
2014 - CIN,7,99,91,0,5,2,3,19,90.48,--,--,0,2,0,2,0,--,--,15,84,0,--,--,Aaron Corley,regular season
2013 - CIN,12,143,0,4,5,8,7,45,81.82,--,--,0,10,0,0,0,--,--,21,122,0,--,--,Aaron Corley,regular season
2012 - CIN,7,14,0,1,3,5,6,24,88.89,--,--,0,3,0,0,0,--,--,7,7,0,--,--,Aaron Corley,regular season
Career,26,256,91,5,13,15,16,88,85.44,--,--,0,15,0,2,0,--,--,43,213,0,--,--,Aaron Corley,regular season
2017 - DET,6,114,118,4,8,1,-6,46,75.41,--,--,4,13,0,6,0,--,--,78,36,4,100,--,Aaron Del Real,regular season
2016 - DET,11,183,199,13,19,6,25,76,83.52,--,--,6,12,0,1,0,--,--,150,33,0,--,--,Aaron Del Real,regular season
2015 - DET,9,243,237,12,26,7,25,107,88.43,--,--,8,14,0,6,0,--,--,211,32,0,--,--,Aaron Del Real,regular season
2014 - DET,9,213,209,18,20,4,23,103,85.83,--,--,8,12,0,7,0,--,--,179,34,3,100,5.23,Aaron Del Real,regular season
2012 - DET,8,33,0,5,10,10,10,86,96.63,--,--,0,10,0,5,0,--,--,17,16,0,--,--,Aaron Del Real,regular season
Career,43,786,763,52,83,28,77,418,86.72,--,--,26,61,0,25,0,--,--,635,151,7,100,5.23,Aaron Del Real,regular season
2018 - DC,7,68,54,2,4,4,7,12,85.71,--,--,0,2,0,1,0,--,--,5,63,0,--,--,Aaron Langley,regular season
2018 - DC,1,5,4,0,0,1,1,2,100,--,--,0,0,0,0,0,--,--,0,5,0,--,--,Aaron Langley,post-season
2015 - SF,10,192,196,10,13,7,16,87,85.29,--,--,8,11,0,3,0,--,--,71,121,29,96.67,6.29,Aaron Richards,regular season
2017 - PHI,4,39,35,1,0,1,2,19,100,--,--,2,0,0,0,0,--,--,6,33,5,100,4.23,Aaron Roberts,regular season
2016 - PHI,5,43,42,2,0,2,-3,17,73.91,--,--,0,6,0,1,0,--,--,17,26,0,--,--,Aaron Roberts,regular season
2015 - PHI,7,85,82,3,2,6,7,17,85,--,--,1,3,0,1,0,--,--,18,67,0,--,--,Aaron Roberts,regular season
2014 - DC,11,158,121,4,7,10,18,28,90.32,--,--,2,2,0,1,0,--,--,15,143,0,--,--,Aaron Roberts,regular season
Career,27,325,281,10,9,19,24,81,87.1,--,--,5,11,0,3,0,--,--,56,269,5,100,4.23,Aaron Roberts,regular season
2014 - DC,1,8,12,0,1,0,1,1,100,--,--,1,0,0,0,0,--,--,4,4,0,--,--,Aaron Roberts,post-season
2018 - IND,14,243,238,9,15,14,25,102,89.47,--,--,7,10,0,3,0,--,--,93,150,0,--,--,Aaron Schwartz,regular season
2017 - IND,14,325,308,10,25,4,13,148,87.57,--,--,20,18,0,8,0,--,--,284,41,0,--,--,Aaron Schwartz,regular season
2016 - IND,14,284,240,14,31,6,36,128,89.51,--,--,16,13,0,2,0,--,--,189,95,0,--,--,Aaron Schwartz,regular season
2015 - IND,13,206,188,5,8,4,9,69,90.79,--,--,10,6,0,2,0,--,--,58,148,1,100,5.12,Aaron Schwartz,regular season
Career,55,1058,976,38,79,28,83,447,89.04,--,--,53,47,0,15,0,--,--,624,434,1,100,5.12,Aaron Schwartz,regular season
2018 - IND,2,33,26,1,2,2,5,3,100,--,--,0,0,0,0,0,--,--,8,25,0,--,--,Aaron Schwartz,post-season
2021 - DET,5,67,76,3,4,0,1,55,94.83,151,382,2,3,0,3,0,1,100,67,0,0,--,--,Aaron Schwieterman,regular season
2019 - SJ,5,73,71,2,1,2,-2,62,91.18,--,--,4,6,0,1,0,--,--,33,40,18,90,6.41,Aaron Shi,regular season
2018 - SJ,7,111,108,2,4,2,2,47,88.68,--,--,1,6,0,0,0,--,--,21,90,13,76.47,5.7,Aaron Shi,regular season
Career,12,184,180,4,5,4,0,109,90.08,--,--,5,12,0,1,0,--,--,54,130,31,83.78,6.17,Aaron Shi,regular season
2017 - PIT,3,49,49,1,6,2,7,15,88.24,--,--,1,2,0,0,0,--,--,19,30,0,--,--,Aaron Watson,regular season
2016 - PIT,8,164,164,11,18,8,28,163,94.77,--,--,15,7,0,2,0,--,--,130,34,0,--,--,Aaron Watson,regular season
2015 - PIT,12,307,288,29,40,8,63,274,94.16,--,--,31,11,0,3,0,--,--,238,69,3,100,5.47,Aaron Watson,regular season
Career,23,520,503,41,64,18,98,452,94.17,--,--,47,20,0,5,0,--,--,387,133,3,100,5.47,Aaron Watson,regular season
2016 - PIT,2,31,32,1,0,2,0,20,83.33,--,--,1,3,0,0,0,--,--,15,16,0,--,--,Aaron Watson,post-season
2015 - PIT,2,50,49,2,8,2,8,35,92.11,--,--,5,3,0,1,0,--,--,41,9,0,--,--,Aaron Watson,post-season
Career,4,81,82,3,8,4,8,55,88.71,--,--,6,6,0,1,0,--,--,56,25,0,--,--,Aaron Watson,post-season
2019 - IND,5,54,57,1,1,0,-1,7,100,--,--,2,0,0,3,0,--,--,4,50,0,--,--,Aaron Weaver,regular season
2019 - IND,2,26,33,0,1,3,1,6,75,--,--,1,2,0,1,0,--,--,3,23,0,--,--,Aaron Weaver,post-season
2019 - LA,10,209,206,19,12,8,32,202,95.73,--,--,19,6,0,1,0,--,--,117,92,3,100,4.05,Aaron Weaver,regular season
2018 - LA,9,153,147,7,11,9,21,82,95.35,--,--,8,3,0,3,0,--,--,25,128,0,--,--,Aaron Weaver,regular season
2017 - LA,13,194,166,6,9,5,18,72,98.63,--,--,11,1,0,1,0,--,--,22,172,0,--,--,Aaron Weaver,regular season
Career,32,556,520,32,32,22,71,356,96.22,--,--,38,10,0,5,0,--,--,164,392,3,100,4.05,Aaron Weaver,regular season
2019 - LA,1,29,25,3,2,0,5,48,100,--,--,3,0,0,0,0,--,--,23,6,0,--,--,Aaron Weaver,post-season
2018 - LA,2,30,29,0,0,0,0,12,100,--,--,2,0,0,0,0,--,--,2,28,0,--,--,Aaron Weaver,post-season
2017 - LA,2,35,22,1,0,1,2,10,100,--,--,0,0,0,0,0,--,--,4,31,0,--,--,Aaron Weaver,post-season
Career,5,94,77,4,2,1,7,70,100,--,--,5,0,0,0,0,--,--,29,65,0,--,--,Aaron Weaver,post-season
2012 - DET,5,8,0,1,2,3,0,42,93.33,--,--,0,6,0,0,0,--,--,3,5,0,--,--,Aaron Ziegler,regular season
2021 - DAL,8,154,171,24,9,0,14,293,94.21,1747,1363,19,17,0,2,0,6,66.67,154,0,0,--,--,Abe Coffin,regular season
2019 - DAL,11,217,227,32,19,7,44,272,93.79,--,--,18,13,0,1,0,--,--,194,23,2,100,5.36,Abe Coffin,regular season
2017 - DAL,13,325,302,37,39,3,58,223,92.53,--,--,22,17,0,4,0,--,--,252,73,29,100,6.56,Abe Coffin,regular season
2016 - MAD,4,86,91,12,2,2,7,72,87.8,--,--,6,8,0,1,0,--,--,20,66,0,--,--,Abe Coffin,regular season
Career,36,782,792,105,69,12,123,860,93.07,1747,1363,65,55,0,8,0,6,66.67,620,162,31,100,6.48,Abe Coffin,regular season
2021 - DAL,1,25,21,3,1,0,3,12,92.31,190,98,1,1,0,0,0,2,66.67,17,8,4,100,8.09,Abe Coffin,post-season
