YEAR - TEAM,GAMES,POINTS_PLAYED,MINUTES,ASSISTSS,GOALS,BLOCKS,P/M,COMPLETIONS,COMPLETION_PERCENT,THROWING_YARDS,RECEIVING_YARDS,HOCKEY_ASSISTS,TURNS,STALLS,DROPS,CALLAHANS,HUCKS,HUCK_PERCENT,OFFESNIVE_PP,DEFENSIVE_PP,PULLS,PULL_PERCENT,PULL_HANGTIME,NAME,SEASON
2013 - PHI,14,153,0,7,10,10,12,61,87.14,--,--,0,9,0,6,0,--,--,13,140,0,--,--,Jonathan Palumbo,regular season
Career,21,219,56,9,14,15,21,76,88.37,--,--,4,10,0,7,0,--,--,20,199,0,--,--,Jonathan Palumbo,regular season
2013 - PHI,1,3,0,0,1,1,1,5,83.33,--,--,0,1,0,0,0,--,--,1,2,0,--,--,Jonathan Palumbo,post-season
2021 - DC,12,203,239,35,14,2,31,583,96.2,3392,1181,32,19,0,1,0,21,72.41,200,3,0,--,--,Jonny Malks,regular season
2018 - DC,1,21,24,3,4,0,6,28,96.55,--,--,2,1,0,0,0,--,--,20,1,0,--,--,Jonny Malks,regular season
2017 - DC,2,18,17,0,1,1,0,8,80,--,--,0,1,0,1,0,--,--,5,13,0,--,--,Jonny Malks,regular season
Career,15,242,282,38,19,3,37,619,95.97,3392,1181,34,21,0,2,0,21,72.41,225,17,0,--,--,Jonny Malks,regular season
2021 - DC,1,21,26,3,2,0,2,57,95,524,31,2,3,0,0,0,4,80,21,0,0,--,--,Jonny Malks,post-season
2016 - NSH,3,35,17,0,1,1,2,4,100,--,--,0,0,0,0,0,--,--,5,30,0,--,--,Jordan Bates,regular season
2015 - NSH,13,217,167,1,11,6,13,49,96.08,--,--,5,1,0,4,0,--,--,39,178,0,--,--,Jordan Bates,regular season
Career,16,252,185,1,12,7,15,53,96.36,--,--,5,1,0,4,0,--,--,44,208,0,--,--,Jordan Bates,regular season
2019 - PHI,4,47,54,1,0,0,-3,28,84.85,--,--,1,3,0,1,0,--,--,9,38,2,100,6.26,Jordan Ciccarone,regular season
2017 - VAN,6,70,59,3,13,3,13,30,88.24,--,--,5,4,0,2,0,--,--,47,23,0,--,--,Jordan Dhillon,regular season
2016 - VAN,7,112,93,3,10,3,9,21,77.78,--,--,3,5,0,2,0,--,--,66,46,0,--,--,Jordan Dhillon,regular season
Career,13,182,153,6,23,6,22,51,83.61,--,--,8,9,0,4,0,--,--,113,69,0,--,--,Jordan Dhillon,regular season
2019 - MTL,1,12,8,0,0,0,-1,0,0,--,--,0,0,0,1,0,--,--,0,12,0,--,--,Jordan Faries,regular season
2018 - TB,12,248,291,11,31,5,42,227,98.27,--,--,18,4,0,1,0,--,--,193,55,0,--,--,Jordan Huston,regular season
2017 - JAX,13,321,320,11,80,3,83,170,94.44,--,--,14,7,0,4,0,--,--,272,49,0,--,--,Jordan Huston,regular season
2016 - RAL,7,142,142,6,18,3,20,84,92.31,--,--,8,5,0,2,0,--,--,120,22,0,--,--,Jordan Huston,regular season
Career,32,711,754,28,129,11,145,481,95.82,--,--,40,16,0,7,0,--,--,585,126,0,--,--,Jordan Huston,regular season
2017 - JAX,1,19,25,0,0,0,-3,9,75,--,--,0,3,1,0,0,--,--,19,0,0,--,--,Jordan Huston,post-season
2018 - SF,10,248,228,14,15,15,17,165,85.94,--,--,13,24,0,3,0,--,--,119,129,86,95.56,5.26,Jordan Jeffery,regular season
2016 - SF,4,56,50,1,1,0,-2,24,88.89,--,--,2,3,0,1,0,--,--,31,25,4,100,37.52,Jordan Jeffery,regular season
2015 - SF,9,218,198,23,10,8,24,162,90.5,--,--,9,17,0,0,0,--,--,83,135,67,100,5.45,Jordan Jeffery,regular season
Career,23,522,477,38,26,23,39,351,88.19,--,--,24,44,0,4,0,--,--,233,289,157,97.52,5.77,Jordan Jeffery,regular season
