pull_type,time,pull_x,pull_y,thrower_id
PULL_INBOUNDS,6809.0,14.57,101.43,jsykora
PULL_INBOUNDS,7063.0,1.45,96.69,
PULL_INBOUNDS,4599.0,21.27,84.97,mlemaitre
PULL_INBOUNDS,6062.0,8.96,89.41,jsykora
PULL_INBOUNDS,6998.0,-8.89,100.12,dgarlock
PULL_INBOUNDS,6189.0,5.97,87.23,jsykora
PULL_INBOUNDS,3594.0,13.62,85.12,jwinn
PULL_INBOUNDS,5667.0,-0.22,91.45,dgarlock
PULL_OUT_OF_BOUNDS,,0.0,80.0,jsykora
PULL_INBOUNDS,6000.0,-3.58,84.83,dgarlock
PULL_INBOUNDS,6033.0,9.03,89.56,jsykora
PULL_INBOUNDS,6687.0,13.26,84.97,dgarlock
PULL_INBOUNDS,3113.0,15.44,82.28,cringwood
PULL_INBOUNDS,6000.0,4.73,67.28,dgarlock
PULL_INBOUNDS,5530.0,-0.44,91.82,jsykora
PULL_INBOUNDS,6872.0,12.53,91.52,dgarlock
PULL_OUT_OF_BOUNDS,,0.0,80.0,jwinn
PULL_INBOUNDS,7958.0,11.8,76.89,jsykora
PULL_INBOUNDS,6235.0,20.4,96.33,tbalfour
PULL_INBOUNDS,13000.0,-26.67,53.66,jwilson
PULL_INBOUNDS,6123.0,-17.71,96.33,mlemaitre
PULL_INBOUNDS,10216.0,-26.67,63.2,jwilson
PULL_INBOUNDS,7377.0,-1.03,95.16,tbalfour
PULL_INBOUNDS,6218.0,-26.67,83.73,dgarlock
PULL_INBOUNDS,5338.0,-13.78,91.82,acoffin
PULL_INBOUNDS,0.0,9.83,85.19,kelsalaam
PULL_INBOUNDS,0.0,-11.08,102.81,kelsalaam
PULL_INBOUNDS,0.0,0.0,80.0,sradlauer
PULL_INBOUNDS,3587.0,2.04,86.35,colson
PULL_INBOUNDS,0.0,2.91,98.3,kelsalaam
PULL_INBOUNDS,8032.0,13.33,91.82,acoffin
PULL_INBOUNDS,0.0,2.76,94.36,kelsalaam
PULL_INBOUNDS,0.0,-25.87,54.24,wturner
PULL_INBOUNDS,7542.0,1.53,106.38,htaylor
PULL_INBOUNDS,0.0,6.26,90.8,kelsalaam
PULL_INBOUNDS,8955.0,-2.7,98.22,acoffin
PULL_INBOUNDS,0.0,-3.58,99.97,kelsalaam
PULL_INBOUNDS,0.0,6.19,97.86,wturner
PULL_INBOUNDS,0.0,-4.96,96.84,kelsalaam
PULL_INBOUNDS,11797.0,-26.67,54.39,htaylor
PULL_INBOUNDS,5801.0,20.61,88.47,kmarshall
PULL_INBOUNDS,0.0,4.88,98.95,kelsalaam
PULL_INBOUNDS,5201.0,6.84,98.73,kmarshall
PULL_INBOUNDS,13076.0,-26.67,53.95,htaylor
PULL_INBOUNDS,0.0,-6.05,97.42,kelsalaam
PULL_INBOUNDS,7519.0,17.92,80.97,kmarshall
PULL_INBOUNDS,0.0,-3.79,95.75,kelsalaam
PULL_INBOUNDS,5446.0,8.01,89.27,kmarshall
PULL_INBOUNDS,0.0,-17.71,95.38,kelsalaam
PULL_INBOUNDS,5092.0,-26.67,74.78,mwuensch
PULL_INBOUNDS,5476.0,-4.6,89.41,
PULL_INBOUNDS,0.0,-4.01,85.55,kelsalaam
PULL_INBOUNDS,7083.0,-15.96,91.6,ghernande
PULL_INBOUNDS,0.0,-6.05,95.31,kelsalaam
PULL_INBOUNDS,12353.0,26.66,71.43,dsmith
PULL_INBOUNDS,0.0,15.15,97.86,kelsalaam
PULL_INBOUNDS,10037.0,19.52,85.84,acoffin
PULL_INBOUNDS,0.0,-7.51,94.29,kelsalaam
PULL_INBOUNDS,0.0,10.71,93.78,kelsalaam
PULL_INBOUNDS,5313.0,7.5,91.6,kmarshall
PULL_INBOUNDS,0.0,6.55,92.33,wturner
PULL_INBOUNDS,8242.0,15.59,89.7,ghernande
PULL_INBOUNDS,0.0,8.08,94.44,kelsalaam
PULL_INBOUNDS,0.0,7.21,103.83,kelsalaam
PULL_INBOUNDS,0.0,-3.94,88.98,kelsalaam
PULL_INBOUNDS,7556.0,-26.6,58.61,htaylor
PULL_INBOUNDS,0.0,8.3,92.62,wturner
PULL_INBOUNDS,9571.0,-26.67,57.08,kmarshall
PULL_INBOUNDS,4608.0,12.96,41.65,tmitchuso
PULL_INBOUNDS,0.0,0.0,80.0,
PULL_OUT_OF_BOUNDS,,0.0,80.0,mlemaitre
PULL_OUT_OF_BOUNDS,,0.0,80.0,kdeangeli
PULL_INBOUNDS,5428.0,-17.86,86.86,tmitchuso
PULL_INBOUNDS,8104.0,8.08,106.09,mlemaitre
PULL_INBOUNDS,0.0,-0.76,104.24,mzetsch
PULL_INBOUNDS,3836.0,-6.56,83.08,mlemaitre
PULL_INBOUNDS,0.0,-0.41,106.7,kdeangeli
PULL_INBOUNDS,4320.0,12.89,84.1,mlemaitre
PULL_INBOUNDS,0.0,-1.71,91.77,mzetsch
PULL_INBOUNDS,0.0,0.54,90.27,kdeangeli
PULL_OUT_OF_BOUNDS,,0.0,80.0,mlemaitre
PULL_INBOUNDS,0.0,11.93,82.36,mzetsch
PULL_INBOUNDS,0.0,-9.01,101.18,xpayne
PULL_INBOUNDS,0.0,3.2,97.49,xpayne
PULL_INBOUNDS,0.0,1.63,94.84,mzetsch
PULL_INBOUNDS,0.0,1.36,90.88,xpayne
PULL_INBOUNDS,4871.0,5.75,89.05,mlemaitre
PULL_INBOUNDS,0.0,1.43,94.02,xpayne
PULL_INBOUNDS,7857.0,22.44,85.84,mlemaitre
PULL_INBOUNDS,0.0,-1.16,80.45,mzetsch
PULL_INBOUNDS,4432.0,12.82,65.82,tmitchuso
PULL_INBOUNDS,0.0,1.22,99.4,xpayne
PULL_INBOUNDS,0.0,-0.14,74.45,mzetsch
PULL_INBOUNDS,4452.0,-5.03,77.33,jwinn
PULL_INBOUNDS,0.0,0.27,94.22,xpayne
PULL_INBOUNDS,6035.0,25.2,75.36,mlemaitre
PULL_INBOUNDS,0.0,1.29,85.15,mzetsch
PULL_INBOUNDS,5382.0,-21.21,86.72,tmitchuso
PULL_OUT_OF_BOUNDS,,0.0,80.0,mlemaitre
PULL_INBOUNDS,0.0,-0.89,98.79,mzetsch
PULL_INBOUNDS,0.0,-0.96,90.68,kdeangeli
PULL_INBOUNDS,5387.0,12.16,83.95,mlemaitre
PULL_INBOUNDS,6812.0,5.53,103.61,xpayne
PULL_INBOUNDS,13470.0,-24.05,46.31,mwalter
PULL_INBOUNDS,5738.0,-14.58,95.16,abarden
PULL_INBOUNDS,2888.0,10.34,99.68,broach
PULL_INBOUNDS,21048.0,-26.45,49.0,rlewis
PULL_OUT_OF_BOUNDS,,0.0,80.0,abarden
PULL_INBOUNDS,5564.0,-26.67,85.41,broach
PULL_INBOUNDS,12078.0,-16.18,43.03,mwalter
PULL_INBOUNDS,6769.0,-13.41,99.99,abarden
PULL_INBOUNDS,10853.0,-23.83,58.1,rlewis
PULL_INBOUNDS,6751.0,-10.42,93.49,broach
PULL_INBOUNDS,2967.0,0.0,80.0,abarden
PULL_INBOUNDS,16663.0,24.62,36.62,abarden
PULL_INBOUNDS,8367.0,-4.01,86.14,zslayton
PULL_INBOUNDS,6103.0,7.06,97.35,tvenneri
PULL_INBOUNDS,7639.0,13.98,92.11,jclyde
PULL_INBOUNDS,8097.0,0.87,80.6,mwalter
PULL_INBOUNDS,5616.0,1.6,95.75,rbowman
PULL_INBOUNDS,8765.0,7.79,100.7,broach
PULL_OUT_OF_BOUNDS,,0.0,80.0,jclyde
PULL_INBOUNDS,5725.0,-14.29,99.17,abarden
PULL_OUT_OF_BOUNDS,,0.0,80.0,mbrisbois
PULL_INBOUNDS,6038.0,10.71,94.87,rbowman
PULL_INBOUNDS,5121.0,0.0,80.0,broach
PULL_INBOUNDS,0.0,0.0,80.0,jclyde
PULL_INBOUNDS,10101.0,0.0,80.0,
PULL_INBOUNDS,5947.0,12.96,87.66,rbowman
PULL_INBOUNDS,7600.0,-0.95,93.49,jclyde
PULL_INBOUNDS,7156.0,-10.72,110.67,mbennett1
PULL_INBOUNDS,5952.0,-1.32,88.32,jclyde
PULL_OUT_OF_BOUNDS,,0.0,80.0,abarden
PULL_INBOUNDS,8232.0,-14.29,99.99,abarden
PULL_INBOUNDS,8709.0,-15.31,100.0,mbennett1
PULL_INBOUNDS,5736.0,-4.81,99.24,abarden
PULL_INBOUNDS,7144.0,14.79,97.93,rbowman
PULL_INBOUNDS,10660.0,-22.08,80.24,broach
PULL_INBOUNDS,8226.0,-14.58,93.78,mbennett1
